'	333
's	14_58_136_236_460_662_744_757
,	2_79_159_195_203_254_304_312_331_403_487_491_565_609_613_672_697_730_761
-	249_258_656
.	11_30_46_55_66_88_115_141_181_192_211_217_226_233_264_283_292_316_353_383_389_421_438_448_464_484_505_511_530_540_579_602_637_645_665_681_687_712_749_777_818_840_866_869
1,000	162
1.5	729
110	394
120	577
16	564
1960s	417
1973	352
1980	420
20	654_701
25	490
700	723
a	51_67_70_83_146_168_172_345_354_501_536_574_580_583_603_607_622_627_634_646_657_694_706_732_752_765_791_810_858_862
abroad	315
abuse	359_407_432
accuse	815
achievement	768
advise	91
against	86
age	562
aged	489
agency	664
air	310
airline	271
allege	424
also	327_452
ambitious	758
america	228_235
american	863
and	80_109_117_179_215_240_246_256_317_326_335_347_367_430_572_677_690_746_775
anymore	263
arrest	493_589
as	408_433_496_554_556_617_629_688_726_728_736_738
at	19
attempt	498
australian	355_380_413
authority	515
aviation	514
badly	239
ballistic	42_73
band	786_864
bbc	9_510_867
be	4_37_40_44_62_82_94_138_190_243_318_344_365_406_423_440_451_470_492_549_559_588_614_615_643_751_814_855
become	244
believe	38
belong	740
below	573
benefit	325
better	95_225
birth	307
blast	649_703
board	500
both	488
bring	175_287_323
britain	150_343
british	784
budget	270
business	163_188
by	861
cadet	462
california	468
campaign	183
can	548
carry	23_631_653_700
cartographic	734
chain	201
cheap	313
chief	266
child	358_454
church	636
citizen	303
classic	850
clear	84
close	695
come	397
commercial	526_546
commission	356_402_450
complain	447
concern	18
convene	50
copy	856
country	57_222_661_743
court	792
current	461
customer	748
daylight	552
defense	381
defiance	26
democracy	212_349
democratic	221_229_248
deny	847
detail	686
detect	678
device	127_716
discharge	444
dishonorable	443
divide	191
division	377
do	224_230_238_260_339
drone	529_547_568
each	373
effort	102
elsewhere	257
enormous	324
equal	213
eu	210_242_282_285
european	157
eve	144
executive	267
exist	341
exit	173
experience	299
express	17
facility	708
fact	122
fail	348
far	391
federal	513
find	471
fire	625_680
five	598
fly	550
for	96_177_300_329_640_659_755
force	368_382
forest	679
forward	398
founder	197
freedom	216
from	387_415_467_508_611_651_705_720_857
full	537
gas	676
government	691
greece	253
greenhouse	675
group	483_623_811
guilty	472
hang	837
have	16_49_165_223_286_296_360_370_396_469_520_587_648_684_763_789_800_827
he	591_799_824_826_835
hear	361
hearing	793
heaven	854
hee	65
height	575
hello	1
holiday	314
honduras	586
hour	553
human	336
humiliating	431
hundred	129
i	3
in	25_153_167_186_252_280_319_375_411_457_516_551_569_585_594_709_718_794
include	305_673_715_731_769
india	652_711_756
indian	733
indicate	132
initiation	436
insist	184
instrumental	859
international	747
into	103
intolerable	45
investigate	357_453_616
involvement	593
islamic	481
it	81_93_259_422_630_750
japan	31_116
jeong	63
jerry	5
job	178
joon	64
junior	363_409
keep	566_693
killing	596_642
kilo	724
kilometer	131
korea	13_48_98_119_135
korean	107
last	494
laughter	822
launch	34_68_707
lead	779
leader	164_620
leave	155_182
led	787_845
less	245_247
letter	170
license	539
little	727_801
livelihood	111
local	635
long	555
longer	534
low-fare	309
majumder	683
make	139
man	466_486
many	301
market	291_295_322
mars	776
martin	194
material	477
mayor	581
measure	456
meeting	54
member	808_843
memory	804
mercer	385
meter	578
meza	610
michael	273
military	414_459
minister	692
ministry	60
missile	21_43_74
moment	754
monitoring	674
moon	774
more	101_160_392_685_721
most	831
motive	639
must	207
musudan	41
national	52
need	535
neighbor	15
new	543
news	10_507_868
no	533_803_828
north	12_97_134_227
not	261_340
number	766
o'leary	274
of	27_35_69_112_125_130_145_198_268_302_308_378_435_473_528_563_576_582_597_621_767_781_805_809_816_830_832_844
off	650_704
often	427
on	105_142_148_524_600_626
one	124_497
open	169
operators	531
opinion	185
or	154_802
other	374
out	24_838
over	560_590
part	434
payload	714
peace	104
peninsula	108
people	114_395_599_632_834
phil	384
pilot	538_558
plagiarize	817
plane	502
plant	820
plot	474
police	604
possible	619
practice	437
prior	350
probe	771
problem	251
program	137_463_760
progress	140
projectile	71
prompt	821
prosperity	214
protection	328_455
provide	476
provocation	85
pub	200
purpose	671
put	100
quit	208
range	717
rape	366
really	231
recollection	829
record	658_764
recruit	364_410
referendum	147
regulation	544
reitoca	612
relax	521
remain	152
report	386
resolution	78
rights	334_337
robert	819
rock	785
rocket	647_699
royal	401
rule	523
ryanair	272
sanction	29
sanjoy	682
satellite	655_667_702_735
say	32_120_204_275_404_606_825
scientist	689
sector	189
security	53
send	770
serve	669
sex	371
should	151_278
sight	571
significant	753
singer	780
single	290_294_321
small	346_545
smit	6
so	390
socialize	806
some	376_439
song	851
south	47_118_234
southern	710
space	663_759
spain	255
spirit	865
spokesman	61_605
stairway	852
state	482
states	519_797
stay	279
struggle	237
suffer	428
sunday	601
support	478
survive	842
suspect	592
sydney	388
technology	75
teenager	426
tell	790
test	22
than	161_393_722
that	92_123_133_171_338_362_425_624_798_848
