'	146_289
,	32_147_227_229_395_580_740_765
.	16_23_50_55_76_100_113_134_169_212_234_262_292_312_339_358_382_413_432_454_477_489_508_532_573_613_642_659_675_703_718_737_837_846
2,000	690
;	9
?	392_425
`	144_286
a	21_25_36_66_79_89_110_202_254_258_267_411_439_493_509_536_541_666_713_751
able	155
activity	524
actual	825
advance	579_679
affect	64_249
analogy	173
and	148_206_208_213_235_242_309_341_383_414_556_637_726_775_796_818_838
another	172
approach	422
appropriate	260
area	811
as	98_575_822
at	56_70_127_177_584_755_809
australian	61
away	437
base	569
be	63_78_87_109_118_136_154_166_175_189_253_316_319_348_375_389_399_416_449_492_534_540_552_559_563_582_621_647_653_665_680_694_708_720_723_729_735_748_761_816_834
because	396
become	768
before	649
berghofer	626
better	217_355_361_376_844
biological	139_223
black	101_287_639_701
brain	41_247_280_329_514_527_596_759_790_814
break	466
breakspear	459
breakthrough	22_112
build	266
but	17_85_574_704_738
by	65_624
call	143_406_697
can	165_360_497_589
carry	622
causal	826
cause	241_367_504_732
certain	724_786
change	323
classify	565
clearer	269
clinical	681
closer	91
clue	495
commonly	96
complex	80
condition	81_159_233
conduct	297
connect	764
could	405
debate	709
decade	744
depend	331
depressed	805
depression	8_49_133_140_226_291_304_336_370_475_531_533_674_696_795
depressive	68
develop	257
diabetes	178_183_198
diagnose	302_362
diagnosis	6_441
diagnostic	356_651
diet	205
difference	38_593
different	46_325_609
differently	607
disconnect	769
disconnection	787
discover	315
discovery	33
disorder	69_568
distinct	37_321_519_591
distinctly	120
do	151_560_799
doctor	465_500
dog	102_288_640_702
dr	457
dr.christine	344
during	770
each	490
effective	671
energy	485
episode	771_836
even	803
exactly	393_427
exercise	207
field	452
find	518_590
finding	351_462_664
five	60
for	180_195_256_294_364_410_528_655_688_710
forever	453
from	230_438_480_603
future	381
general	657
go	190_283_830
gordon	105
group	455
guo	345
happy	308
have	2_19_53_338_448_517_558_578_685_707_728_734_785
haxton	52
help	464
hope	349
hopefully	384
i	116_170_263_423
ideally	839
identify	83_157_501
if	359
illness	507_773
imaging	94_515_576
important	667
in	24_29_39_59_73_122_271_278_324_379_442_450_525_561_594_618_741_745_788_835
increasingly	268
informative	121
institute	103_629_641
insulin	193
interest	549
into	284_567
involve	817
it	77_108_164_250_265_347_397_407_539_644_676_719_807
its	705
joint	615
just	564
key	130
know	97_185_239_447_602_687
last	743
lead	353_498_842
leader	343_456
least	57_128
lie	277
life	75
long	686_714
longer	763
look	176_754
loss	209_547
low	484_544
major	67
make	20
may	645
medical	93_627
medication	612
medicine	31_409_620
melancholia	145_228_698_784
melancholic	290
micheal	458
model	752
mood	482_545
more	54_119_259_390_400_656_670
most	187
move	749
movie	311
mri	99_298
multiple	730
nance	51
need	152_192_216
neuro-transmitter	725
neurobiological	322
neuroscience	739
neuroscientist	340
new	26_421_634
no	762
non-drug	203
non-melancholic	794
normal	797
not	778_800
now	88_583
number	510
observation	682
of	7_43_48_132_210_219_225_245_273_327_335_368_419_435_505_511_521_523_543_548_597_611_633_673_678_716_753_757_772_812
often	11_469
on	300_332_570
one	58_135_182_491
only	779
opportunity	255
or	403_699_766
origin	706
other	232_553_604_731
out	221_623
over	689
overlap	14_470
parker	106_661
part	326_756
particular	746
particularly	236
patient	10
pattern	522
people	44_162_188_282_301_363_473_529_566_598_782_792_798_833
period	715
personalised	408
point	586_808
poor	487
potential	494
present	12_476
probably	200
problem	276
process	827
professor	104_660
properly	167
psychiatrist	1_412
psychiatry	443_562
psychological	30_619
publish	28_617
qimr	625
range	479
ready	654
really	535
recent	513
region	244
research	628
researcher	18_86_293
respond	606
sad	310_481
say	107_346_460_662
scan	42_299
separate	220
shift	436
should	374
show	35_780_801
significant	111
sleep	488
so	160
some	71
something	821
sort	434_677
south	635
start	418
step	90_668
still	646
story	270
strategy	204
struggle	3
study	27_115_296_342_516_605_616_777
sub-type	520
successful	391
suffer	45
suggest	736
suppose	171_424
symptom	15_371_471_537_542_554_572
symptom-based	440
target	401
technique	95
technology	577
tell	123_819
term	272
test	357
that	125_161_186_248_317_385_420_472_496_600_683_692_733_760_781_791_815_840
the	40_114_137_222_231_240_243_246_275_279_285_380_386_417_451_461_468_502_526_585_595_614_631_638_650_700_742_758_789_810_813_824
there	126_318_551_693_727
therefore	214
these	663
they	5_74_306_314_328_337_350_369_378_478_506_571_767
thing	829
think	117_264_721
this	158_252_295_365_415_695_776
through	467
time	72_717
to	82_153_156_191_354_433_486_499_608_722_750_823_843
tool	652
towards	669
treat	168_377
treatment	261_387_672_845
two	129_197
type	47_131_181_196_224_334_610
underlie	366_503_592
university	632
use	92_201_658
very	138_320
wales	636
watch	307
way	218
we	124_142_150_184_215_238_373_512_581_588_601_684_820
weight	211
what	313_557
when	237_281_804_832
where	149_274_587_828
which	34_141_333_445
while	305_643
will	62_352_388_463_841
with	4_13_163_303_474_530_783_793
would	174_398
wrong	831
yeah	394_426_429_431
year	648_691_711
you	199_404_446
，	84_194_251_330_372_402_428_430_444_483_546_550_555_599_630_712_747_774_802_806
；	179_538
