's	39_533_649_792
,	2_148_243_368_375_446_450_631_634_784_809_813_869
.	11_37_76_119_138_156_176_215_231_253_269_279_302_314_334_356_395_417_441_471_486_500_508_520_540_564_587_598_620_637_653_684_707_731_748_780_789_819_851_875_882_890
100,000	401
13,000	163
1500	192
1930	791
2020	333
31	293
400000	755
a	18_68_96_145_161_183_260_410_424_430_435_447_454_477_550_555_561_623_641_654_668_694_745_749_795_816_843_848_855
about	263
abuse	381_743
accuse	432_680
address	70
affect	160
after	292_453_461_625
aftermath	23
again	329
against	373_670
ago	850
agree	422
aim	204
air	466
airport	460
al-bashir	285_376
al-din	443
alledged	742
alledgedly	382
almost	754
already	341
also	130_590_735
and	52_90_99_276_324_349_371_575_673_883
angrily	42
announcement	64
anonymous	750
anyone	177
appeal	662
approve	603
area	392
arrest	452
as	170_174
at	95_457_549_757
auction	758_845
aung	536_565
author	767_818
authority	420
back	352_872
ban	570
battle	644
bbc	9_519_888
be	4_65_188_205_220_228_240_245_250_267_271_320_404_451_475_483_505_510_569_576_579_689_717_744_786_794_815_862_873_885
become	572
belt	479
benefit	132
bidder	751
bill	201
bit	262
british	766
bryant	877
but	129_480_870
buy	179_251
by	71_358_385_663_693
byrant	788
capital	312
carlos	74
carry	383
case	669
catch	178
chair	764_793_837
charity	844
citizen	449
claim	473_739
clean	59
come	622_853
comfiest-to-fall	796
commend	544
commission	20
committee	87
communist	647
congress	650
continue	581_725
contract	703
cooperation	51
cost	553
could	186
council	805
count	365
country	108_128
court	362_696
create	85
crime	370_372_747
criminal	175_274_361
criticise	54_736
current	299
cyprus	419_438
darfur	394
day	624
decade	849
decide	14
decision	697
deny	377
deputy	608
development	53
dismiss	660
displaced	405
do	699
document	30
dollar	756
donate	840
down	291_345_636
dr.	676_705_721
during	645_810
earlier	43_414
early	695
economic	50
edinburgh	808
effort	546
egypt	427_465
egyptian	448
elect	562
end	301
estimate	162
euro	193
ex-wife	499
expert	92
explain	235_858
explosive	478
extradite	429
face	580
fail	57
fake	485
fess	304
fierce	642
financial	117
fine	189
firm	34
first	195_775
flat	806
flight	436_467
fonseca	36
for	49_56_144_154_194_330_554_728_738_762
force	387_463_690
foreign	82
former	627
french	140
from	31_426_517_571_720_781_879
furnish	803
genocide	367
get	492
give	797
go	268_272_351_868
gold	824
govern	534
government	40_78_386_563_630
great	551
green	6
harry	777_831
hate	746
have	13_142_233_286_340_403_421_502_527_602_659_752
he	288_298_321_325_339_354_462_472_487_489_498_504_638
head	628
hello	1
help	110_802
here	785
hijack	434
house	523
htin	596
huamanity	374
i	3_254_317_829
if	248
illegal	116_151
important	221
in	21_67_295_309_332_346_388_600_651_656_667_710_759_807
increase	111
independent	86
innocent	242_247
insolate	719
international	91_360
into	691
island	495
it	55_150_219_270_621_822_841_852_867
its	61
january	652
jebel	390
jk	768_799
juan	73
judge	655_709
justin	5
jutice	732
kesha	666_715_737
khartoum	313
know	226
kornreich	734
kyaw	597
kyi	539_568
land	469
larnaca	459
last	322_439
later	350_481
latest	514_887
law	33_147
leader	530
leadership	643
leak	26
leave	212
letter	825_857
like	256
limit	582
listen	511
little	261
look	94
lose	640
luke	677_706_722
make	66_149_548
man	431
mandate	300
marra	391
measure	101
military	411
million	28
minister	610_619
mohamed	444
money	266
more	399_846
mossack	35
mostafa	445
move	158
mp	197
multiple	364
music	672_730
my	859_871
myanmar	532
national	89
network	275
new	146_594_657_711_760_782_880
news	10_516_889
nguyen	611
nick	787_876
nostalgic	860
not	122_241_246_327_700_874
novel	779
now	187
obama	526_589
of	24_27_29_79_88_114_135_182_230_282_366_380_393_409_433_531_558_606_617_629_681_826
offense.a	196
offensive	412
office	83_331
official	501_585
often	547
omar	284
on	353_363_583_821_835
only	123
organization	48
other	107
out	384
own	127
paint	820
panama	12_38_80
parliament	141_599
part	229
party	535_648
past	348
pay	153_753
peaceful	556
people	223_237_257_402
personal	552
phone	528
phuc	613
pimp	278
pledge	342
post	616
potter	778_832
power	296_559
practice	98
president	72_281_308_315_525_543_574_588_595
prime	609_618
producer	675
profession	214
promotion	605
propose	100
prostitute	208_225
protect	207
prove	484
psychologically	506
quite	863
rape	682
rather	172
react	41
recent	378
record	727
reformist	633
release	701
report	379_577_878
request	425
rest	134
role	586
rowling	769_800
rule	713
run	328
sad	864
san	537_566
say	202_217_287_337_398_488_503_524_687
sceptic	335
see	497_866
seif	442
service	181
set	16
sex	155_164_184_252
share	105_679
she	216_545_584_683_688_702_724_772_774_804_811_814_839
shirley	733
side	861
sign	856
since	406
singer	665_686
sit	834
slavery	692
sony	671_729
speak	305_591
special	19
standard	97
standoff	456
start	408
step	290_344_635
struggle	817
sudan	283
sudanese	311
sufficiently	718
support	199
suu	538_567
system	118
system.the	63
tax	62
televsied	69
tell	316
tense	455
term	323
than	173_400_847
that	166_218_222_238_338_714_740_884
the	8_22_25_32_47_77_112_115_133_136_139_157_180_200_203_213_280_307_310_347_359_389_396_407_418_458_464_494_513_518_521_529_541_573_593_604_607_615_626_632_646_661_664_674_685_708_741_763_765_790_823_827_886
there	413_470
they	169_227_239_244_249
think	259
this	44_318_415_836
thoma	303
through	81
to	15_58_93_109_131_152_191_206_211_234_236_258_273_277_306_343_423_428_437_468_474_482_491_493_496_512_560_578_592_614_726_798_801_842_865
transition	557
transparency	113
treat	168
two	776
un	397
unstable	507
up	17_60_190
us	542
use	224_770
varela	75
victim	171
vietnam	601
vote	143
want	210_357_490
war	369
we	103_120_126_232_265
wear	476
week	45_440
when	46_297_771_838
where	264
which	102_698
while	723_833
white	522
who	198_209_678
will	84_104_121_159_167_289_716
with	7_106_704_854
within	125
word	355_828
work	124
worker	165_185
world	137_515
would	319_326_336_639
woule	255
write	773_830
xuan	612
year	294_416_812
york	658_712_761_783_881
you	509
