%	860
'	229
's	232_329_599_749_805
,	66_75_180_250_349_371_381_470_496_542_562_578_582_625_680_789_799
.	24_51_55_97_110_119_129_141_167_188_218_222_277_297_317_335_360_387_401_435_441_446_478_501_520_530_551_573_602_629_648_656_669_692_713_725_742_766_783_808_834_852_868
12	42
20	10
2008	833
25	617_859
50	348
60	777
`	226
a	13_17_48_100_105_147_171_204_246_265_270_366_385_408_479_491_513_547_633_641_674_677_695_731_820
about	41_80_532_858
afghan	295
afghanistan	196_306
after	157_173_589_635
against	327_512
agenda	601
air	611_665
airforce	643
akhtar	284
akhundzada	238
alan	653
also	287
among	8_689_865
analyst	652
and	3_34_37_87_93_117_282_307_382_420_459_498_610_639_666_676_681_706_720_734_847_861
another	174
any	314
appalling	732
appoint	234
arab	850
area	647_679
arm	84
army	45_727
around	458
artical	347
artillery	667
artisan	29
as	264_730
assailant	166
at	451_564_615_747_857
attack	15_140_169_183_503_631
australian	539
back	364
backer	217_263
bail	701
bakery	30
bangladesh	20_128_145
bank	813
base	273
basis	312_416
bbc	529_869
be	7_99_115_125_137_150_159_176_322_363_389_407_422_425_437_449_464_472_475_485_522_553_662_685_688_698_715_740_754_764_772_791_801_836_862
before	44
begin	351
behind	138
better	841
block	596
brexit	362
britain	328
burn	486
but	67_251_298_447
by	164_184_365_490_717_793_803_811
cafe	18_31_74_103
call	585
campaign	380
capital	375
capture	638_716
central	325_516
close	549
coalition	571
come	170_632
commando	46_71
conservative	806
consider	202
constitution	316
contest	550
continue	594
correspondent	784
count	536
country	826_844
crime	733
crisis	831
current	575
customer	38
damascus	628
datum	809
day	172_634
dead	114_691
death	179_724
decision	330_434
describe	728
development	751
dhaka	33
diner	92
district	106
do	243_395_476
dozen	663
early	587
east	651
eid	227
eight	81
election	541_588
electorate	370
emirates	851
emphasise	252
end	70
entire	399
eu	334_359
european-style	102
even	863
evident	391
evidently	426
executive	746
fairly	390
far	545
feel	427
fight	151
financial	830
fire	90
first	225
follow	509_758
for	40_152
force	304_699_755
foreign	303
foreigner	109_124
form	310
formal	353
friday	22_79_163_694
from	345_357_527_604_658
fully	439
fund	752_771
future	315
general	540
germany	846
global	829
go	465_473
government	209_255_296_344_572_598_608_696
greece	815_855
ground	489_710
group	134_200_242
gun	86
hack	177
haibatullah	237
half	533_819
handpick	792
happen	423
hassan	797
have	197_239_286_300_321_430_456_484_613_753_800_823_839
he	153_158_199_224_278_704_714
head	768
higher	864
hindu	148
hit	672
hold	35
holey	28
hope	340
hospital	156
hosseini	788
hostage	39_96
hour	43
how	452_761
hpakant	505
i	402_448
if	207_462
in	12_19_32_68_104_127_143_155_195_210_223_324_373_481_504_506_515_537_591_619_645_843_854
include	673_845
independent	590
indication	554
