's	51_411_418_627_884_893
,	2_88_224_263_274_354_356_433_477_487_551_630_643_732_735_738_741_746_752_768_784
.	11_30_48_77_113_125_137_154_189_206_213_250_289_302_318_323_349_375_390_414_430_457_465_498_524_562_568_586_603_615_639_669_685_700_718_723_764_797_820_851_864_882_905_927_930
1/6	915
15	776
20	583
50	198
50-50	493
6,000	727
60	811
62	372
a	15_21_41_79_94_128_162_222_254_369_501_569_591_599_651_670_771_821
about	775_914
actually	235_336
aden	578_604
advantage	503
advisor	822
after	594
against	447
agency	740
ago	188
agreement	836
agricultural	363
aid	714
al-abadi	160
alexander	453_505_541
all	82_834
allege	860
allow	874
almost	492_726
also	139_526_799
american	152
americans	312
anchor	867
and	70_103_364_388_405_440_742
announce	140_331
annual	772
anti-migrant	439
anti-terror	870
area	129
arm	85
army	600
around	195
as	54_226_228_510_608_716_750_861
assad	638
assert	56
at	420_521_581_598_729_765
attack	571_589
attendee	728
austin	6
austria	410
baghdad	202_297
ban	22_39
base	610
bayer	355_376
bbc	9_567_928
be	4_66_119_127_166_217_252_253_268_285_291_305_308_335_346_401_445_460_472_483_491_516_605_617_656_674_706_720_725_770_786_843_856_910_919
become	409
before	872
begin	696
behind	316
believe	329
belle	459
bellen	456_508_544
bethany	458
better	758
between	257
big	142_163_265_549
billion	373_777
bio-technology	365
blast	660
bolt	593
bombardment	249
both	495
break	717
breakdown	533
bring	92
brussels	865
brute	852
built-up	215
business	749
but	225_275_509_552_798
buy	360
by	692_818
call	429
candidate	435
center	602
certainly	276
china	55_63
citizen	876
city	174_197_273_550_576_624_663
claim	59
close	427_475_514
coast	629
cold	46
come	53
commercial	143
complete	104
conference	731
conflict	819
congratulate	890
consideration	486
control	171
could	489_832
country	134_831_892
countryside	561
course	345
craft	908
create	381
crisis	763
currently	606
cuz	339
david	5
day	205
dead	585
deal	144_286_370_848
decide	281
demir	207
der	455_507_543
describe	711
determine	398
detonate	590
development	462
diplomatic	97
disagree	136
displace	817
do	244_309_325
dollar	374_778
donor	744
door	295
double	862
down	912
element	341
end	35_95
enemy	112
erdogan	702
eu	855
euro	441
europe	881
european	839
even	478
explosion	621_673
explosive	592
export	118
extent	796
fallujah	176_260_282
far	227
far-right	438
fertilizer	389
fighter	180
firm	366
first	288_687_900_921
follow	461
for	220_259_494_540_556_611_647
former	111_449
four	659
free	878
freedom	443
from	75_177_416_565_733_736
funding	783
further	671
gap	773_793
german	351
giant	353
go	218_258_348
gon	787_801
government	29_614_635_734
green	450_547
group	642
haider	159
halt	314
hanoi	76
happen	236
have	19_91_193_208_216_283_357_579_655_677_710_815_827_889
he	131_138_146_859
headreports	74
hello	1
heyday	739
hofer	432_558
hold	313
host	707
how	757
human	123_648
humanitarian	689_762_782
hundred	391
i	511
if	841
impossible	518
in	60_203_237_269_330_368_463_531_548_559_572_622_658_661_666_680_698_721_779
india	883
interesting	530
international	713
into	485
iraqi	156_278
islamic	178
istanbul	699_722
it	183_251_290_317_488_842_873
its	57_68_110_835_869_891
jableh	665
job	153
join	595
just	528
kill	657
kilometer	199
kind	246
know	230
latakia	667
launch	897
leader	452
least	582
leave	423_580
legacy	98
legislation	871
lift	20
lifting	80
linger	42
long-standing	38
lot	537_553
many	84
mark	719
mediterranean	628
migration	850
military	117_164
million	812
minister	158_886
model	902
modi	888
moment	523_767
monitoring	641
monsanto	367
more	184_209
mosul	262
move	65_379
mr.	31_114
much	232
muster	194
na	788_802
narendra	887
nations	695
neck	404_406
need	808
neighbor	69
news	10_564_929
next	412
ngo	737
norbert	431_557
normalization	106
north	271
not	231_326_844
nothing	321
now	816
number	652
obama	13_32_90_115
observatory	646
of	36_44_81_99_107_151_172_175_191_201_210_233_239_247_267_342_344_371_385_392_394_436_496_534_538_545_554_577_619_633_636_653_664_683_703_774_781_809_898_916_922_925
offens	332
offensive	240
offer	358
on	14_23_219_293_625_849_895
once	866
operation	165_212
or	261
organization	745
organize	691
other	748
outcome	425
over	298
party	444_451
people	584_654_813
pesticide	387
pharmaceutical	352
pit	446
place	679
plug	791
polling	421
port	682
possibly	499
postal	395_481
president	12_50_89_413_637_701_826
presume	241
prime	157_885
prize	266
project	466
prototype	926
province	668
queue	597
quite	221_529
race	407
really	256_517
recent	204
recruitment	601
reform	868
relation	108
remove	40
report	587_618_675
