''	120_128
,	54_154_160_171_198_212_236_241_282_284_287_360_373_475_551
.	22_34_43_62_76_92_102_116_129_149_175_222_234_269_298_315_326_398_434_459_483_509_512_542_566
2014	531
72	145
?	247_408
a	1_8_30_87_105_185_189_195_251_256_303_414_462_480_487
about	274_368_495
actually	115_183
after	536
age	266_323_565
ago	148
all	53
also	555
america	357
and	63_130_150_237_253_270_352_366_379_399_420_466_471_503
animal	26
any	561
apparently	133_211
as	358_473
at	202_387_391_442
away	233
basically	302
be	27_37_45_65_71_78_113_118_132_136_143_173_179_182_193_200_228_250_255_272_276_291_301_317_328_336_349_362_413_422_451_467_520
beaked	283
beast	424
because	134
bed	343
before	15_216_310
big	88_415
bird	24_257_297_481
blast	232
blow	218
briefly	400
broadcast	546
build	194_485
building	32
bush	516
but	161_176_210_339_435
by	188
call	119
china	346
chinese	31
close	293
comeback	529
construction	186_190
correspondent	99
creature	11_332_470
crest	285
cretaceous	396
decade	535
die	152
diet	465_482
different	454
dinosaur	21_51_61_83_159_259_268_290_307_325_419
discover	3_28_229
discovery	240
diversification	91_416
do	401_417_437
dr.	35
dragon	122
during	73
dynamite	201
eat	452_468
edinburgh	42
end	263_320_393
evolutionary	312_506
evolve	406_447
excavate	350
except	448
extinction	18
feathered	289
few	57
find	114_180_354_363
first	545
five	549
flourish	13_72
follow	238
for	157_225_526_548_564
fossil	4_209_342
from	38_96_261_456
gill	101_511
give	6
go	85
group	69_81
have	5_104_243_348_377_384_428_461_500_517_558
head	286
hear	94
heaven	127
high	196
how	111_374_504
i	93
in	108_138_344_355_418_530_543
insect	472
insight	9
interesting	273
interview	547
into	10_220
it	64_103_112_117_135_142_151_172_178_214_219_227_244_249_316_327
journey	433_507
just	14_215
kate	515
know	403_410_440
last	49_56_80_539
like	25_258_309_372_386_502
live	378_541
look	281_308_371_385_501
lovely	106
luckily	224
mass	17
mean	163
million	58_146
mire	137
modern	296
more	95_365_367_478_494_532
much	477_493
mud	140_167
muddy	121
mysterious	338_423
new	562
north	356
not	438_559
notice	207
now	351
oblivion	221
of	19_41_47_52_60_67_82_90_110_264_267_295_305_321_324_394_479
off	430
omnivorous	464
on	29_123_184_431
one	46
out	364
oviraptorosaur	252
part	66
particular	444
perform	540
period	397
picture	488
point	445
preserve	174
rather	230
really	439
recently	2
reclusive	553
relative	294_458
return	522
reveal	518
right	260_318_390
road	125
rock	170
sadly	156
say	556
school	197
science	98_226
scientist	7
seem	426
sellout	528
she	519_527_537_544_557
singer	514
site	33_187
small	469
snapshot	304
so	223_248_299_476_484
song	563
southern	345
spot	213
stage	525
star	554
start	314_429_508
steven	36
stick	144
story	107
strange	280_288
survive	50
team	191
tell	245_491
term	109
terrify	521
than	231_533
that	12_70_84_131_162_164_166_205_239_277_311_333_347_388_411_425_432_443_449_489_497_505
the	16_20_23_39_48_55_79_124_139_158_203_208_262_265_319_322_381_392_395_513_524_552
there	153_407_412
these	278_329_341_421
they	77_199_206_217_370_375_405_446_450_457_460
thing	455
this	44_68_74_275_300
three	534
through	86
time	75_204_389
to	126_169_335_427_523
trajectory	313
turn	168
university	40
up	486
use	334
very	155_279_292_337_453_463
victoria	100_510
wave	89
we	97_246_361_402_409_436_492
weird	330
well	359_474
what	242_271_306_369_380_496
when	141_165_177
which	181_254
who	192
why	404_441
will	490
winged	331
with	340_353
world	382_498
would	376_383_499_538
write	560
yeah	235
year	59_147_550
