''	77_117_229_316
's	71
,	24_100_110_146_157_222_252_278_295_318_346_371_387_401
--	41
.	14_31_58_78_83_89_96_118_131_137_168_181_207_230_236_258_265_276_284_302_310_337_354_365_374_394_395_412_419_427_435
...	405
?	273_361_385
``	74_114_226_314
a	39_43_46_56_143_176_184_324_333_408
about	410
actually	255
after-party	185
against	151
alfredo	167
all	129_398
also	216
always	424_429_432
american	50
and	20_49_90_142_161_208_215_237_297_420
anything	199
arm	174
around	212
arrival	121
as	106_108_196_198_323
at	187
auditorium	92
back	164
battle	150
be	11_16_17_80_85_94_105_183_210_239_249_267_272_281_286_287_290_299_369_391_397_415_423
beautiful	370
box	353
break	158
but	4_119
by	179
carpet	87
cast	321
change	128
character	325
come	36
community	296
coppola	70_124_214_221_304_340_382
correspondent	60
could	254
crisis	13
crowd	211
cuz	241
design	178
die	170
direct	52
director	224
do	356
during	138
enjoy	256_358
even	320
everyone	209_279
exciting	301
family	53_383_390
famous	47
father	218_309_422
feature	191
film	51_317
final	313
first	348
flamboyantly	171
ford	220_339
francis	219_338
from	307_350
full	95
fun	288
get	327
gilded	197
go	28_63_234_263
godfather	228_315
gown	177
guest	192
half	144
happy	240
have	10_27_104_127_201_377_414
he	173_312_319_428
here	93_186_280
heroin	112_148
hour	145
house	7_35_103_336
how	266_355
i	238_246_248_253_260_362_366_431
idea	40
in	8_12_21_97_125_172_311_380_393
invent	2
invite	42
involve	392
it	15_79_231_257_262_285_298_368_411_418
italian	48_334
italy	1
its	5_25
james	61
just	195_202
kill	328
kind	283_426
know	404_407
la	75_115
learn	305
life	384
look	194
lose	18
lot	409
love	363
lover	166
manage	154
member	44
money	19
move	373
musician	26_400
my	388_421
nervous	251
next	140
night	82_244
of	45_68_73_113_122_225_292_332_344
on	29_204_329
open	81
opera	3_6_34_102_189_271_306_335_349_378
other	243
outside	88
part	291
performance	57_136_360
play	379
premiere	67_343
production	72
professional	399
really	250_274_300
recent	22_98
red	86
reynolds	62
role	376
rome	9
royal	352
see	65_203_417
seem	232
she	165_169_217_308_322_347
sick	107
so	32_259_282_402
sofia	69_123_213_303
stage	55_206
step	331
story	434
strike	30
tell	430
that	130_364
the	33_66_91_111_120_135_139_147_188_205_223_227_242_268_293_330_342_351_359_381_433
theatre	294
then	162
there	84_182
think	247_261_367
this	101_345
three	141
thrilling	275
to	54_64_155_233_270_289_416
transition	269
traviata	76_116
tuberculosis	152
up	37_159
valentino	126_180
very	372_425
violetta	109_149
wait	134
watch	341
we	59_132_200_396_406_413
wear	175
well	235_264_386
what	375
when	245
which	190
whilst	153
who	193_326
whole	389
will	133
win	156_163
with	38_160
yeah	277
year	23_99
you	357_403
