'	749
's	185_258_292_467_626_879
,	77_308_338_391_630_850_855
.	21_61_70_81_88_120_132_160_190_217_222_235_246_266_278_316_334_359_388_402_415_423_435_450_469_489_512_526_541_546_572_588_592_622_649_670_695_728_766_779_797_818_833_868_890_893
100	863
13	759
15-year-old	715
2012	234
30	19
70	411
80,000	362
85,000	448
?	94_98_102_107_111_115_124
`	746
a	1_4_36_146_317_375_413_503_532_633_682_696_704_714_718_753_767_788_819_842_885
accept	613
accusation	609
accuse	579_735
across	835
add	295
against	148_646_661
agenda	293
air	354
airstrike	2_147
alberta	326
all	68_73_118
allegation	660
alleged	586
allegedly	605
allow	809
already	153_365
american	298
americans	216
and	75_206_294_353_374_416_436_531_713_775_860
angeles	727
another	817
apparent	754
area	57_373
around	482
as	182_439_479_744
assembly	853_859
at	17_524
attack	30_131_495_787
avengers	825
back	638
badly	304_804
ban	261
bbc	43_545_891
be	12_23_67_72_96_100_104_109_113_117_122_139_174_219_225_230_237_253_270_285_301_310_327_383_445_460_484_518_529_534_578_656_734_737_742_752_800_838_870
because	750
believe	13
between	508_761
bicker	221
billionaire	195_277
blame	47
blaze	340
blow	426_829
border	11
brazil	551_625
bribe	618
britain	836_878
businessman	196
but	35_671
by	385_537
call	821
camp	7
canadian	323_452
candace	589
candidate	186
car	475
carry	27_144
chad	378
chevron	789
child	76_92
choose	884
civilian	69_150
come	419_674
concern	657
condemn	129
congress	561_669
contain	357
continue	328_504
control	333
convict	703
corner	431
corruption	587
could	209_663
council	865
court	549_595_652_768
criminal	85
critical	254
cunha	576_600
damage	805
david	730
day	336
decade	724
defy	345
delta	795_824
deny	621
dilma	570
divisive	628
do	87_90_93
dollar	616
donald	180_256_279
down	477
due	397
during	502
earnest	136
eduardo	575
effort	347_565
election	845
else	80
emergency	376
england	867
equipment	807
escape	158
estimate	446
evacuation	463
everyone	114_123
excuse	142
eyewitness	63
face	681
facility	815
fighter	350
figure	629
fire	320_349_394_425_444_480_523
first	197_315_872
flame	382
