%	869
'	105
's	24_174_219_229_413_457_703
,	11_17_58_82_100_108_128_204_236_282_350_534_732_781
.	40_50_93_114_137_156_185_200_217_244_255_259_291_315_335_358_380_398_418_441_462_485_497_510_516_540_560_564_594_608_628_646_663_685_707_720_748_752_761_775_804_818_839_855_872_875
14	110
145	280
15	573
16	438
17	367
1958	788
1965	794
1990s	578
2012	339
36	868
56	524
60	850
7	790
75	751
86	278
a	79_142_270_289_328_406_487_495_517_535_550_601_779
abortion	526_554_606_648
about	285
abroad	509
access	680
accord	425
account	70
accuse	12_207
action	461
advert	845_860
advertisement	828
afield	636
african	690
after	109
against	64_415
agnew	760
ahead	698
air	798
all	96_538
allow	844
almost	132
also	454_589_858
always	623
and	20_26_121_151_191_253_348_388_434_508_588_629_726_737_770_789
announce	263
appear	469
arians	256
around	529_572
arrival	631
arrive	694
art	370_416
as	251_405_688
at	835
attempt	337
author	583
automatic	154
bag	374
ban	479_500_827_859
barbados	747
bbc	515_756_873
be	43_52_78_166_284_294_311_362_390_493_502_522_599_600_610_613_712_750_754_764_809_867
billion	298
block	192_714
border	360_377_432
brazil	54
brazilian	1
breaking	14
brilliant	407
broadcaster	771
building	197
but	115_453_656
by	331_386_430_459_585
call	327
candidate	466
candidte	203
capriles	206
caracas	199
charge	63
clash	161
collection	424
come	687
commentate	811
commentator	736
commission	176
company	830
congress	247_319
correspondent	55_758
cost	97_295_421
country	23_173_412_620_655_697
cozier	740_763
cricket	731_757_786
criminal	254
crisis	127
criticise	504
cruel	329
cut	232
datum	557
davis	57
day	851
debate	3
deficit	77
demand	590
demonstrate	410
demonstrator	164
describe	248_403
develop	654
die	742
dilma	9_59_129
document	428
dollar	290_300
donald	467
double	243
down	679
dramatically	235
draper	562
drive	579
due	614_848
during	715
early	336_577
east	618
economic	126
economy	25_314
election	175_717
enemy	92
england	813
enter	482
estimate	520
euro	440
europe	597
european	619
event	136
every	332_532
exceed	437
expect	44
express	34
eye	216
fall	658
familiar	725
family	593_643
far	33
february	719
few	48
fifty	805
fight	414
finest	768
first	802
fiscal	15
for	36_269_477_591_800_829_846_861
force	148_351
former	201
from	277_392_513_571_617_634
fuel	233_292
full	37
further	635
future	6
game	774
gas	190_213
giant	821
global	448
go	275
google	822
government	69_107_118_228_262_297_353_673
growth	587
guard	361
have	31_160_320_365_443_501_558_569_622_624_650_657_674_741_823
he	215_472_490_744_749_782_795_808
head	691
headquarters	170
henrique	205
here	51_753
hide	72_85_371
high	625_836
higher	551_871
hippers	257
hiscontroversial	475
hit	312_796
home	745
hour	49
illegally	67
immigration	616
impeachment	38_149
in	45_112_122_158_198_240_338_372_394_486_505_544_575_580_595_604_653_660_668_695_710_718_729_743_746_772_787_793
inauguration	704
include	384
increase	570_603
indies	735_817
interest	837_865
international	309_730
internet	665_820
interview	489
into	214
it	224_322_326_404_492_686_825_840_856
italy	395
its	313_853
jane	561
jonathan	759
journal	548
journalist	780
just	494
labour	246_318
lack	18
lancet	546
last	396
later	792_807
law	16
lead	140_194_343
leadership	19
left	102
legitimate	333
level	552_652
litter	271
loan	834_847_862
longer	843
low	304
maduro	184
main	220
majority	28_144
make	152
manipulate	68
march	167
market	310
means	334
measure	330
media	683_709
medical	547
middle	124
might	638
military	435
million	439_525_574
mismanage	21
moldova	379
most	724
motivation	88
move	230
museum	393
museveni	702
muslim	481
naira	281
near	375
nearly	242
new	518
news	512_874
next	47
nicolas	183
nigeria	218_245_317
nigerian	261
no	842
not	444_639
now	523
number	566
of	7_29_75_89_125_145_171_210_272_288_299_369_422_450_537_553_567_632_692_699_722_766_778
offer	831
oil	305
on	168_177_264_307_474_480_705_785_852
one	662_721_765
only	141_445
operation	408
opponent	139
opposition	163
or	870
order	675
oust	181
overall	420_647
overwhelming	27
painting	382_452
part	581
party	106
per	301
petro	401
petrol	273
place	528
plan	250_357
planning	644
plastic	373
police	157_187_209
political	5_91
popular	120
population	586
poroshenko	402
power	113
powerless	133
pregnancy	539
president	8_182_400_700
presidential	202_465
prestige	458
previous	556
previously	713
price	241_268_306
proposal	476
propose	499
prosecution	436
protect	446
provide	429
provider	667
publish	543
quarter	287_536
rate	607_627_649_838_866
reaffirm	455
real	87
recover	366
reduce	341
referendum	179
remain	651
remove	95
report	258_363_563_784
republican	464
research	542
resist	226_324
respected	727
result	239
richer	661
riot	186_349
road	193
roussef	10_60_130_153
rubens	389
say	61_99_223_321_491_584_670_824
scale	74
screen	81
search-efficient	460
seem	131
senator	2_30_146
service	433_645_666_684
several	689
she	13_66_90_98_117_138
short	832
show	549
shut	678
significantly	659
simple	143
slice	602
smaller	592
smoke	80
smuggling	417
so	32
social	682_708
soften	471
some	664
son	777
spread	346
stand	473
start	783
state	693
steal	391
still	810
stop	135
strike	347
study	519
subsidy	234_293_342
suggest	559
suggestion	496
support	35
suspention	155
take	527
tear	189_212
television	488
temporary	478
tend	640
term	833
termination	568_626
than	555
that	65_266_283_423_671
the	4_22_41_46_62_73_76_84_86_101_123_169_172_178_196_208_227_249_260_267_296_308_316_352_356_376_381_411_419_427_431_447_463_483_498_506_514_530_541_545_565_576_582_605_630_672_696_716_723_733_755_767_773_776_797_801_815_819_864
there	521_598
these	451
they	676
think	611
this	609
three	286
throw	211
thursday	706
time	803
tintoretto	387
to	71_83_94_134_147_180_195_231_279_340_344_354_364_426_470_612_615_641_677_681
tony	739_762
tour	814
trade	221
trial	39_150
trump	468
uganda	669_711
ukraine	456
ukrainian	359_399
union	222
unjustifiable	252
up	276
us	484_507
use	188_642
value	449
venezuela	159
voice	728
vote	42
wave	799
we	53_442
weak	119
website	854
wednesday	265
west	734
western	596_816
what	325
when	812
where	863
which	237_383_409_621
while	303
who	165_637
wide	345
widely	503
will	56_225_238_323_826_841_857
wing	103
with	116_162_378
withdraw	355
within	849
woman	633
work	368_385
worker	104
world	511_531
would	274
writer	738_769
year	111_302_397_533_791_806
yoweri	701
