'	705
's	17_36_187_332_377_430_589_695_732_794
,	2_23_51_54_63_81_94_100_111_120_132_147_172_190_200_226_229_243_259_280_282_316_323_336_338_344_346_366_380_460_508_510_532_560_580_684_686_707_718_829_846_857
.	11_40_70_73_127_163_176_207_221_240_247_273_292_306_330_369_373_390_404_419_444_468_494_515_525_551_568_592_616_639_654_667_679_688_699_724_737_751_763_790_818_825_851_863_866
2,000	475
5,000	756
50,000	646
600	517
a	12_44_75_78_101_150_169_233_393_456_540_557_625_640_644_661_826_841
about	320
accuse	530
act	87
acting	388
africa	767
african	477_779
after	24_782
agency	507
aid	506
aim	563
alexander	281
all	214_359
allegation	789_824
alleged	792
allegedly	30_106
allow	606
ally	46
alongside	502
amount	414
anc	842
and	64_114_148_173_260_271_324_434_466_511_534_549_561_621_650_719_734_858
animal	704
anonymity	850
another	278_516
app	807
arabia	536
as	96_386_448
aside	22
assad	588
at	182_350_473_564
attack	555
attempt	453
audio	131
austria	186_305
austrian	257
austrians	237
authority	471
bbc	9_864
be	4_20_26_43_58_141_155_162_166_201_217_232_277_286_296_358_371_375_406_422_452_479_519_538_562_637_648_669_690_701_745_754_784_805_812_855
because	317
bed	839
behind	539
believe	407
belle	245
besiege	611
bethany	244
biggest-ever	37
billion-dollar	102
blatter	368
bleeding	146
blind	696
blindness	666
boat	483
body	335_451
bombing	543_579
bonus	412
brazil	16_126
brazilian	170
breach	397
breathe	218
bribery	103
but	381_752
by	168_203
call	597
campaign	250
candela	6
candidate	197
cape	773
carry	576
cartner	345_374_409
carwash	98
catch	27
centre-left	270
centre-right	272
china	694_744
chinese	655
city	546_613
civilian	607_647
close	45
coalition	328
coast	486_495
coastal	590
come	436_447
comment	57
committee	433
concern	319
congress	781
connection	399
consider	860
conspire	31
constitute	556
contents	165
context	62
contract	403
control	638
conversation	76
conway	372
cornea	706_750
correspondent	683
corridor	604
corruption	38_68_92_355
could	728
country	35_731
cover	712
damage	749
danger	653
day	443
decline	769
deep	253
defeat	202
deny	822
deputy	342
derail	565
design	461
deter	89
develop	660
dire	652
director	379
disclose	167
dismissal	446
dollar	418
donor	760
dozen	108_583
during	840
each	761
ease	729
easily	220
economy	322
effort	567
election	189
employee	828
employment	402
enough	814
escalation	559
establishment	266
estimate	645_746
europe	216
european	177
event	843
evidence	815
experimental	662
expose	252
express	180
extremism	239
eye	674_717
fallujah	615_630
far-right	194_310
feeling	303
fellow	79
few	442
fifa	337_376_391_429
film	710
finance	378
financial	431
fire	340
five	740
foot	254
football	331
for	67_308_598_665
force	834
foreign	210
france	820
frank	212
freedom	195
french	223
from	241_428_481_631_675_758
front	714
frustration	325
german	209
global	681
govern	123_334_450_778
government	19_329_528_619
green	290
guard	496
harassment	788
have	153_179_251_311_339_382_425_529_573_596_623_659_748_768_799_821_847
he	25_56_65_85_293_445_783_832_838
head	287
heartland	591
hello	1
help	693
here	370
hidden	411
hide	427
himself	113
hofer	199
hour	493
human	678_759
i	3
image	465
impeachment	137
implement	455
imply	84
important	297
in	15_74_125_128_191_215_256_304_313_398_439_489_521_544_586_651_743_765_837_844
include	112
increase	262
integrity	467
interim	49
internal	394
into	677_722
investigation	39_93_395
involve	107
iraqi	612
irish	513
islamic	571
it	231_295_405_552_575
italian	470
its	341_363_387_401_464
jableh	550
january	845
juca	42_83_134
julia	71
julie	5
key	13
kill	582
know	95
latest	348
leader	178_775
leak	130
least	474
leave	609
