''	656
's	615_659_731
,	79_114_118_127_129_132_164_241_252_283_360_482_521_624_652_684_747_833
.	23_39_55_66_73_111_141_150_168_194_209_227_259_270_298_331_337_369_388_418_450_472_487_503_509_531_549_553_564_576_590_621_629_657_687_700_715_729_756_778_802_812_822_848_851
1.3	840
20,000	364
200	305
2008	775
2012	777
22,000	570
60	409
61	801
``	654
a	16_63_96_210_219_254_262_328_343_371_376_419_477_518_581_599_737_779_819_828
abortion	456
about	440_476
abroad	714
accept	839
account	713
accusation	835
act	258
acute	386
after	463
against	224_673_694
age	799
agree	517
alert	467
alia	653
all	834
aloft	134
ambassador	807
america	430
and	92_101_112_256_264_280_289_321_416_461_485_513_572_587_613_643_707_723_776_810
announce	760
announcement	639
another	229
antigua	809
any	720
around	375
as	62_406
ash	804_824
ask	102
assembly	786
at	327_349_407_577_797
attack	188_821
attempt	50
august	755
baby	495
ballastic	232_281
bama	356
ban	740
barbuda	811
basis	405
bbc	508_849
be	3_14_45_152_158_166_185_218_253_261_340_347_383_400_401_468_490_525_545_580_626_634_665_702_788_805_825
becca	70
birth	501
bitter	582
boko	315
borno	358
brazen	255
brazil	460_658
breach	273
bribe	706_844
brutal	600
businessman	847
but	591
by	234_274_475_604_761_827
camp	330_351
can	497
capable	186
carry	178
catastrophic	344
ceasefire	520_642
charge	672_703_791
charity	301
child	380_449
chinese	846
citizen	297
city	354
claim	567
clasp	130
colleague	104
columbia	486_533_557_631
columbian	511
community	251
competition	743
congress	9_149_683
congressman	85
continued	272
corruption	671_790
costa	483
could	544_735
country	184
court	661
cunha	686_689_717
daily	404
day	412
deal	543
decade	563
defect	502
defiance	243
dehydration	322
delibrate	263
demand	19
democratic	11_124_236
deny	719
detail	336_523
die	318_796
dig	402
dilma	698
disease	417
dismiss	59
displace	575
disputer	583
do	722
dollar	842
doping	745
double	458
down	47
dprk	276
drug	607
eduardo	685
effect	442
el	480
emergency	346
enough	666
equador	462
evidence	667
evolve	594
exclude	748
extraodinary	4
face	736_789
fail	290
farc	514_649
farhan	213
federation	765
fifth	377
file	669
final	541
finally	623
find	452
first	465
five	99_562
flee	311
floor	28_110
follow	438_766
for	98_455_637_744_808
