'	368
's	6_16_183_401_607_707_764
,	18_37_40_120_240_279_285_291_348_352_429_558_698_754_796_828_858_865_896
.	28_54_71_81_95_117_147_185_207_236_247_261_275_307_313_317_321_332_342_361_369_394_403_416_433_461_481_494_515_540_563_584_587_611_622_638_650_673_689_705_710_735_771_789_815_837_854_877_904_925_941_944
1.5	122
16	819
180	169
1960	801
1970	688
30,000	938
32	615
35	621
350,000	888
69	814
a	44_219_231_262_297_441_508_571_659_674_690_745_830_851_878_902_911_919_922_929
about	121_499
account	179
act	295
activity	730
actress	793_826
actually	278
add	432
administration	17
affair	393
affect	465
after	211
against	491
age	812
agency	723
ago	890_940
air	489
airbase	484
airport	500_644
alexandria	512
all	82_365_411_550
allegation	174
allow	662_716
also	89_103
although	914
american	189_792
and	148_253_268_292_299_322_327_329_333_343_382_424_426_434_453_473_518_553_560_575_619_736_769
antonin	785
anybody	272
argue	756
around	711_937
as	223_296_732_859_874_910
ask	330
assessment	446
at	230_250_283_289_810
attack	608
authority	589
autobiography	864
back	158_685
bargaining	734
base	385
basis	467
battery	206
bbc	585_942
be	57_113_130_166_214_258_266_273_277_287_294_311_315_319_324_335_339_397_412_418_438_485_492_496_520_526_533_536_568_582_617_635_692_773_817_871_907
because	111_128_137_390
become	885
belgium	591
benefit	760
best	824
biggest	2
bind	510
bipolar	875
blind-and-deaf	831
block	302
body	626
both	846
brazil	5_87_94_108_136_182
brazilian	33_124
brussels	610
business	74
but	855
by	31_159
cairo	514
california	667
campaign	196_245
can	271_747
careful	422
carry	537
case	360
catch	215
challenge	680
character	848
charge	194_274
coalition	8
coexist	898
collect	669_721
collective	733
come	210
committee	50
conclusive	260
condition	449_770
conduction	140
conference	310
confidence	77
confirm	641
congressional	49
conservative	783
consideration	425
contribution	753
coordination	428
corey	212
count	636
country	480_547
court	654_691
crew	519
cyprus	531
date	684
day	170
deadlock	776
death	780
decision	405_463_777
decline	656
defend	243
deficit	184
democratic	34
department	400
deputy	59
describe	909
die	603_809
dilma	14_109
diplomat	381
disorder	876
do	305_316_340_407_419_740
donald	203
down	594
drive	51
dual	631
duke	795_806_840
earlier	233
ebola	567
egypt	503
elasmotherium	905
environment	460
ethical	923
evenly	694
event	574
explosive	539
extinct	886
extraordinary	572
face	26
fake	538
family	378
fear	498
federal	612
fee	670_724
fields	222
financial	91
find	534_932
finish	320
first	409
flight	509
florida	192
follow	504
for	168_198_487_799_901
fragment	931
free	521
fresh	497
from	304_511_671_725_761
fund	729
gary	708
giant	879
girl	832
give	41
go	364_757
govern	7
government	146
grab	218_288_328
great	45
group	675
guinea	557
half	712
have	9_75_193_373_545_592_602_633_640_655_679_808_884_892
he	72_244_293_351
health	543_573
here	706
hijack	506
hijacker	525
hopeful	202
horse	924
house	68_154
household	852
how	270
human	900
i	248_257_290_344_349_353_430_435
if	157_280
impeachment	27_149
in	4_47_65_78_86_93_135_151_164_187_386_451_454_459_468_470_475_502_530_590_604_609_666_833_842_856_862_933
incirlik	469_483
inter-agency	427
intermedia	298
invest	134
investigate	173
it	20_314_318_417_437_915
izmir	474
job	116_127
john	395
join	744
journalist	220
just	818
justice	784
kazakhstan	935
kill	618
kirby	396
know	600_798_873
last	118_605_787
law	660_702
leader	60
leave	389
leonardo	55
leone	562
lewandowski	213
liberia	559
lift	549
lightly	415
like	918
likely	22
live	893
longer	570_895
look	249_267_282_916
lose	76_114_125
lot	263
low	583
lower	67_153
main	847
mainly	464
majority	46
make	19_849
manager	197_246
manipulate	177
mask	181
matter	697
mean	699
member	727
michelle	221
mid	687
might	431_891
militant	493
military	383
million	123
miracle	835
mistakenly	634
month	156_235_788
more	21_917
move	30_209
movement	35
mr	228_241
much	440_894
name	853
nationality	632
never	357
news	98_309_586_943
next	155
no	569
non-member	672
non-union	677_726
northeastern	934
not	131_336_413_620_646_741
now	88_599_872
number	596
o'donoghue	709
of	12_61_69_107_138_141_191_264_376_379_391_410_421_443_447_456_478_507_578_597_627_676_713_750_781_813
officer	639
on	216_556_648_695_767
ongoing	445
opponent	43
opt	748
or	38
order	374
organization	544
original	701
oscar	827
oscar-winning	791
other	765
out	11_420_749
over	144_312_887
overturn	658
paleontologist	927
parliament	70_172
party	3_36_64
passenger	517
patty	794_805_839
pay	751
people	112_265_598_616
personnel	384
picciani	56
play	829_845
pmdb	39_63
police	186_529
political	752
possibly	897
president	13_80_106_143
presidential	201
private	857
process	53
production	84
prosecutor	613
public	663_717
pull	10
question	227
quetion	331
rally	232
recognition	455
release	97
remain	551
reopen	647
reporter	239
republican	200
restriction	555
result	163_442
reveal	861
revise	593
rhinoceros	880_920
risk	577
rousseff	15_110
ruling	682
run	325
russian	926
say	73_99_269_354_566_614_624
scalia	786
scientist	882
second	775
sect	718
sector	664
security	392_448_501
senate	161
