'	615_839
's	68_112_166_339_372_470_741_824_865
,	13_204_209_218_223_226_239_243_246_249_262_282_287_295_342_347_629_644_662_758_818
.	26_40_46_62_71_87_110_140_163_172_183_192_213_230_256_308_330_336_369_387_423_447_468_482_495_509_520_530_553_582_596_618_627_635_658_692_712_733_753_773_792_826_853_867_870
14	764
15	660
1500	492
153	48
17.2	810
2014	752
300-member	69
4000	537
5-day	756
50	651
500	761
7	517
?	667
`	837
a	5_108_145_158_178_187_219_233_250_267_293_381_439_444_448_548_569_578_607_769_793_819_845_859
about	516
access	699
adolf	798
affect	488
against	624
agree	533
agreement	643
aim	666
alberta	458_469
all	47
alliance	294
alone	248
along	364
although	296
and	10_83_263_304_353_394_405_577_694_720_744_785_833_835
area	487_687
artist	823
as	315_343_409
at	813
athens	45_103
athlete	762
attitude	253
auction	814
auctioneer	866
austerity	60
backing	738
bailout	24_131
base	609_632_677
basis	646
bbc	529_868
be	32_85_91_118_124_143_155_186_265_345_379_399_407_421_436_477_497_500_515_522_540_557_633_649_664_695_697_722_782_807_856_861
begin	593_723
between	392_656
billion	518
blaze	476
block	305
blunt	228
bolivian	598_696
border	368_617_655
both	410_710
boy-sized	828
brash	167
britain	740
build	606_650
but	659_668
by	66_94_157_319_800_863
call	346
campaign	168_191
can	647
canada	427
canadian	507
candidate	277
cast	484
cattelan	805
ceremony	780
chilean	670
chili	604_693
christie	864
city	212_726
ciudad	590
clear	194
close	610
compete	767
condition	464
consideration	640
contest	271_698
controversial	6_221_236
cooler	460
could	154
country	31_122_325_614_657_711_765
crime	255
criticize	603
cross	852
cubans	538_555
cut	86
daily	587
davao	208
day	106
decades-old	570
deny	674
disaster	505
discuss	37
dismiss	314
dollar	519_812
down	413
drive	383
drug	690
during	754
duterte	165_217_307
ease	361_408
economic	74
election	147
eligible	125
entitle	836
entry	576
established	151_676
estimate	486_511
eurozone	30_137
evans	332
even	288
event	735
evo	600
example	245
expansive	503
expect	498
fast-track	579
favor	57
federalism	242
few	199
fighting	467
figure	829
finance	27
find	358
fire	432_452_466
first	788
firstly	628
flight	588
flow	708
