's	281_411_557_562
,	2_46_124_153_179_205_219_233_284_289_424_456_459_464_472_475_478_486_504_516_589_654_664_675_772_784_794_855
.	11_38_57_70_78_83_122_166_198_225_244_271_300_319_338_352_363_375_398_441_496_511_539_566_602_606_627_639_662_684_703_722_736_766_805_826_844_865
16	808
40	443
60,000	433
650,000	669
85,000	550
a	17_22_29_33_55_86_156_170_190_210_241_267_315_323_329_348_439_513_523_573_737_773
about	678
access	623
accountif	151
active	316
actively	802
actually	108
after	195_832
aftermath	436
afterwards	590
against	336
agency	541
ago	583
aid	540
aim	220
all	66_457
allinstitution	460
already	663
also	308_369
altmaiersaid	291
ameeting	277
and	130_142_144_187_386_392_429_461_483_595_614_823
appal	387
appeal	621
appear	326
area	243_264
as	710
asit	265
assist	397
asylum	638
at	32_39_714_806
attack	197_299_346_391_419
attacker	56
attempt	412
bad	269
bbc	9_514
be	4_44_54_62_73_85_92_95_104_111_126_161_169_181_201_207_230_235_252_256_266_293_296_307_314_384_394_414_437_466_488_498_545_598_636_666_677_687_707_725_753_788_811
because	90_138
beginning	440
behind	297
believe	248
berlin	82
best	495
between	820
bigger	524
bigin	829
biya	177
black	333
blame	848
bombing	575
border	563_597_617_626_651
boris	380
both	619
britain	393
british	377
broadcast	175
but	102_305
by	388
camp	580
can	246
candidate	711
candler	6
carry	27
center	35
chancellor	274
chaos	133
chief	286
clash	828
clinton	686_705
close	599_661
committee	609
condemen	343
confusing	88
confusion	129
control	838
convene	276
corner	452
could	110_312_508
council	283
country	280_421_455_561
coup	413_520
couple	157
course	140
court	471
cross	613
curse	335
damien	79
day	818
declare	592
demand	630
democratic	716
deputy	400
describe	189_408
detention	430_507
deteriorate	571
direction	224
dismiss	428
doctor	615
donald	782
down	64
draw	259
dress	331
duke	761_771
each	849
eastern	596
education	482_487
election	700
emergency	143
enter	494
expect	688
extremism	318
eye	250
face	423
fact	485
fall	303
farright	317
field	490
fight	819
fighting	854
find	642
firmly	660
flee	633
footage	320
for	21_97_373_442_547_622_696_712_730_757_851
force	858
foreign	378
foreigner	337
formation	213
former	738
francois	367
french	365
from	861
furthest	451
genicli	406
german	273
germany	14_360_374
get	509
give	637
go	754
greatest	418
group	23_530_744
guchar	168
gun	222_261
gunman	330
happen	253
have	15_43_53_61_72_147_155_313_342_407_422_448_493_570_618_749_810_859
he	180_188_371_383_425_752_785_795_804
hello	1
help	544
here	229
herethat	254
hetch	211
higher	510
hillary	685
holland	368
hopeful	781
house	341
huge	18
humanitarian	568_640
hunt	20
i	3
iceburg	503
if	107_117
immigration	793
in	13_36_136_209_237_322_332_347_484_512_554_673_701_718_767_813_816
inall	223
indoors	77
infiltrate	449
innitial	301
international	608_628
interview	515
into	150
isdead	121
isin	81
islamic	528
it	84_109_292_311_465_479_787_800
its	593_650
johnson	381
jordan	565_591_647_674
jordanian	587
judiciary	470
julie	5
just	112_182_194_438_468
kaine	735
keep	658
kidal	843
kill	45_585_812
klan	748
klux	747
ku	746
kurdish	533
land	558
last	409
launch	16
law	629
leader	739
least	40_807
live	228
local	796
look	96
lot	127_131
lousiana	765
make	620
makeshift	578
mali	815
mall	186
man	19_25_556
many	655
mass	30_792
mate	695
may	52
mcguines	80
middle	239
might	361
milirary	600
militant	534
military	477
militia	825
minister	402
ministry	458
mobile	324
month	582_834
more	548_667
movie	270
mr.	770
mr.genicly	517
mrs.	704
mrs.clinton	727
much	58
munich	37_60_137_345
name	692
nation	657
near	576
need	362_546
neil	604
nervous	204_232
news	10_538_864
