'	868
's	61_81_261_402_594_616_630_640_685_776
,	24_31_253_324_410_450_457_469_474_480_493_531_599_768_779_821_833_837_841
.	21_54_58_86_94_123_135_152_185_198_210_238_249_258_276_293_321_345_378_405_424_444_464_484_510_538_544_572_583_608_628_660_675_701_727_746_755_764_787_806_811_828_848_869_888_896_899_902
1300	327
1950	794_832
20,000	179
30	652
70-year	491
83	786
`	863
a	19_50_69_106_109_143_235_312_429_545_560_577_609_621_822_853
about	563_667
acclaim	883
accuse	7
address	406
africa	443_467
after	557_737
against	421_580
age	784
ago	736
agreement	314
aid	397_415
all	146
allegation	163
altiplano	690
ambassador	518
america	401
and	15_78_168_183_306_348_382_442_465_644_719_865_884
angela	587
any	461
appear	516
arnold	766_813
around	893
artist	857
as	232_337_445_771_839
aside	733
at	281_683_712_782_799_818
august	320
back	711
ban	514
battle	70
bbc	266_543_900
be	37_90_119_156_192_201_240_255_279_350_374_398_417_476_482_523_524_552_605_612_710_738_750_759_814_850_891
bear	815
before	517
ben	807_897
best	419
boehmermann	550
bono	386_411
border	290_462
both	316
brand	17
brazil	134
brazilian	2_707_756
britain	775
broadcast	604
build	656
but	600
by	158_203_740_874
call	427_862
campaign	384
can	471
candace	55
candidate	511
capital	334
cash	393
catch	455
cell	655
chance	527
chancellor	586
charge	716
chief	171
choose	505
class	846
clear	65
code	618
come	363_789
comedian	546
commission	634_662_873
commissioner	207
community	296
complaint	579
conceivable	613
condemn	202
confederation	709
confirm	263
conflict	437
congress	47_77_389
conspire	38
constitution	595
control	463_666_680
corruption	150
could	416_611
country	154_222_275_593_639_674
court	802_877
criminal	578_617
crisis	160
critique	860
currently	280
dangerous	645
deal	237_344
decision	190
defense	420
del	730
deliberately	606
democracy	132
department	743
depose	49
deputy	9
despite	714
detail	252
die	781
dilma	4
down	13
drama	867
draw	842
drug	697
due	241
early	835
east	287_441_454_819
elect	52
embattled	703
embroil	148
end	820
enlargement	206
erdogan	569_574
establish	885
ethiopia	292
eu	205
europe	470
europeans	447
expect	91_351
expression	598
