's	29_85_277_666
,	8_25_106_111_198_202_206_209_242_268_279_318_338_375_399_446_449_455_469_487_492_526_573_577_603_608_614_620_626_679_705_731_793_796_807_809_850
.	6_13_40_63_67_87_104_125_137_154_173_185_191_220_229_254_272_290_310_351_362_387_407_428_460_495_512_544_550_570_591_606_639_658_692_717_735_747_752_775_801_818_835_865_868
15	210
16	177_203
29	213
3	199
30,000	120
45	174_207
50	660
84	322
86-year-old	344
92	576
a	14_148_328_332_343_394_416_453_508_513_693_725_728_759_790_799_859
able	116
accuse	31_72_651
action	278
agency	201_246_704
ago	849
all	520_627
also	251_258
and	19_176_212_245_270_280_339_385_400_412_656_773_787
animal	661_707
ankara	190
announce	433
anthony	64
anti-biotic	726_800_820
around	659
as	488_824
at	493
attack	309_414_445_478_535
attacker	374
attempt	172
audience	249
authority	157
avoid	457
bacterium	769_792
badly	379
bbc	4_514_549_866
be	2_10_109_115_123_131_146_158_181_217_226_237_252_378_383_402_415_424_481_486_498_507_538_575_585_600_610_622_669_749_758_777_797_821_826_846
because	680
before	714
begin	42
believer	540
benefit	86
between	16_764
body	756_857
but	230_388
by	54_96_134_517_630_687_739
campaign	140
can	536_742
careful	499
carry	443
catholic	467
cause	686
celebrate	334
change	417
charge	588
chronic	683
church	348
class	839
clinton	28_139
close	184_218_366
come	392
commit	152
committee	81
compete	770
compound	737
continue	101
controversy	95
correspondent	515
could	813
coup	171
crisis	691
crowd	333_580
daily	244
dangerous	745
day	69_193
decade	848
decide	625
defend	274
democrat	70
democratic	60_79
democrats	18
depurge	283
desperately	822
develop	847
dictatorial	654
die	673_716
discover	788
disfigure	380
dissent	566
dna	405
do	503
doctor	825
donald	34
down	160_219
dozen	161
drive	330
drug	812_842_864
each	192
easy	612
economic	690
editorial	454
effort	103
else	398
email	22_56_76_121
embarrass	58
employee	699
encourage	147
endogen	256
escalate	24_93
espionage	153
europe	480
face	377_543_564
far	288
find	118_724
food	684_713_772
for	68_82_307_404_524_636_696_720_771
foreign	149
france	296_317
francis	471
french	422
from	77_189_360_393_547
full	611
gauha	751
get	196
glorification	459
go	286
goffield	353
government	276
grow	565_830
hacking	75
harare	582
have	23_50_71_92_141_180_223_250_257_284_320_354_432_554_563_634_672_708_723
he	347_376_382_391_489_502_584_618_640_652
headquarters	613_616
hello	7
help	51
here	602_748
hillary	27
hold	259
holiday	337
hope	113
house	215
how	780
hughes	352
human	733
i	9_112_126_635
identity	370
if	107
imply	529
in	165_295_311_316_346_349_396_418_447_452_479_556_567_581_587_662_727_804
include	816
independence	645
infection	834
inside	753
into	331
investigation	359_364
it	41_434_450_491_506
izard	12
james	750
jeopardize	37
jihadists	319_477
johnson	11
journal	806
journalist	592
keep	783
kill	321_386_743_814
killer	305
last	649_676_837
latest	356
le	429
leader	263_695
leadership	62
leak	55
list	195
listen	110
longer	197_301_437
lorry	329
love	633
lugdunensis	795
magazine	211
main	266_667
major	292
maybe	858
mean	505
media	163_232_293_423
medicine	722
microbe	741
microscopic	760
might	49
mightily	133
misrule	657
miss	124
monde	430
month	678
most	236
mr.	52_83_144_571
mrsa	817
mugabe	561_572_599
murder	342_464
name	222
national	38_80_248_336
nationalists	271
nature	808
need	823
new	721_819_838_863
news	5_200_546_703_867
newspaper	175_208_431
nice	411
nick	186
no	300_436
nominee	91
normandy	350
nose	734
nose-dwelling	740
nostril-dwelling	791
not	224_285_504_537
now	88
obama	45
obey	786
of	36_74_162_168_264_304_327_371_410_440_465_476_510_533_541_552_558_589_617_653_664_681_754_766_768_832_840_862
officially	227
on	340_357_426
one	408_663
opposition	267
order	182_448
organization	164
out	444
outlet	241_294
over	21_674
own	856
paris	361
park	698
party	61_619
past	313
pathogen	746
patient	845
peace	525
people	323_441_631
perpetrator	532
photograph	303_439
place	730_763
police	389
policy	629
pope	470_497_528
posthumous	458
power	150
president	44_255_559
press	136
priest	345_468
print	438
probably	130
produce	738_798
promise	641
proof	482
provincial	240
publish	214_803
punish	643
put	490
rally	555
reach	844
recent	170_474_568
relatively	238
release	228
religion	511_522
repercussion	409
report	66_188_425_670
represent	596
republican	90
republicans	20_269
respond	142_461
responsible	306
reuters	702
reward	132
rich	860
riot	15
rival	33_785
robert	560_598
rouen	413
russia	48_73_105
russians	99
say	297_451_472_516
scientist	718
search	719_778
second	373
security	39
seem	365
several	243_291_744
severe	689
she	32
shoot	384
shortage	685
show	810_853
shut	159
six	677
small	239
some	706_781
sometime	638
soul	187
source	861
space	774
spate	475
species	767_782
spend	709
staphylococcus	794
state	518_697
station	179_205
still	586_601
stress	501
strive	523
strong	605
struggle	827
study	779_852
suggest	46_233_281
superbug	815
support	557
take	762
talk	260
target	253
team	30
television	178_204
tell	578_593_700
tendency	655
terror	308_534
terrorism	427
test	406_802
that	47_57_122_143_234_483_519_530_583_597_621_789_854
the	3_59_78_89_94_98_119_138_155_166_169_194_221_262_265_275_282_312_325_335_355_358_363_369_372_397_419_421_463_466_473_484_496_527_531_548_579_615_628_644_675_682_688_701_732_736_805_811_829_836_841_851
there	607_757_776
they	102_273_298_401_542_609_715_784
think	127_390
this	1
those	594
thousand	551_765
threat	831
to	100_117_151_183_367_456_462_500_642_671_843
too	287
town	395
true	539
trump	35_53_84_145
tuesday	341
turkish	156_231
two	314_710
under	324
unearth	368
union	694
untreatable	833
unusual	729
urge	97
us	17
use	302
venezuela	665
very	604
veteran	647
wait	403
wake	167
war	494_509_646_761
way	420
we	135_624_755_855
week	315_569_650_711
wheel	326
when	43_381
where	623
while	235
who	442_562_574_632_648
will	129_216_299_435
with	26_247_261_828
without	712
world	485_521_545
yet	225_289_637
you	108_114_128_595
zecher	65
zimbabwe	590
zimbabweans	553
zoo	668
