's	228_574_730_770
,	64_159_175_194_270_343_423_472_659_666_737_745
.	23_46_69_84_93_117_126_165_198_209_217_234_246_260_278_300_315_320_352_371_401_418_431_459_478_491_501_504_507_510_516_524_534_562_579_606_621_638_652_687_708_734_758_768_779_782
20,000	347
200	285
40	102
46	263
49	65
6,000-kilometer	471
60	392
a	16_53_56_121_138_144_153_156_161_201_222_239_251_305_326_354_359_414_424_428_432_460_470_488_551_675_694_738
about	130
absolutely	523
accord	660
across	475
acute	369
adjourn	214
african	430
after	308_468
aircraft	490
ambush	440
americans	681
amjad	735
and	37_294_399_427_452_623_631_677
anything	114
april	561
around	100_358
as	39_389_550_750
ask	171_178_204_238
at	304_332_390
atlantic	477
attack	51_600_673_767
aung	538
australian	402_415
australians	422
back	513_519
background	145
bag	36
ballot	244
bama	339
basis	388
bbc	533_780
be	3_14_67_79_86_95_99_106_120_128_151_169_177_182_200_219_236_237_266_302_323_330_366_383_384_439_457_499_512_518_526_542_548_564_597_643_658_693_698_702_710_711_746
bertrand	495_503
best	731
boko	313
borno	341
britain	218
burial	724
burma	573
by	52_184_756
calabar	445
camp	307_334
capability	671
capable	598
capital	650
car	435_757
carry	436_589_764
catastrophic	327
celebrated	739
chaos	4
charity	281
check	146
child	363
city	337_443_718_755
company	417
complete	469
condemn	776
congratulations	502
congress	8
connecticuts	83
continue	42
convoy	433
correspondent	640
country	142_227_596
cross	447_486
daily	387
day	395
dead	748
dehydration	295
delighted	500
demand	19
democratic	10_191
demonstration	48
devotional	743
die	291
dig	385
directorial	536
disease	400
do	506_689
dramatic	173
driver	456
earlier	61
eight	88
electorate	274
eligible	267
emergency	329
employee	412
enough	700
eu	259
european	232_254
evans	642
event	645
ever	112_273
everybody	135
expect	565
expert	627_688
fail	630
felon	154
fifth	360
first	108_122_483
fit	703
flee	309
flight	480
floor	27
florida	60
follow	49_644
for	101_172_179_546
form	245
friday	216
from	82_368_531_646_655
gay	57
get	143
government	557
grave	382
gun	21_139_192
gunman	54_406
haram	314
have	2_13_98_111_212_290_318_349_409_463_668_775
he	498_595_612_751
head	373
hero	515_521
himes	81
historic	223
history	125
hold	712
house	30_211
humanitarian	328
hundred	636
hunger	398
i	85_517
important	553
in	5_34_55_59_76_90_140_205_221_275_287_296_335_340_353_378_407_446_465_487_514_520_560_577_603_609_674_682_714
include	420
individual	164
institution	92
interest	602
islamist	312
it	116_197_763
jim	80
jong-un	585_657
journey	474
karachi	720
katty	316
kidnap	410
kill	68_458
kilometer	637
kim	584_656
kingdom	249
know	732
known	157_162
korean	582_625_649_664
kyi	541
land	464
largest	272
latest	528
law	22
leader	537_583
least	391
leave	257
light	699
like	115
majority	187
make	132_148
makeshift	306
malnutrition	370
man	438
mark	481
media	608_665
medical	280
medium-range	619
meet	567
member	252
membership	229
migrant	575
militant	311
military	626
million	264_571
mining	416
minister	772
missile	587_620_707
mission	377
moment	123
month	63_299
more	261_319_345
most	552
mourn	722
msf	282_321_376
murder	778
music	744
myanmar	535
name	196
nawaz	773
near	441
nearly	284
neigeria	289_379
neighbor	544
new	381_425
news	530_781
nigeria	408
night	45
nightclub	58
north	581_663
northeast	288
not	152_170_690
now	213
nuclear	695
occupy	25
of	28_31_71_124_188_230_253_292_338_361_374_413_434_444_454_569_572_599_617_719_725_727_741
office	559
official	403
on	225_242_386_450_591_704
once	547
one	70_453_629_726
only	87
operation	685
or	155_160_256
other	633
out	590_765
overall	676
owner	193
pacific	605_684
pakistan	729_769
pakistani	717_760
part	75
particular	706
party	11
past	298
people	66_96_265_286_348_393
per	394
performer	740
personally	613
piccard	496
pillow	38
pilot	494
plane	462
politician	12
practical	678
prayer	709
pretty	202
prime	771
protest	41
prove	593
purchase	137
pyongyang	610
question	241
quote	654
really	167
referendum	224
remain	250
representatives	32
republican	189
river	448
sabri	736
san	539
say	104_283_357_380_404_497_586_611_628_762
scheme	207
screen	365
see	113_549
seoul	651
seven	411
several	635
sharif	774
she	556_563
shelter	351
sheltered	303
shoot	747
should	247
simply	131
since	555
singer	733
single	240
sit	17_78
sleep	35
small	203
so	118_166
solar	461
solar-powered	489
solo	484
some	568
south	429_624_648
southern	466_716
spain	467
staff	322
stage	15
starvation	293
state	342_449_607
statement	355
steve	641
succumb	396
suffer	367
sufi	742
supervise	614
support	183
sure	133_149_670
suu	540
swiss	493
take	33_74_350_558
taliban	761
talk	129
terrorist	158
test	588
testing	616
thailand	545_578
than	262_346
thank	508
that	134_181_199_325_594
the	6_26_29_44_47_50_77_91_107_141_185_210_226_231_243_258_271_276_279_297_310_333_336_362_372_375_405_437_442_455_476_479_482_492_527_532_570_580_604_615_632_647_653_662_669_680_683_715_723_728_754_759_766_777
theatre	686
there	1_94_692
they	24_40_110_150_301_356_364_419
thing	174_180_208
think	691
this	62_105_119_206_525_705
those	72
three	421
three-day	473
through	43_753
tighter	20
time	109
to	18_147_190_268_397_566_661_672_701_721
today	713
transatlantic	485
travel	634_752
trip	554
two	618
u.s.	601_622
uk	277
unfold	331
union	233_255
united	248
until	215
us	7
vast	186
violent	163
visit	543
vote	220_269
voter	235
warhead	696
warn	324
way	679
we	127_168_176_639_667
wednesday	451_592_749
well	505
where	9_344
which	697
who	73_97_103_136
winner	317
worker	576
world	529
year	89
you	195_509_511
zealander	426
！	522
