'	140
's	2_175_209_221_453_706
,	50_129_215_423_439_442_496_506_551_565_614_844
.	30_47_71_81_161_177_191_201_212_229_236_248_257_269_282_296_320_337_355_368_396_419_435_461_493_512_523_529_548_576_590_611_622_651_655_670_692_711_724_740_768_781_794_807_822_841_856
120	288
1200	347
2000-year-old	627_681
2014	46
2nd	547
3d	676
40	325
413	180
5	318
?	139
`	127
a	72_79_147_237_274_286_379_427_475_482_518_543_556_562_569_574_580_591_623_661_695_734
able	811
about	61
affect	610
afghan	587
after	449
again	843
against	28_63
ahead	24_387
alone	336
along	207
already	516
also	105
alternative	464
american	463
americas	53
ancient	638
and	11_88_90_98_100_104_121_125_152_283_346_360_490_701_704_738_801_818_823
any	262
anymore	817
anything	408
arch	628_682_732
area	367
as	510
at	117_178_666
australian	531_553
author	776
away	665
backlash	62
band	466
bank	341
bbc	528
be	32_58_59_130_143_165_182_193_199_217_224_234_243_259_271_285_291_307_313_349_364_377_405_443_469_499_579_597_608_617_634_646_657_673_690_694_733_747_760_772_796_804_809_830
become	470
before	756
begin	785
believe	762
between	697
biggest	299
black	594
block	667
brazil	1
brazilian	112_115
brian	48
bruce	513
budget	38
burst	339
but	603_725
by	13_309_632
call	542_573
campaign	460
can	251
cancel	474_517
candidate	371
capital	227_588
carolina	480_522
casualty	621
cause	107
center	345_584
centimeter	326
chain	793
charity	222
child	220
chisel	664
chris	770
circus	80
city	241_300_333_344_359_640
claim	34
classic	727
clinton	401
coast	211
collaboration	696
combination	846
come	280
competition	798
computer-controlled	662
concert	519
confetti	87
confirm	537
congress	21
could	596_689
criticize	450
crucial	389
cruz	441
damage	293
decision	15
declare	365
decline.bbc	854
dedicate	93
democrats	398
describe	507
despicable	511
destroy	247_295_631
destruction	233
devastate	205
die	186
dilma	4
dinosaur	746_784_803
disaster	366
district	362
do	137_447_826
donald	424
down	281
dr	769
drill	663
drinking	264
dubai	705
due	500
earlier	457
earthquake	176
ecuador	169_208
either	292
election	544_575
embassy	602_605
environment	816
estimate	287
evolutionary	792
expect	144_445
expert	698
explosion	581
extinct	821
extinction	752
eyebrow	124
fall	329
family	99
far	613
far-reaching	235
feel	9
figure	39
final	380
first	163
flatten	245
flood	311_353
for	170_372_382_409_420_545_561_572_799_832
fourth	298
from	351_526_699
front-runner	399
funeral	164
future	710
gay	489
give	566
go	23_126_820
god	97
gosh	128
government	559
grant	213_410
grimley	653
group	635_713
half	244
harvard	702
have	6_83_185_204_242_279_306_316_363_376_498_515_536_578_616_764
he	230_430_436_539_782
help	41_719
hillary	400
hit	308
hold	426
home	256
hope	714
hospital	277
house	19_70
how	196
huge	310
huston	305
image	677
impact	758
impeachment	26_148
in	45_67_102_168_225_254_273_301_342_384_391_411_458_478_520_582_636_648_790_814
indignant	10
injured	190
intend	540
it	77_192_284_607_693
jam	468_495
july	546
kabul	589
kill	317
kind	109
know	92_183
laity	214
last	643
latest	472
law	484_509
lead	836_851
least	179
legal	570
legislation	560
like	716
liken	76
limit	485
live	272
london	649
longer	261
look	116
lose	787
lot	73_238
love	431
lower	18_69
machine	672
magazine	55
main	437
make	111_378
malcolm	534
manipulate	37
many	188_197
marble	669
mechanism	571
meteor	757
meteorologist	321
might	718
million	753
minister	533
miss	200
monday	335_550
money	739
month	151
more	189_323
mr	451_567
museum	707
naomi	652
near	599
new	385_433_454_483_741_779_838
news	525_855
next	150
no	260_618
not	252_406_444_609_805_810_827
number	275
of	16_20_52_74_110_173_239_276_327_357_388_413_432_488_558_585_593_620_625_629_641_660_668_678_686_708_722_736_754_774_777_847
off	86
on	330_334_394_504_549_748
one	773
open	146
opinion	416
opportunity	825
or	113_246_266_294
original	680
other	833
out	767
over	481
oxford	700
pacific	210
palestine	103
palmyra	642_723
part	356_721
peace	101
pearl	467_494
people	75_84_181_198_250_319_348_492
perform	502
performance	477
piece	557
place	66_160_167
plume	592
poll	417
presidency	375
president	3_155
primary	390
prime	532
proceedings	27_158
process	120
program	674
push	381
quake	203
quarterly	54
quito	228
rain	328
raise	122
rally	428
rating	418
re-election	44
really	132
rebuild	720
reject	33_555
remain	370
replica	624_731
replicate	691
report	314_619_654
republicans	422
rescue	350
research	742_780
resource	800
rights	487
rise	352
rival	438
river	338
rock	465
rousseff	5
safe	263
sanitation	267
saturday	174
say	7_56_231_322_606_783
scheduled	476
scholar	728
school	289
scream	89
second	563
secure	42
see	598
seem	828
senate	142_554
shall	743
she	8_29_31_36_43_404_414
shoot	85
smoke	595
so	249_612_683_842
some	114_726_797
something	60
sound	659
south	479_521
species	834_839
spite	412
springsteen	514
state	393
states	304
stay	253
still	194
stone	688
stress	429
strong	415
suggest	744
supremacy	789
sure	133
surround	361
survive	813
suspend	153
syrian	639
system	268
take	65_159_166_407
technology	715
ted	440
tell	402
texas	332
texture	685
than	324
that	35_108_278_290_538_745
the	14_17_68_141_154_157_162_171_202_219_226_232_240_297_302_331_343_358_369_373_392_397_421_459_462_471_486_508_527_530_552_583_586_600_604_626_633_637_658_671_679_684_687_709_712_730_775_778_791_824_845_853
the-editor-in-chief	51
themselves	840
there	57_258_503_577_615_795_831
these	802
they	94_123_255_270_340_749_766_788_808_815
thing	850
think	729
this	118_138_656_717
those	848
thus	819
time	564_737
to	22_40_78_96_106_136_145_184_315_446_473_501_541_751_763_786_812_829_835_837_852
today	650
town	206
transgender	491
trial	149
triumphal	630
trump	425_452
tuesday	395
turnbull	535_568
two	849
unclear	195
unicef	223
united	303
university	703
unveil	647
us	374_601
value	456
venditti	771
victim	172
vote	95_383
voter	403
want	135
waste	735
water	265_354
way	750
we	131_134
wednesday	505
well	448
what	64
which	312_759
while	156
who	216_497
whole	119
widely	761
will	645
win	806
winter	49
wipe	765
with	25_187_218_675
world	524
wrong	12
year	644_755
york	386_434_455
you	82_91
