's	512
,	79_85_90_159_226_254_267_316_360_371_377
.	23_48_56_68_76_97_102_118_130_143_150_172_182_192_209_218_248_270_279_284_306_338_357_391_436_457_490_503_521
100	133_184
17	26
25	3
?	224_375
a	9_18_24_38_62_82_86_100_147_158_169_245_249_255_405_467_477_505_515
absolutely	376
after	197
ago	479
already	344
also	195_355_439_459
and	77_151_193_260_285_302_307_326_346_378_451_458_491
apparently	78_261
area	325
arrive	71
as	93_268_298
asiaeditor	53
ask	50
at	1_17
bangladesh	22_367_435
bbc	120
be	6_28_32_58_65_70_81_89_136_145_157_162_168_175_178_220_244_264_274_287_290_310_318_332_336_348_368_372_380_381_385_394_400_403_404_432_438_440_447_454_487_508_519
because	401
believe	176
better	455
blast	87
blaze	36_241_315
blazeall	277
boiler	95
break	13
building	108_342
capital	46
cause	99
census	506
change	395
chargesof	494
chemical	262
clear	323
clearly	513
code	448
collapse	345_356
come	463
company	415
complex	40
conduct	450
control	206
currently	333
day	74_278
deal	303
dhaka	47
difficulty	230
discuss	382
do	472_498_520
early	59
earthquake	171
emergency	233
end	67
expect	288_474
explode	96
explosion	84_140_149
face	493
factory	20_134_247_365
fear	349
fight	275
fire	11_101_129_208
firefighter	185
flammable	258
for	72_231_320_335_428
forty	484
four-storey	107
from	124
further	25
generally	359
gon	291
government	419
happen	55
hard	319
have	5_31_186_201_263_273_343_393_423_462_507
hour	199_213
huge	10_406
i	49_397
in	8_21_34_37_41_235_366_417_434_466
industrial	39
injure	33
inside	117_137_181
inspection	456
international	407_414
into	464
isthat	242
it	57_91_103_114_144_156_167_210_280_286_289_317_347_374_379_399_475
join	187
just	66
kill	7
law	461
least	2
life	390
local	153
loss	388
lot	250_256_516
make	327_443
manage	204
many	112_173_470
material	253_259
may	354
more	131_358_426_482_510_517
morning	60
much	294
murder	495
na	292
night	63_297
north	43
not	373_473_499
now	223_486
of	44_127_228_251_257_295_313_340_364_389_409_449
official	485
on	15_311_413_488
one	227
operation	191
other	352
out	14_239
packaging	19_246
part	339_353
particularly	416
partly	396
people	4_27_154_174_330_410_471_497
place	142
plastic	252
play	465
police	194
poor	370
powerful	148_164_170
pressure	412_441
pretty	369
produce	433
put	238_411
rapidly	110
record	363
reignite	283
report	29_123
rescue	189
response	408
responsibility	427
safe	337
safety	362
saturday	16
say	196_421
scene	126
sector	420
see	481
seem	92_115_281
send	121
seriously.there	511
service	234
shift	64_75
situation	217_222
six	198
so	61_163_271_504
some	152_183
somehow	202
south	52
spread	104
still	179_514
store	265
successfully	203
such	146
sure	328_444
take	141_212_293_425_509
than	132_483
that	12_98_329_350_383_445_452_469
thatthey	165
the	35_45_73_119_125_128_139_160_190_207_221_229_232_240_296_314_324_341_351_361_386_418_429_460
there	80_266_392_402_437_446_453
they	200_272_309_321_492_501
thing	431
think	155_166_398_500
this	106_122_243_276_305_384
throughout	105
to	30_177_188_205_215_237_282_300_322_424_442_518
to.just	476
tongi	42
top	312
totackle	214
trap	116_180
tremendous	83
trial	489
try	236_301
unaccounted	334
until	308
very	109
vibrate	161
wasa	94
way	430_468
we	51_480
well	225_269_299
what	54_219
when	138
which	88_496
who	331
whole	216
will	211
with	111_304
worker	69_113_135
worst	387
would	502
year	478
you	422
