's	8_11_104_252_339_345_390_413_471
,	70_110_145_190_212_288_321_326_486_547_559_594_699
.	21_46_67_74_92_119_131_152_179_201_219_249_270_283_301_337_357_365_394_404_426_446_456_494_509_529_541_575_609_629_646_667_685_692_717_730_753_770_797_822_825
1.5	653
100	48
25	87
25,000	208
25-year	669
30	241
36	14
700	696
a	34_98_117_141_148_174_213_220_226_229_246_261_516_523_570_595_634_668_693_745_750_794
able	433
abominable	335
about	47_207_761
absolutely	334
accord	542
account	331
accuse	342_520
act	336
add	474
advance	199
affairs	254
after	169_600_633
again	170
agenda	472
ago	796
agreement	670_759
air	218
airlift	166
airport	536
airstrike	227
all	111
allow	63
american	476
amount	244
and	311_473_550_562_585_644_711_763_766
announce	677
april	86
area	279_628
around	107
arrest	512_533
as	33_387
at	26_83_239_534
attack	265_363
australia	666_716
australian	680_738
authority	203
badly	482
banking	558
base	664
bay	724
bbc	287_508_823
be	16_17_25_31_52_62_78_95_121_127_129_165_171_193_194_234_293_320_325_327_379_396_409_419_432_440_464_479_488_496_532_603_615_637_648_676_728_740_760_774_811_818
behind	80
benefit	765
between	582_639_671
bicker	401
big	133
biggest	785
billion	654
billionaire	437
bodyguard	106
bogota	540
border	269
both	731
britain	338
broadcast	130
brother	554
building	94
business	518_564
but	58_417_438
by	97_173_197_217_605_621_678
call	259_361
camp	232
canadian	159
candidate	391
capacity	659
capital	539
cartel	574
ceasefire	356
cement	43
change	142
chief	255
city	160_189
closed	81
colombia	510
colombian	538
come	503_632_775
confront	631
congress	4
consequence	300
constituency	735
contempt	349
could	243
country	674
cover	55
crime	248
cultural	88
cut	195
defense	718
delegate	24
desperate	741
die	599
discover	638
do	444_701
dollar	655
donald	385_424
door	82
drug	527_567_573
each	115
early	751
economic	764
economy	151
effort	352
election	747_779_793
empire	519
endorse	423
estate	561
even	72
event	57
eventually	128
exercise	710
expand	657
expect	122_748
expediency	769
face	298
facility	719
fall	305
family	557
fear	235
federal	746
fighter	623
fire	178_608_620
first	2_493
flame	200
flee	157
for	13_36_260_332_350_392_483_526_569_591_708
force	584
foreign	49_340
fort	162
four-day	28
from	68_399_506_687_777_800
full	3
fully	328
gathering	29
gaza	589_642
general	792
government	273_310_546_739
grand	85
guard	96
hamas	586_622
have	51_60_77_164_180_237_258_274_296_459_478_511_598_675_703_773
he	44_378_418_427_429_439_447_463_553
head	514
heartland	821
highest-ranking	414
hold	18_79_116_329
holder	416
home	602
house	89_360_372_405
however	755
humanitarian	253
in	19_90_143_277_280_402_537_576_587_624_665_690_714_720_725_734_744_749_776_780_783_816
indefensible	364
initially	306
inside	64
insist	756
international	351
into	263_813
investigation	262
invite	53
israel	645
israeli	583_606_611
it	120_324_487_614_706
its	661_819
jong	40_102_137
journalist	50
july	752
just	694
khan	626
kill	238
kilometer	698
kim	39_101_136
korea	7
labor	808
latest	500
launder	566
laura	400
leader	38
least	240
lie	733
line	99
listen	497
local	778
long	485
make	316
malcolm	683
market-oriented	150
mcmurry	163
meeting	76
mercer	689
military	612_662_709
minister	682
ministers	754
money	568
money-laundering	524
more	149_651_686
mortar	618
move	206
mr	289_457_548
nations	223
near	266
need	450_707
new	635
news	502_824
nidal	530
north	6_186
not	61_181_380_420_441_465_702_767
number	571
o'brien	257_290
of	5_23_100_154_161_187_215_347_369_373_515_521_552_572_578_660_722_787
off	196
officer	415
official	224
on	228
opinion	789
opportunity	35
opposition	807
or	322
organization	525
over	695
palestinian	596
panamanian	517
parliament	803
party	12_389_412_455_809
paul	375_407
people	209_242_477
perhaps	146
perimeter	109
personal	105
phase	192
phil	688
place	815
plan	204
policy	144
political	768_788
politician	490
preliminary	798
presidency	393
president	346
prime	681
proceedings	125
push	812
put	491
pyongyang	20_69_91
queensland	726
question	134
ramrod	113
rapidly	175
ready	382_442_466
real	560
rebel	276
rebuild	354
recent	281
refugee	183_231
report	73_398_799
representative	374
republican	367_411_449
resident	155
respond	460_616
responsible	294
result	772
retail	563
retain	743
round	619
ruling	9
run	522
ryan	376_408_470
safety	168_211
say	225_291_377_428_448_461_613
scottish	802
secretary	341
security	762
see	32
senior	221
several	551
she	601
shoalwater	723
show	348
signal	140
since	790
singapore	647_700
so	481_484
some	577
someone	451
southern	641
space	705_713_732
speak	284
speaker	368_406_469
spend	650
spread	176
square	697
stand	112
status	45
stephen	256
steve	71
straight	114
stricken	604
strip	590_643
suggest	804
support	384_435_468
sure	317
suspicion	303
sydney	691
syria	344
syrian	230_272_309
take	182
tank	607
target	275
test	786
than	652
that	123_318_445_462_475_736_757_805
the	1_27_37_56_65_75_84_93_108_124_132_158_185_188_198_202_250_264_267_271_278_286_299_302_308_343_355_358_362_366_370_388_397_410_436_454_499_507_513_535_544_579_588_610_625_630_640_658_672_679_704_737_758_771_781_784_791_801_806
they	59_191_216_319_492_556
third	214_814
this	333_395
thousand	22_153
threaten	172
time	489
to	42_54_167_184_205_210_236_245_285_297_315_330_353_383_422_431_434_443_452_467_498_504_543_565_617_649_656_742
towards	147
town	721
traditional	820
trafficker	528
training	663
treat	480
tropical	715
trump	386_425_458
tunnel	636
turkish	268
turnbull	684
two	592_673
uk	782
umbrella	118
un	41_103_138_251
unify	453
united	222
upgrade	729
upon	307
us	371_545
use	555_712
venue	66
violence	581
wake	531_549
want	314_430
war	247
washington	403
we	312
week	282
what	817
whether	135
which	30_233
white	359
who	156
whoever	292_323
wild	177
will	126_139_304_313_727_810
willing	421
woman	597
worker	10
world	501
worst	580
would	295
year	15_593_795
yet	381
you	495_505
yunis	627
