'	432
's	2_136_146_215_349_598
,	11_41_51_56_84_88_110_118_138_167_245_290_378_463_475_727_733_831_842_851_854
.	33_68_103_121_155_173_188_193_234_236_270_280_308_337_354_370_398_442_451_490_507_513_542_558_584_606_632_652_672_690_696_718_751_766_777_796_825_856_859
130	635
14	822
27	297
47	610
a	18_253_265_301_371_416_446_495_518_526_633_653_659_669_710_738_802_817_848
about	251
accuse	769_814
activist	544
address	60
after	38
against	665_684_747
agency	230_418_563
ago	824
ahead	369
airstrike	527
al-shishani	415
aleppo	583
also	491
always	465
american	603
and	57_133_197_232_264_318_331_602_618
angela	316
appear	387_708_793
appoint	244
appointment	40_166_333
arabic	450
area	535
army	622
around	724
arrest	763_801
as	27_223_225_239_334_428_709
at	546_788_846
attack	844
attempt	772
attract	499
batu	806
bbc	372_449_512_857
be	65_74_176_182_190_213_243_282_381_389_421_436_445_455_474_523_645_762_786_808_829_836
before	792
beriha	554
between	148_615
big	108
bind	147
bold	19
boris	169_198_271
brexit	309
britain	1_214_348
british	385
brussels	305
burn	816
but	85_119_210
by	77_86_425
cabinet	165
call	143_325
campaign	181_664
can	94
candle	740
case	675_782
chancellor	315
change	681
charge	219_683_755_791
cheer	705
citizen	604
city	581
civil	630
combat	439
commander	413
commission	357
commitment	345
concern	382
confirm	404
congratulate	329
conservative	132
continue	750
control	99
cordial	377
correspondent	373_447
corruption	748
counterpart	289
country	15_541_597
course	109
court	654_715_795
crowd	732
damage	575
darkness	743
day	571
death	406
defend	140
deliver	347
deployment	608
describe	424
die	549
dinner	303
diplomacy	196
diplomat	217
directly	59
djibouti	641
do	91_573
dominate	311
downing	36_338
drift	723
drive	75
due	283
embassy	599
emphasize	344
erupt	703
eu	353
european	31_186_287_356
evan	686_701
ever	840
every	364
everyone	50
everything	92
exit	350
faction	617
fear	626
ferit	695
few	83_266_570
fighter	503
first	164
flag	722
follow	612
for	22_49_300
foreign	171_221_248_268_292
forge	17
formal	394
four	488
francois	322
free	658_711
french	320
from	351_510_515_693
full	128
further	634
gchq	233
german	314
give	96
government	46_70_386_666_776
grant	694
ground	278
group	402_431
gujarati	820
half	252
harrari	717
have	8_200_242_274_324_343_361_403_522_572_588_624_642_657_680_753_800_835
he	212_256_281_286_480_707_725_756_761_770_784_834
here	189
highest	471
hindu	827
hit	276
hold	534_737
holland	323
hour	254
huge	574
hundred	697
hurry	391
i	71
idlib	556
if	650
important	484
in	24_35_218_255_304_366_438_440_469_481_498_525_528_531_536_550_555_579_600_639_655_716_741_794_798_819
incite	758
india	799
initially	754
intelligence	229
interest	79
into	704
invoke	126
iraq	441
islamic	400_461_505
issue	458
it	28
its	410
itself	23
james	191
jean-claude	359
johnson	170_175_199_241_272
juba	601
juncker	360_380
just	66
key	267
kill	437_524_830_855
kingdom	154
lead	72_180
least	547_847
leave	29_184_397
leg	726
life	102
link	419
local	543
loft	739
magistrate	677_779
main	812
major	496
make	168
man	712_804
manage	67
many	159_734
market	529
may	7_43_157_327_342
maybe	476
meanwhile	559
medium	663
meet	285
member	298
menu.the	313
merkel	317
mic	231
mic和gchq	235
militant	430
military	412_637
minister	5_125_293_336_433
mismanagement	667
morales	443
more	98
most	452_483_852
mr.	174_240_379
mrs.	42_156_326_341
museum	578
muslim	803
muslims	853
must	749
muwalerdy	687_702
name	129
nation	150
nationwide	670
nearby	640
need	651
negotiation	395
new	3_20_123_134_247_257_790
news	417_509_562_858
nimrhan	805
nine	548
no	390
north	502_538
not	76_114_201
now	203
number	519
observer	453
of	80_115_130_151_162_178_220_227_294_407_409_434_459_473_520_539_553_582_609_627_698_700_735_771_810_815
office	10_259
official	269
omar	414_467_492
on	306_764_837
one	161_177_408_809
or	54_487
other	296
outside	713
over	100_567
overthrow	774
palatial	258
party	137
past	569
pastor	660_685_729
pentagon	427
people	61_478_486_489_521_850
permanent	262
personnel	638
pilgrims	828
place	530
play	494
police	797_832
policy	222
poor	55
powerful	117
president	321_358
pressure	145
prime	4_124_335
privileged	82
promise	12
prompt	625_668
prosecutor	679_752
protect	595
provide	648
province	557
put	466_479
rank	472
ready	646
rebel	533_565
recent	613
report	514_692
return	628
revenge	843
rich	53
rival	616
robins	192
role	21_497
run	839
running	279
same	208_238
say	44_64_340_374_422_517_545_564_643_678_783_833
secretary	172_249_263
see	845
send	589
sentence	209
share	206
she	39_45_58_63_131_142_163_330_332_363
shell	566
shishani	423_444_468_493
should	785
since	841
sixty	826
so-called	501
social	662
soldier	611
some	477
south	592_620
speak	34
spend	250
start	393
state	299_401_462_506_561_821
states	587
street	37_339
strike	671_746
success	365
sudan	593
sudanese	621
suddenly	211
sunday	307
support	649
supporter	699
surprise	158
suspect	813
syria	516
tackle	456
take	9_106
task	368
tell	730
tent	204
that	13_375_383_744
the	14_25_30_69_78_81_107_116_122_127_144_149_152_179_185_194_207_228_237_246_261_277_291_295_312_319_352_355_367_384_399_405_426_429_457_460_470_482_500_511_537_540_551_560_568_577_580_585_596_607_619_674_676_682_714_720_728_731_742_745_775_778_781_789_811_838
then	768
there	605
theresa	6
they	464_736_767
think	113
this	691
though	376
thousand	849
three	485
throughout	673_780
to	95_139_183_205_275_284_328_346_388_392_396_420_576_591_594_629_644_647_773
top	216_411
towards	504
town	552
train	818
troops	590
tuesday	765
two	226_532
union	32_135_187_288
united	153_586
until	202
us	636
violence	614_759
war	435_631
warn	689_787
we	89_93_105_111
well	224
what	141
when	104_706_760
whether	52
which	623
who	62_454_807
whose	661
will	16_73_90_112_273_310
wish	362
with	160_260_448_719_757
without	688
word	195
work	48_302
world	26_508
would	47
year	823
you	97_101_120
yours	87
zimbabwe	656_721
