'	110
's	32_169_199_445_509
,	2_44_105_114_131_187_201_215_267_287_292_336_440_458_499_800
.	11_40_69_90_98_125_141_153_163_178_194_229_261_272_279_300_319_331_345_356_375_391_395_409_435_455_465_482_506_512_527_541_547_573_585_600_622_647_662_671_690_720_756_779_789_797_803_828_855_881_884
12	606
13	343
15	583
2	879
2003	39
21	772
5,500	655
5-year	610
6	561
600,000	534
8,400	640
90,000	532
a	27_149_307_361_437_548_578_609_627_694_702_726_757_866
about	190_815
accuse	422
action	59
advise	682
adviser	152
affair	818
afghan	684
afghanistan	635
africa	552
after	656_725
aggregating	598
all	825
already	604
also	793
alton	736
and	84_148_191_249_274_293_305_371_416_483_500_533_681_715_738_765_819_834_844
anger	454
announce	626
any	120_209_597
apology	308
apparently	733
appeal	621
argentina	764
as	262_313
ask	379
assessment	29_85
at	112_226_436
athlete	557
authority	854
aware	497
back	469
barcelona	766_799_830
base	80
baton	743
bbc	9_546_882
be	4_67_74_79_115_143_161_185_188_192_224_239_255_269_276_281_289_295_323_360_377_393_397_450_480_485_496_503_522_575_576_618_651_723_750_782_792_821_862_874_876
because	537_869
before	60_615
believe	235
belize	843
better	240
between	407_531
black	695
blair	53_147_231_302_424_444_505
britain	31_136
british	16_413
brother	478
but	216_586_663
by	51_145_699
cabinet	133_156_275
call	711
cameron	518
can	123
carry	339
case	128_595
cd	752
chairman	13
challenge	89_119
chilcote	24
choose	54
circumstance	592
claim	807
clear	76_266
collapse	140
collective	132
come	172
commitment	284
conceal	847
conference	439
conflict	540
confrontation	703
consequence	184
consult	162
correspondent	93
counter-terror	688
country	428
course	165
court	549_758_831
crush	28
current	514
david	517
day	355_362
dead	698_741
deception	258
decision	100_142_294_333
deliberately	838
deliver	26
democratic	121
deny	251
dialogue	406
die	536
diplomatic	92
disarm	64
dishonesty	260
do	220_348_368
dollar	788
down	735
dryker	781
during	701_808
earnings	849
east	176_330_389
emerge	728
end	659
estimate	528
exception	212
excuse	214
exhaust	68
express	303
face	124_577_865
factor	599
faith	299
falsify	291
family	411_692
fate	408
father	791_823_836_861
finances	827
find	832
finding	43_200
fine	783
flawed	82
football	767
for	208_326_342_350_464_524_565_612_712_716_776
fraud	778
from	544_634_798_850
full	206
future	526
gai	801
garmary	6
girlfriend	570
give	875
go	87_102_468
good	298
government	49_134
greatest	170
group	150
guilty	256
half	460
handle	824
happen	374
have	25_66_96_139_160_254_338_421_467_479_553_603_625_710_722_749_761_806_837_873
haven	841
he	42_70_204_218_222_233_250_253_320_322_430_501_569_574_637_648_657_664_672_740_748_790_812_816_822_826_833_835_860
healing	457
hello	1
higico	802
hold	734
hussein	248
i	3_334_337_341_346_367_381_399_462_466_474
in	34_38_126_135_173_297_328_386_419_488_550_563_593_629_643_660_704_759_774_842
independent	713
inquiry	17_198
insist	217
intelligence	83_288
into	18
invasion	37
investigation	714
iraq	20_65_130_167_317_420
iraqi	245
iraqis	535
it	73_376_396_432_820
its	108
itself	177
jail	867
january	661
john	23_46
johnathan	94
join	56
judge	588
just	654
keep	653_678
kill	418_481
know	186_813
late	244
lead	50
leader	246
learn	475_523
legacy	171
less	877
lesson	520
lie	271
life	111
likely	863
lionel	769_804
live	365
long-awaited	15
louisiana	709
make	265_296_335
man	415_613_696
marks	95
messi	770_805
middle	175_329_388
military	58_632_685
million	787
minimum	580
minister	516
mislead	278_426
mission	676
mistake	210
mitigating	591
momentous	118
month	607_773
more	97_784
most	117
mount	687
mr.	146_230_301_423_780
much	384
murder	567
must	521
my	354_364_477
name	502
need	494
neither	856
news	10_438_543_883
next	645
night	747
no	270_282
nor	859
not	277_290_359_369
nothing	814
now	75
o'corner	442
obama	624
of	14_30_129_151_164_257_353_363_412_425_452_498_538_568_582_608_693_708
off	241
offer	306
official	717
on	81_88_401_404_620_679_686_742_745
one	451_486
operation	689
option	62
or	213_259
oscar	558_601
outside	753
outweigh	596
overlook	193
overturn	619
paralympic	556
parliament	273
party	122
peace	327_403
peaceful	61
pistorius	559_602
plan	650
player	768_858
police	700
policeman	732
policy	78
potential	183
precarious	670
prescribe	579
present	41
presidency	658
president	623
previous	649
prime	515
prison	564_775_796
protest	724
put	107
rarely	158
reeva	571
regret	304
release	402
relieve	370
remain	669
report	180_264_449
resign	719
respond	195
response	446
responsibility	207
rest	352
result	314
retain	639
rethink	372
right	225
risk	113
role	33
rouge	744
saddam	247
sarah	441
say	47_71_181_203_232_321_443_519_589_636_665_673
secret	283
security	667
seem	137_157
sell	751
send	794
sentence	554_611_762_871
serve	605
service	414
she	453
shoot	697_739
shop	755
show	729
sir	22_45
situation	668
slaughter	614
slowdown	628
so	349_383
soldier	109
sometimes	378
south	551
spain	760
spanish	852
spend	382
state	707
steenkamp	572
sterling	737
still	234_324
suffer	312
suggest	529
sumon	5
take	144_205_431
tax	777_817_840_853
term	581_868
terrorist	487_511
than	785_878
that	72_77_86_236_252_311_456_459_471_476_491_530_811
the	8_12_19_35_48_57_99_116_127_154_166_174_179_182_197_227_237_243_263_316_332_351_387_405_410_427_448_492_507_513_525_539_545_555_566_587_590_594_616_630_644_666_674_683_691_705_754_763_809_829_848_851_857_870
there	268_280_357_484_642_721
they	872
think	223
this	392_489
those	310
time	228_385_472
to	55_63_101_103_106_138_159_196_285_309_315_433_447_470_495_560_652_718_771_795_846_864
today	390
tony	52_202_504
training	680
trial	810
troops	641
tuesday	746
two	730_786
uruguay	845
us	631_675_706
us-led	36
use	839
verdict	617
video	727
war	21_104_168_286_318_434
warn	189
we	91
what	221_373
when	429_473
where	366
white	731
why	380_394_398
wider	155
will	347_358_638
with	7_340
withdraw	633
without	211_242
woman	417
work	325_400_463
world	238_490_493_508_542
worst	510
would	219_677
year	344_461_562_584_646_880
