''	381_491
's	66_291
,	5_107_111_146_169_247_316_354_356_454_468_485_492_528_547
.	17_24_47_72_120_156_176_190_209_236_252_261_272_283_305_324_341_393_403_428_436_480_497_512_537_556_576
?	56_80_364_371_380_466
``	352_489
a	6_25_53_60_195_229_233_241_274_330_399_451_461_472_502_510_560
activity	242
actually	180
after	368
ah	353
also	227_301
and	35_94_108_130_138_157_177_191_200_204_293_333_339_342_350_382_404_498_513_534_538_562
any	223
anywhere	555
around	106
as	186
aspect	385
at	63_337
attract	52
balance	418_496
bbc	26
be	14_32_59_86_114_118_126_148_163_179_189_232_239_258_270_278_286_308_314_322_358_362_365_372_389_407_425_438_450_455_460_484_495_516_550_564_573
because	89_521
behind	95
bell	12_78_234_269_292_295_414_445_483
big	423_452
bit	331
break	536
but	300_557
call	487
can	100_263_424
captain	62
case	222
century	7
church	11
clue	304
come	520
comer	41
communication	255
correctly	208
curiosity	88_128
cuz	447
difficult	37_427
do	50_119_154_206_240_280_363_430_541
down	446
dream	230
dunstan	65
east	70
easy	175
eight	248
energy	402_479
enough	546
figure	104
find	139_162_217
first	74_166
for	288_505
generation	55
get	33_134_194_345_412
glass	97
go	329_552_554
good	260
gravitational	477
hard	527_545
harder	182
have	228_244_256_344_559
he	76
hear	91
here	1
how	49
hulk	435
i	81_123_133_152_158_161_359_366_375_475_563_570
if	103_522_539
in	2_67_69_135_221_296
isa	19
it	31_85_115_125_145_155_168_172_178_184_207_277_387_439_449_457_459_470_488_494_506_525_529_544_549
joe	57
just	87_127_500
like	433
listen	282_287
listener	226
local	27
london	71
look	173_185_309_315_432
lot	275_400_473
lure	75
maybe	245
mechanic	143
might	328
mind	569
more	34_36_378
most	187
motivate	151
motivation	197
move	105
much	181
need	220_501
new	22_40_54
noise	93
not	264_431_456_542_551_568
of	10_21_84_144_213_224_276_386_401
oh	112
old	8
on	44_474_509
once	132
or	249_325_458
other	289_384
out	140_218
part	83
people	251_290
perfect	201_408
perhaps	326
person	370
persuade	39
petite	575
physical	391
pick	347
potential	478
potentially	535
pull	443_504_524_543
quickly	379_533
quite	398_426_574
radio	28
rather	463
real	196
really	129_149_174_265
recruit	23
relation	297
rely	471
require	397
right	355
ring	271_323_367_377_395
ringer	235_561
ringing	13_79
rope	453
say	571
see	101_311_318
shadow	102
share	211
she	566_572
shortage	20
should	321
six	246
skill	215_519
smile	340
so	48_121_192_210_237_253_273_284_306_394_405_437_469_481_493_514
some	212
someone	334
something	421
spinround	531
st	64
stain	96
stepney	68
strength	392_465
suggest	30
suppose	124_360_476
sure	565
survey	29
swing	508
take	43
talk	266
task	46
technique	203_410_462
tell	374
ten	250
than	183_464
that	116_147_243_299_348_369_396_422_515
the	3_45_92_136_142_214_268_302_383_390_413_417_434_440_444_482_518
then	131_548
there	18
they	117_313_373
thing	188
think	82_110_159_171_351
threat	16
tillie	58
tiny	503
to	38_42_77_153_198_205_231_257_279_298_310_317_346_361_376_411_416_507_553
too	526_532
tower	61_137
tradition	9
try	167_199
turn	336
uk	4
under	15
up	349_415_490
usually	448
very	259
visual	303
way	441
we	225_486_558
what	73_113_141_150_160_357
wheel	511
when	164
where	312_319_517
which	419
whilst	267
will	335_530
window	98
with	281_420
would	388_567
wrong	332
yeah	122_467
you	51_90_99_109_165_170_193_202_216_219_238_254_262_285_294_307_320_327_338_343_406_409_429_442_499_523_540
