'	563
's	297_359_446_624_850_877
,	4_11_31_41_69_79_86_109_119_124_129_132_145_167_204_209_213_251_255_260_300_318_321_339_367_455_491_515_525_590_600_607_649_652_682_689_719_796_798_819_832_867_886
.	27_55_61_93_176_201_220_246_268_288_311_345_357_378_406_428_432_448_466_479_501_536_548_572_597_622_644_664_703_733_740_755_762_772_790_810_826_840_874_898_901
1,300	857
12,000	385
18	453
24	280
3,000	249
35,000	756
4	890
600	882
66	593
70	870
80	402
804	557
`	561
a	72_94_111_122_440_457_633_658_661_675_815_861
about	174
accuse	195
across	463_700_753
adore	314
africa	876
after	392_794
against	89
agreement	636
air	556
all	419_592_745
allow	721
also	101_412
american	605_735
among	116
and	6_87_120_142_146_214_336_351_456_604_617_683_731_799_833
any	211_236
appealle	413
appear	115
arepas	809
army	131_290
as	28_368_372_418_495_640_642
asian	107
ask	156
at	484_499
attack	395_451
attempt	92_166_219_267_347
australia	631
australian	647
authority	231_706
autocracy	338
away	52
basic	729
bbc	547_899
be	37_50_58_103_138_155_194_197_244_256_291_313_404_439_469_483_498_530_538_565_575_610_671_690_743_775_792_813_830_835_847_871_881_889_896
before	241
behind	198
bernard	410
blame	822
board	596
boost	390
border	710_750
bread	808
britain	623
bruiser	361
bus	741
but	324_492_526
by	53_238_315_326_365
cairo	580
call	179_383_509
can	564
candice	737
capetown	885
cazeneuve	411_512
chance	150
chant	42_80_88
citizen	477
city	21_752
clampdown	332
cleric	189
close	247_776
cockpit	569
collapse	263
columbia	712
columbian	749
commentator	487
confident	112
conservative	320
consider	245
constantly	340
constitution	299
conversation	663
corner	863
correspondent	271
could	49_243
counterpart	648
country	465_812
coup	91_165_218_266_348
crash	553_583
crime	789
crisis	818
critic	328
criticism	472
cross	724_758
cross-border	788
crossing	774
crowd	769
custody	259
day	836
deal	659
decide	173
deep	284
defend	523
democracy	48_377
denounce	216
deny	210
describe	417
determine	672
disavow	310
division	285
do	534_687
during	660
ecnomic	817
editor	736
egypt	555
emerge	363
emergency	460
empty	831
enthusiasm	655
erdogan	114_178_307
european	65_680
even	767
event	276
eventually	888
execution	159
exhaustion	434
exile	187
expect	766
expert	606
express	654
expression	335
extradiction	242
extradite	185
face	470
fail	350
fall	30
far-right	503
fethullah	190
fight	787
find	614
fire	562_620
first	842
flag	10
flat	807
flour	797
fly	576
follow	261
food	730
for	157_473_656_713_728_747
force	438
france	436_518
free	634_694
freedom	334
french	380_421_603
from	151_545_577_751_844_884
galaxy	859
gathering	73_96
general	254
give	121
government	26_141_381_468_670_824
grow	337
guarantor	294
gulen	191_203_240
have	12_71_102_193_215_308_349_353_382_508_519_653_667_707_742_855
he	144_168_312_316_327_331_343_355_369_416
hear	566
help	389
here	62
hite	341
hour	281
how	616
if	496
image	843
in	22_35_59_63_81_147_163_207_258_396_398_452_461_814_860
include	252_602
ingredient	801
interior	408
into	584
investigate	551
involve	162
involvement	212
islamist	303
istanbul	36_60_68
it	371_535_582_609_895
its	426_476_528
itself	524
john	226
keep	475
kerry	227
kessel	56
kill	405_591
kingdom	639
km	883
know	873
land	46
