''	634
's	39_47_172_263_443_549_657
,	17_55_77_131_174_553_701
.	64_93_114_134_152_165_187_195_235_247_260_296_315_325_348_372_378_392_413_432_452_462_511_530_561_565_587_603_619_645_659_683_722_736_769_777_793_796
150,000	444
4	303_537
4500	473
560	696
66	779
900	272
``	631
a	20_135_219_345_381_479_519_534_543_610_613_684_713_727_733_745_763
accurate	700
acknowledge	144
action	324
after	364_536
aftermath	524
against	14
agency	491
all	778
allen	562
along	485
alongside	185
also	417
although	65
american	120
analysis	231
and	132_147_232_275_309_488_508_588_719
andrea	423
announcement	173
appearance	180
appropriate	89
arabia	516_597
around	271
as	108_356_388_390_493_495_625
assure	118
at	301_471
attack	529_576
attempt	759
away	254
ballot	416
bank	679
battle	284
bbc	269_461_794
be	32_52_58_79_88_98_110_122_126_223_238_243_287_292_313_380_398_425_428_437_454_532_540_567_579_590_651_699_704_712_726_738_771_774_783
before	240_766
behead	305
believe	191
board	782
bombing	544
border	490
boy	276
britain	343
british	200
build	668
bureau	38
but	56_166_577
by	278_306_439_498
call	477
cameron	361
campaign	140_183
campaignor	422
can	117
candidate	50_401
capable	402
capture	277
careful	230
careless	54
carry	572
case	92
chairman	197
challenger	431
charge	13_87
chilcot	237
civilian	273
classified	27
clear	346_570_591
clinton	16_139_194
close	545
coastal	483
cockpit	741
comey	42
competently	130
confirm	387_776
conservative	338_411_441
consider	148
country	366_451_623
crash	749
criminal	12
criticize	256_664
dangerous	649
datum	29
david	360
day	535
day.the	481
deal	25
debate	101
decision	72_435
democratic	45
department	67_686
dinghy	507
director	40
disaster	768
discover	755
discuss	161
do	127
dozen	310
draw	404
drive	286
during	282
east	681
egyptian	746
election	341
email	22
ensure	213
eu	371_489
examine	739
exist	674
expansion	721
express	80
extreme	575
extremely	53
extremist	618
fallujah	289
favorite	391
fbi	6_163_171
final	71
fire	764
firm	520
first	179_415
for	137_295_384_732
force	650
from	255_359_406_459_504_744
fundamentally	728
future	227
government	28_320
group	281_500_586
guard	484
hand	633
have	51_143_206_267_312_331_375_469_517_595_607_663_753
he	178_188_190_208_210_241_248_250_297_316_531_620_622_626_646
hilary	193
hillary	15
home	327_672_698
honestly	128
hope	209
hour	168
house	155
human	264
humanitarian	499
hundred	669
i	94_116
if	691
in	1_90_102_192_225_342_449_466_475_522_542_551_559_600_612_673_676_680_708_791
independently	133
individual	257
inflatable	506
influence	639
inquiry	201
institution	259
intense	99
intentional	62
intervention	216
into	202_750_788
investigation	113_125_164
investigator	737
iraq	203
iraqi	319
iron	632
islam	560
islamic	584_593
israeli	665
it	8_395_566_589_628_702_786
italian	482
james	41
jerusalem	682
john	236_688
johnston	563
judgement	234
just	765
justice	69_82
kill	541_784
king	512_605
kingdom	656
know	95_647
kobe	689
land	717
last	290
latest	377_706
leader	352
leadership	340
leadsom	424
least	302_472
leave	369_421
like	75
likely	426
listen	455
majority	347
make	70_177
man	274_304_308
matter	74_150
may	330_386_792
medina	552
mediterranean	468_752
member	447
message	611
migrant	474_503
militant	594
military	215
militia	280_307
mind	641
minister	358
misconduct	63
mistake	146
month	291
more	229_311
mosque	550
most	556
mr.kobe	723
mrs.clinton	186
much	599
multiple	463
nation	262
navy	487
new	350_671_697
news	458_795
no	59_86
not	10_160_222_252_568
now	604
numerous	505
obama	158
obvious	614
of	35_61_68_105_169_198_336_403_409_478_514_525_583_642_670_694_716
officer	539
officially	775
on	73_181_217_245_781
only	400
opening	334
operation	465
or	258_445
organization	266
out	288_448_573_762
over	355
party	46_339_351_412_442
people	121_644_780
pilot	758
plan	666
plane	747
plunge	787
political	233
possible	224
president	157_176
presidential	49
presumptive	48
prime	357
private	21
probably	580
process	715
prominent	420
promise	518
prophet	548
prospects	731
public	100
publish	244
put	627_761
recommend	11
recommendation	107
recorder	743
recover	501
recruit	654
reference	615
report	211_242_564_693
reportedly	754
rescue	464
resign	363
resolve	151
response	521
result	383
rights	265
round	335
row	373
run	497
sacred	557
salman	513_606
saudi	515_596
save	470
say	7_43_141_156_189_207_249_298_394_621_690_724
scale	220
sea	790
second	555
secretary	34_328
security	538
see	300
seem	710
seizure	718
send	608
serious	527
server	23
settlement	675_720
she	31_142_145_393_397_429
shia	279
ship	492
shoot	314
show	396
shy	253
sight	602
sign	60
single	480
site	558
so	446
solution	735
speak	239_533
spokesman	136_687
state	389_585_685
state.the	37
states	4_662
step	707
still	293
strike	629
strong	382
strongest	430
such	218
suggest	418
suicide	528
support	405
systematic	714
take	322_354_438
tell	268
that	85_123_270_592_648_748_756
the	2_5_18_33_36_44_66_103_119_138_149_153_162_170_175_182_196_199_205_214_226_283_318_326_333_337_349_365_370_376_399_407_410_414_419_434_440_450_460_467_476_502_523_526_547_554_581_617_640_655_660_677_692_695_705_730_740_751_757_767_789
there	57_96_109
theresa	329_385
these	574
they	578_601_609
this	76_91_106_112_124_379_725_770
those	635
throughout	111
to	24_81_285_321_368_427_456_546_616_638_653_667_711_760_773
trail	184
try	637_652
two-state	734
ultimately	433
unaccounted	294
undermine	729
united	3_261_661
urge	317
urgent	323
use	19
very	598
vessel	496_510
view	84
voice	742
vote	367
wake	104
war	204
watson	374
we	78_83
wednesday	246
well	494
west	678
what	115_709
when	30_785
white	154
who	362_571_636
whole	408
will	9_97_159_212_221_251_353_436_624_703
win	332
with	26_344_486_630
within	167
without	228
witness	299
wooden	509
work	582
world	457
yet	569_772
you	453
young	643
youth	658
，	129
