'	78
's	108_144_313_338_429_438_730
,	112_141_152_158_201_247_356_369_374_516_703_711_733
.	24_46_60_67_82_96_136_164_182_224_251_266_284_311_327_353_378_390_414_449_455_478_502_529_539_550_567_586_594_612_629_642_667_689_726_745_748
18	394
20	371_649
2016	698
25	58_600
4	581
52-year-old	62
`	75_115
a	12_19_61_68_119_194_214_217_280_320_363_409_415_494_510_518_554_559_562_604_708_712_736
about	92
absolutely	126
account	109_116
accuse	324
advocate	531
affect	639
after	11_183_277_322_341_399
aim	669
all	497
already	657
alves	317
ambitious	672
america	578
and	32_261_285_295_381_537_576_630_679_690
appeal	458
around	574
arrest	66
as	445
assault	249
at	193
atalantic	565_611
atlantic	653
atlas	569_596
attack	20_81_474
attacker	135
attract	441
background	275
bang	434
bbc	454_746
be	9_16_30_39_48_55_65_100_128_156_226_240_323_329_342_400_447_493_591_674_724
beat	741
because	104
bed	663
before	685
beneath	626
beverage	524
block	527
bolster	464
border	430
both	383
brazil	312
britain	7_76
british	52
buy	221_245
by	362_475_522
campaign	1_388_521
careful	160
cause	535
challenge	168
change	281_634
check	276
city	505
clarke	70
clearly	129
climate	641
combat	470
commissioner	418
conclusion	163
confusion	103
congo	407_428
congress	171
considerable	102
conspire	208
constituency	42
container	410_437
control	180
correspondent	85
corruption	326
council	489
court	359
cover	147
cox	29
critic	540
current	636
day	321_729
deadly	473
deep	563_606_683
definitely	127
democratic	404
deposit	644
despite	105_517
detail	589
deterioration	492
diabetes	538
die	398
dine	385
directly	638
disproportionately	546
disturbed	218
do	262_291
dollar	520
donation	389
dozen	605
draw	162_710
drink	515_534
driver	444
during	79
dynamics	680
easy	212
eco-system	585_622
eliminate	725
end	298
england	23_734
eu	4
euro	697
europe	575
event	151
executive	366
expedition	602
experience	145
exploite	687
explore	583_621
eyewitness	69_107_114
fall	545
find	645
firm	351
first	50_77
fish	413
fizzy	514
floor	655
football	699
for	213
former	364
france	702
from	244_452
future	666
gay	195
germany	706
gill	593
give	142
goalless	709
government	340
gulf	348
gun	179_246
happen	111
have	8_64_88_154_167_207_279_318_397_457_508_552_656
he	73_328
health	530
hear	229
heart	283
help	296
henrique	316
here	590
high-profile	372
hold	234_705
hope	254_268_288
house	290
hudson	419
i	97_138_225_252_267_287
illegal	387
implicate	343_370
in	6_18_21_43_57_118_189_197_344_347_499_646_664_691_701_727
include	248_375
increase	472
incredibly	157_159
individual	238
industry	525
inflict	306
inside	408_426
institution	573
intended	131
interim	339
international	555
into	402
introduce	509
involve	571
ireland	723
islamist	476
it	211_528_688
jo	28
just	139_425
keita	484
kill	17_188
labor	26
laden	617
last	648_737
latest	693
launch	553_599
leave	334
legislation	181
library	36
life	310_678
load	411
lose	717
machado	368
make	210
mali	456
malian	480
man	63
many	309
mass	191
match	694_732
mean	714
measure	632
meet	40_184
member	13
michel	336
migrant	396_433
mil	719
mile	625
militant	477
mineral	643
mining	662
minister	315_332_482
minute	738
mission	467_556
modibo	483
moment	176_260
more	588_623
motivation	95
mp	27_53
mr.	202_379
mr.alves	382
muddy	121
multimillion	519
murder	56
namachila	420
nation	498
nations	462
news	451_747
newtown	278
nightclub	196
no	273
north	564_577_610
northern	22_722
now	631
obama	166_203
obesity	536
ocean	566_635_654
of	14_133_146_150_186_282_301_325_406_412_506_561_661_670_681_695
oil	350
on	177_199_236_274_307_354_435_512_547_651
one	143_153_744
or	216
orlando	198
other	113_731
outside	34
parliament	15
pass	178
peacekeeping	466
person	219
petrobras	352_365
philadelphia	507
plague	300
pleased	227
poland	704
police	360_392_417
political	84
politician	373
politics	206
poorer	548
possibility	660
possible	94_241
powerful	222
president	165_335_376
prevent	237
prime	481
project	570_597_673
raise	658
referendum	5
region	501
relative	185
republic	405
republican-controlled	170
research	572_601
resident	549
resign	319
result	713
reveal	558
right	264_293
rise	173_257
rob	86
rothwell	71
say	72_91_204_393_421_532_541
scandal	346
scientist	551_613
score	735
sea	684
secret	560
security	488
senate	232
senator	256_270
sensor	616
sergio	367
serve	51
she	38_41_47_125_134
shoot	31
shooting	192
shout	74
site	607
smuggle	401
so	137_308
solicit	386
somali	395
source	149
spend	580
stab	33
state	349
still	101
stop	424
strongly	384
submersible	618
suffocate	448
sugar	533
sunday	200
supreme	358
surface	628
suspend	10
sweet	513
target	132
tax	511_543
tell	485
temer	337_377_380
terrorist	215_242
testimony	361
than	624
that	106_110_230_303_490_637
the	3_25_35_49_80_93_122_130_169_175_190_231_255_259_263_269_289_292_299_330_345_357_403_422_427_432_436_442_453_460_465_471_479_486_491_500_503_523_542_568_595_609_627_633_647_652_659_665_668_677_682_692_696_721_728
then	286
there	99_468
these	148_304
they	446
thing	265_294
think	98_140
third	331
this	89_671
those	187
threat	495
throughout	608
tie	243
to	2_54_90_155_161_172_174_209_220_228_258_297_333_440_459_463_469_496_526_557_603_620_675_707_720_740
tourism	314
tournament	700
truck	423_443
truly	253
two	718_743
u.s.	205_504
ukraine	715
un	487
understand	676
united	461
unknown	584
use	615
vehicle	619
victoria	592
violence	302
vote	235_272
wall	439
water	123
watson	87
way	120
we	83_640_686
weapon	223_250_305
wednesday	355
welsh	742
west	44
when	431
where	37
whether	124
which	117
who	239_271_716
will	233_544_579_598_614
winner	739
with	587
world	450
year	59_582_650
yorkshire	45
zambian	391_416
