'	829
's	245_265_322_459_502
,	29_61_70_79_83_134_153_173_191_194_198_211_225_268_298_303_313_333_396_424_434_700_818_824_832
.	14_45_98_116_128_169_185_236_259_284_310_327_349_357_390_403_413_430_449_479_498_521_549_564_576_604_613_635_657_671_704_713_728_748_763_779_806_828_857_884_902_912_917
2	905
2014	283
24	896
30	588
7	775
88	114
900	900
9000	844
`	820
a	11_26_40_48_52_90_146_223_250_383_400_406_455_467_475_512_773_788_836_885
abdeslam	650_678
access	757
action	412
address	15
aegean	882
after	469_739
against	790
agreement	66_869
airforce	178
airliner	534
airport	122
allow	798_839
almost	899
also	262_695
and	51_62_67_80_170_196_239_307_431_483_592_605_693_714_873
announce	497
approve	835
archbishop	275
arrest	669
arrival	892
arrive	127_133_864
as	10_42_130_202_222
at	18_22_120_539_586_734_903
attack	478_599_656
authority	452_638
aviation	522
badly	547
ballot	762
barbara	314
baroque	266
bbc	575_913
be	47_93_101_119_140_161_204_271_343_355_368_399_405_472_486_496_508_519_546_553_560_566_594_607_611_629_641_653_663_680_696_718_721_751_755_766_847_907
because	372
begin	487
behind	189
belgium	578_591_637
benjamin	816
between	75_457_870
bomb	477
bombing	503_699
boo	492
brighter	94
brussels	727
build	72
but	138_208_378_391_701_710
by	273_474_511_645
cabinet	834
cancellation	793
capital	244
carry	509
case	371
castro	293
cathedral	267
chant	819
child	906
christianity	856
city	471_542
claim	644
clear	338_556
clearly	381
close	741
come	201_675
comment	674
commercial	68
congo-brazzaville	738
congress	373
continue	862
convert	854
could	559_610
counting	760
course	210
crash	523_536
cross	880
cuba	264
cuban	59_111_158_167_290_320
damage	548
dampen	150_154
daughter	193
day	468
de	689
deal	69
decision	384_495
define	441
denis	770
deny	756
descent	848
describe	4
design	875
desperate	162
despite	867
detain	647
didier	581
direction	389
directly	57
discourage	877
discrimination	823
do	376_706
drown	911
during	665
echo	616
election	747
embargo	364
embassy	21
emerge	176
enemy	402
engage	56
entirely	43
ethiopian	784_850
ethiopians	801_845
european	871
expect	767
expectation	152
extraordinary	53
facilitate	278
fact	433
family	205_241
fan	480
fenerbahce	484
few	251
fill	489
fire	731
first	103_673
flight-recorder	530
foot	109
football	462
for	81_89_296_464
foreign	579
forge	64
four	506
france	593_690
francois	622
french	620
from	177_311_532_562_573_676_726_879
fully	365
further	774
future	35_91
gain	561
galatasaray	482
gas	733
generation	36
give	769
go	685
gon	141
government	321_423_429_436_795
grant	118
greece	866
greek	886
greet	257_272
group	520_750
hand	332_395
havana	9_124_312
have	3_200_242_316_335_374_380_415_438_453_583_662_730_754_786_853_861_910
he	5_33_126_165_183_190_192_219_240_258_270_606_614_652_670_682_694_702_711_720
heaven	136
help	277
here	437
historic	12_49_216_401
hit	473
hold	787
hollande	623
hope	34
hour	897
hundred	252_780_858
i	82
immediately	555
important	230
in	113_123_232_282_387_416_432_444_525_590_596_600_691_737_744_777_865_893
include	305
information	558_717
investigator	524
involve	595
israel	805
israelis	782
istanbul	458
it	139_337_552
its	411_442
jew	851
jihadist	627
just	129
kill	505
kind	439
know	708_908
landing	538
landmark	6
larger	631
last	602_830
latest	570
lay	85
leader	301
least	587_904
legitimacy	443
lift	366
like	360
link	516
listen	567
little	147
lot	407
main	461
make	221_336_382
malia	197
match	456
meet	288
michelle	181
migrant	860
migrate	803
migration	841
minister	815
minster	580
moment	231
monday	295
more	144_317_612_655
most	215_229
move	386
mr	30_99_260_285_658
much	630
my	87
na	142
national	514
natural	44
netanyahu	817
network	628
new	65_73_868
news	572_916
next	716
nguesso	772
not	369_554_707
november	603
number	890
obama	2_31_100_132_175_261_286
of	25_157_209_213_227_408_410_440_481_618_742_761_781_783_794_800_812_842_849_859_891
off	182
office	778_811
official	499_550_887
old	246
on	110_166_294_318_324_329_392_544
one	179_212_226_331
only	249
open	137_344
operation	667
opportunity	13_54
opposition	445_735_749
origin	785
originally	633
other	394
out	86_255_510
paris	601_692
past	97_418_895
people	60_78_159_253_507_589_901
perspective	323
plan	654_796_837
plett-usher	315
police	729
political	308
postpone	454
president	1_106_131_174_224_238_291_621
presidential	746
prime	814
protest	789
protester	808
racism	827
rain	148
raul	292
reach	809_898
ready	722
reason	466
recent	792
recover	531
reform	309
relationship	235_353
remark	615
report	752
restart	724
restore	356
reynders	582_659
rostov-on-don	543
russia	526
salah	649_677
sasha	195
sassou	771
saturday	501_545
say	32_302_500_527_551_584_625_639_660_888
sea	883
secret	279
security	465
see	38_164_362
seize	664
seriously	643
service	915
set	108
side	184
sit	104
soil	112_168
some	843
something	725
southern	541
spirit	156
stade	688
stadium	491
staff	17
start	24_698
stop	703_712_821_825
such	39
suicide	476
supporter	736
sure	608
suspect	634_648
suspicion	409
take	143_642
talk	281_297
team	463
tear	732
terror	598
than	95_145_632
that	92_172_218_339_377_585_651_681_719
