'	47
's	366_575_781_818_847_855
,	63_91_102_124_141_229_256_288_298_382_391_420_426_430_441_528_654_772_875
.	9_30_44_83_112_134_152_173_199_206_226_241_254_261_277_305_336_360_371_379_405_414_435_448_466_488_518_532_550_556_585_605_626_642_646_663_691_703_719_736_758_784_794_803_820_844_863_887_890
11,000	115
23	673
270	139
a	19_52_58_68_71_95_107_110_125_162_237_325_330_353_376_383_408_437_492_496_509_512_621_630_633_714_727_821_828
about	671
accountable	404_429_447
activist	384
africa	201
after	51_329
again	570
agree	158_303_628
agreement	175
aim	499
album	843_871
aleppo	487_507
allow	160_236
also	694_801
american	760
and	27_39_80_109_113_135_188_210_251_272_294_385_449_460_609_632_744_860
announce	668
another	615
anti-corruption	797
antónio	567
arm	702
army	521
arterial	480
as	57_94
assault	527
at	5_500
athlete	46_85_120
auditorium	90
band	823_854
base	481_490_546
bbc	555_888
be	2_12_23_35_49_73_92_104_138_177_244_302_338_348_368_375_445_491_516_548_660_685_693_708_724_742_791_850
beach	846
before	320
begin	56
between	182
black	327
body	264
brazil	62
break	501
bridge	463
britain-based	534
british	822
but	64_278_415
by	344_726_852
call	392
camera	346_377
camp	679
can	462
capital	195
capture	343_370_549
car	332_829
cartridge	111
casualty	531
century	623
change	245_419_425_434
chart	839
chase	333
chicago	312_395_456
city	129_310_355_485
civilian	271_515
coalition	468
colombia	607
commission	771_817
compel	851
confirm	540
conflict	625_757
considerable	249
corpuno	204
correspondent	32
council	574
country	780
crash	830
create	749
crisis	29
culminate	66
de	132
dead	324
deal	172_276_653
death	367
debut	842_849
decommission	738
delegation	146
demobilize	690
deodoro	123
department	397_413_458
deputy	190
destroy	743
detail	287_659_695
die	826
difficult	662
diplomat	559
disarm	638
do	399_439_709
down	701
dramatic	331
each	103_144
eastern	506
economic	26
economist	764
ed	33
editor	202
egets	265
eight	678
end	74_618
enough	812
enter	88
entire	721
exact	296
expert	798
extend	591
family	390_856_864
fan	867
farc	611_682
fault	378
february	834
fight	181
fighter	476_683
final	658
financial	782
find	579
finding	819
first	340_602
five	717
footage	316
for	143_387_537_637_868
force	165_183_222_268
forest	121
form	118
former	562
from	553_599_733_769
game	151
gap	465
general	584
give	811
government	156_503_608_808
grant	644
greater	358
green	381
group	473
guarantee	813
guerrilla	641
guterres	568_589
half	622
harry	34
have	22_87_157_176_213_299_313_347_417_423_432_443_477_547_569_613_667_767_835
he	40_189_211_233_243_246_592_595_804
heavy	530
history	60
hold	402_427_446
hope	13
hour	54
however	255
human	538
hundred	192
idea	217
implement	273
in	36_122_149_161_193_223_240_307_482_647_677_710_778_827_831_833_881
include	289
inflict	529
informal	576
information	670
international	221_252
investigate	773
investigation	789
islamist	471
it	337_431_523_655_706
its	877
itself	790
ja'mal	380
james	203
janeiro	1_133
join	41
joseph	765
juba	196
key	493
kiir	209
kill	191
lack	775
last	197_227_334_600_649
lay	700
lead	593
left-wing	610
legacy	126
level	82
lift	15
live	858_879
longer	880
loyal	184
man	328
mandate	297
maracana	7
mark	799
member	825_865
memory	883
metal	746
military	164
million	513
mind	247
minister	282_564
mission	729
moment	319_362
month	198_228_601_718
more	400_619_669
most	284
move	686
mr.	588_785
much	257
musical	59
nation	20
nations	558
new	220_354
news	552_889
next	581
nobel	761
non-armed	731
northern	484
not	235_300_369_792_810
now	43_86_242
number	291_873
o'neal	365_389
objective	494
observatory	536
observer	732
of	18_61_97_130_145_218_285_292_311_363_469_486_495_505_511_514_544_565_624_640_651_699_716_730_755_776
offensive	498
officer	403_428_438
official	306
on	304_393_696
once	688
one	142_874
open	53
organize	11
over	594_713
pain	886
panamanian	770_807
parade	48
part	96_148_543
party	72
paul	364
peace	171_275
people	451
period	715
phase	712
piece	800
place	4
police	322_345_372_396_412_457
policy	356
political	28_728
poll	577
portugal	566
present	93_105
president	187_207_231
pressure	253
prime	563
prize	762
process	636_698_722
projection	76
promising	357
propel	869
protect	270
prove	661
publish	815
quarter	510
rebel	472_497_612
recording	862
regional	163_250_263
relationship	409
release	314_349
remain	259_597
repel	525
report	205_645
resign	768_802
resist	215
rights	539
rio	131
rise	78
rival	598
salva	208
say	232_266_283_373_474_522_560_587_787_805_876
sculpture	751
sea	81
secret	603
secretary	583
security	573
seed	108_116
seem	656
self-titled	848
seriously	459
session	859
shoot	323
show	77_317
side	666
siege	504
since	180
single	238
slightly	590
so	350
solider	239
solution	99
solve	169
south	154_224_280
species	140
specifically	704
spirit	17
spokesman	386
stadium	8_38
stage	650
stark	69
start	453
step	616
stiglitz	766_786
still	258
storm	478
strongly	214
struggle	24
studio	861
success	878
sudan	225
sudanese	155_281
supervise	635
supporter	212
sweden	832
swiftly	351
swiss	796
syrian	470_520_535
system	783
take	3_147_454_614
temperature	79
ten	596
than	620_884
thank	866
that	21_101_464_475_541_680_705
the	6_10_16_37_45_84_89_98_119_128_153_170_174_186_194_216_219_230_262_267_274_279_286_290_295_308_318_321_339_361_388_394_411_421_455_467_479_483_489_502_519_526_533_542_545_554_561_572_580_606_652_657_664_672_681_697_720_734_737_745_753_756_759_774_779_788_795_806_816_837_853_870_885
then	450_741
there	136_374_692
these	150_648
they	442_586_627_689_841_882
thing	416
those	114
thousand	639
threat	179
three	711_750
time	341
timetable	631
to	14_100_127_159_166_168_185_398_401_418_424_433_444_578_629_687_748_752_814_872
top	571_836
towards	617
trade	675
training	422
transit	674
transparency	359_777
transparent	793
trap	517
troops	293
try	167
two	665
u.k.	838
u.s.	309
un	582_634_735
unarmed	326
unclear	260
under	178_248_352
underway	50
united	557
use	747_857
verify	725
victim	754
video	315_342
viola	845
vote	604
want	407
warn	70
we	31_42_200_406_461
weapon	739
week	335
when	436
where	508
which	55_65
whose	824
will	117_137_269_643_684_707_723_740
win	763
with	25_67_75_106_410_840
world	551
would	234_452_524_809
wrong	440
yet	301
zone	676
