'	803
's	130_139_168_531_610_732_819
,	32_63_75_93_103_118_151_159_172_197_248_269_318_406_432_446_470_485_544_560_576_641_648_670_712_845
.	20_44_48_81_108_137_148_185_210_228_255_279_294_300_324_359_385_398_402_421_456_494_500_521_529_553_586_615_619_628_634_658_663_679_690_705_724_749_772_800_827_851_854
1mdb	104
30	458_809
a	1_152_161_183_191_232_235_273_303_336_345_353_373_395_423_462_550_568_587_681_740_760_777_788_792_840
abe	167
about	292_316_409_457
abroad	543
absolutely	325
act	824
administration	768
adress	546
afghan	245_287
after	198_675_848
ago	278_382_469
air	253
alledge	807
allow	52_71
almost	307
always	708
amhara	733_764
and	77_156_200_225_289_306_313_341_447_478_539_680
announcement	408
anti-government	741
any	56
archbishop	830
area	57_66
armed	369_426_459
armenia	362
as	87_179_182_429_671
associate	114
at	330_839
attack	233_275_347
attacker	351
attempt	131_516
authority	415
authotity	288
avoid	443
aware	815
back	700
bagram	252
base	254
bbc	499_852
be	27_38_70_84_85_116_124_160_231_259_281_297_302_321_344_388_416_600_626_661_684_695_707_720_796_813
because	94
believe	693_784
blood	444
bomb	258
bristo	46
broader	479
building	78
but	33_112_173_333_713
by	349
call	356
capital	140_246_310_378_624
care	222
casualty	293
cathedral	844
catholic	789
catholics	838
central	404
change	481
chant	419
child	224
church	793
city	511_746
claim	338
clear	662
close	113_263
combat	30
come	5_89_271_638
comment	284
commission	598
compound	236_268_464
condemn	514
confirm	328
congo	559
congolese	632
constitution	673
continue	451
contractor	239_354
control	107
corpnal	617
country	60_484
coup	518
cousin	778_818
critic	119
critize	526
crowd	595_621
current	581
cut	322
day	847
december	585
decision	532_757
declare	55
defence	157
demand	389_471_571_752
democratc	556
democratic	170
demonstrate	507
demonstrator	751
deny	110
dermitry	400
detail	291
district	761
do	90_175_606
down	439_578_669
during	791
earlier	522_828
elderly	227
elect	143
election	612_682
electoral	597
electricity	320
email	337
end	583
enodorse	177
environment	154
erdogan	538
ethiopia	731
ethnic	734
etienne	591_646
everybody	308
exile	657
explode	262
explosion	305
fear	35
female	146
financial	201
first	145
five	846
flag	633
follow	348
for	223_722_836
force	7_203
foreign	238
former	153
france	775
fraud	97
from	285_454_497_542_545_652_730
fully	814
fund	102
gate	267_358
german	510
germany	530
give	11
gondar	748
government	42_101_525_754
governor	147_207
group	370_387_427_735
guilty	601
gunman	411
have	4_115_142_187_230_383_506_649_736_786_795_812
he	106_135_580_659_676_817
hear	311
hero	420
hold	567_685
hotel	355
housing	237
huge	304_346_627
if	604
implicate	117
improve	217
in	8_58_120_298_352_361_376_403_422_440_465_482_508_519_554_584_622_656_688_703_710_739_743_762_774_805_823_842
include	394_486
increase	91
independent	184
inside	64
intention	820
international	96
into	6_99
introduce	86_190
investigation	98_799
it	36_174_312_317_329_343_605
its	144_527
jail	476
james	616
japan	138
join	837
joseph	574_665
kabila	575_666
kabul	247_299
kill	787
kinshasa	625_711
know	428
koike	150
koln	512
last	205
law	3_50_123
lay	436
leader	397_477_590_645_835
legislation	26_83
liberal	169
link	552
mahfouz	295
major	588
malaysia	9
malaysian	100
man	460_636_783_811
mandate	582
many	629
meet	417
member	366
memeber	162
message	660
michael	45
military	517
minister	14_23_129_155_158_165
moment	332
mr.kabila	694_723
mr.najib	53_88_109
mr.tshisekedi	706
mrs.koike	186
murder	850
muslim	834
must	667_683
najib	15
near	249
nearly	653
necessary	28
neighbour	770
new	18_192
news	496_853
no	282_290_326
north	266_357
northern	745
not	176_607
november	609_689
number	715
of	95_126_163_195_220_243_367_392_474_489_502_504_558_562_564_602_716_726_728_747_769_779_781_816_825_831
off	134_323
office	804
official	283
oitskirt	242
on	234_240_613_686
one	327_780
opponent	43
opposition	396_565_589_644_692
order	441
organize	608
other	34_350_540
paris	806
part	125_738
party	171
people	74_314_505_630_729
perpetrate	822
place	759_797
police	68_360_374_463
political	480
politics	196
popular	709
power	19_136_704
praise	833
president	491_535_573_664
presidential	611
pressure	92
