''	488_504
's	50
,	89_137_169_190_204_229_237_276_280_287_322_333_399_402_429_442_460_592
.	27_55_62_81_105_118_132_150_181_207_216_253_268_299_314_345_366_374_392_437_457_476_483_505_516_537_562_580_599
...	211_426
?	202_331_447
``	485_493
a	11_19_22_39_75_78_99_103_109_177_200_219_226_238_257_296_325_337_362_369_403_434_470_479_500_509_534_593
absolutely	205
actually	122_360
agree	574_586
alligator	20_76_104_111_138_178_185_209_243_258_320_338_501
almost	171
and	41_70_119_145_151_182_281_384_465_585
animal	419_456
anything	312
as	32
ask	65
assume	174
at	24
attack	187
attitude	547_591
available	265
backyard	131
be	16_30_42_58_74_98_107_121_176_199_210_213_218_234_255_263_270_290_301_311_323_347_354_355_386_390_407_420_425_444_454_478_499_556_561_588
because	448_496
become	520
being	298
better	413
bisexual	552
bit	472
body	9_57_90_160
boy	14
bring	277
british	544
but	288
by	18_60_590
can	97_147_389
child	29_189_193_228_275_284
close	435
conservation	351
correspondent	565
could	231_310_498
cover	532_579
cull	329_368
danger	515
dark	249
decide	141_584
despite1	47
difference	144
disaster	222
disney	25
dispose	282
diver	61
do	83_139_335_391_410_450
drag	43_191
during	21
easily	233
education	482
effort	51
else	313
emphasis	512
every	86_364
expert	69
family	527
father	49
feature	576
feed	260
feeder	215
find	59_123
first	522
florida	3_96_116_167_344
food	307
for	142_221_241_530
fresh	87
gay	535_551_594
get	306_433
grab	273
have	6_186_225_232_318_336_361_395_519_573_583
he	33_48_54_56_278_582
here	503
holiday	23
home	101
hopefully	459
how	379
human	201_297
hunt	339_363_567
i	269_315_438_569
in	2_77_93_112_125_129_163_179_245_247_250_340_502_540_596
instinctively	259
intent	293_303
into	44_194
it	180_198_267_272_289_300_324_477
julian	63
just	256_304
kill	17_295
know	197_236_401_412_417_428
lagoon	40_80
large	239
learn	378_469
lesbian	550
life	68
line	541
little	471_510
live	381
lot	404
magazine	536_548_595
make	264
man-made	134
many	397
martial	64
matter	480
maybe	506
mean	316
member	523
mention	319
million	110
more	473_511
na	432_440
natural	136
need	153_172_376_490
night	251
no	203_486_494
normally	309
not	84_140_206_291_411_451
now	117_168
number	321_371
occupy	148
of	10_38_91_115_161_166_343_349_372_405_481_524_533_558
old	13
on	35_261_513_577
one	348
opportunistic	214
or	135_422
ornamental	79
over	108
people	82_120_152_375_398_461_554
pet	421
peter	566
photograph	589
photographer	71
picture	436
play	34
police	1
pool	128
pose	529
potential	100
prince	517_572
project	352
proud	557
put	508
raccoon	240
recipe	220
recover	7
royal	526_564
save	53
say	4_441_492
second	539
see	158
shore	37
should	555
sign	489
significant	370
small	227
snatch	31
so	133_356_458
something	387
start	328
state	95_114_165_342
successful	357
sure	271
swimming	127_487_495
tell	546_568
that	223_230_274_285_308_353_358_385_388_414_464_474_507_549
the	8_28_36_45_66_94_113_130_143_164_184_188_192_195_242_248_283_292_302_341_514_521_525_531_538_543_571_578_597
then	466
there	73_106_175_497
these	159_418_453_484
they	5_124_126_146_149_212_330_334_359_367_373_383_406_424_430_449_560
think	415_423_446
this	208_217_254_346
those	350
throne	545
time	252_326
to	52_102_154_173_266_294_305_327_377_380_468_491_528_542_575_587
too	396
tourist	408
transgender	553
try	467
two-year	12
uk	598
understand	85_155_452_463
underwater	279
unfortunately	393
wait	244
wan	431_439
water	46_88_92_162_196_246
way	286_475
we	224_394_563
well	332_581
what	262_443
when	156
who	15_409_559
why	72_570
wild	67_455
will	462
william	518
with	382
world	26
would	183
year	365
you	157_170_235_317_400_416_427_445
