''	184
's	89_208_334_884
,	65_75_138_210_212_245_262_267_276_292_298_301_311_316_332_353_357_362_419_530_627_636_798_837_894_903
.	20_48_57_61_73_87_94_105_116_134_144_173_196_225_251_273_283_308_329_337_347_375_386_399_414_431_458_478_494_511_541_553_564_570_596_623_655_674_693_739_770_784_815_822_852_867_889_914_940_943
12	383
12-year-old	405
15	385
18	438
27-year-old	916
60	641
66	780
804	773
90,000	140
``	180
a	1_188_217_320_349_354_373_389_404_424_473_489_522_545_554_624_664_683_826_875
about	167_190_242_504_663
abroad	769
accident	322
acrime	224
across	112
activist	571
actor	891
additional	442
after	13_648_874
against	796_848_932
aged	381
agency	742
aid	21_117
airflight	772
airplane	707
alan	58
alert	421
algerian	657
algiers	673
all	136
also	560_871
ammunition	679
among	400
analyze	749
and	102_246_252_257_263_268_293_372_384_391_472_481_551_678_701_729_735_800_842_868_936
angeles	913
anti-establishment	519
anton	892
approve	436
area	47_121_465_688
armed	666
army	35
around	6
as	32_452_586_638_640_745
at	255_260_392_574
attempt	218
austria	888
back	533
backwards	925
bad	324_350
bank	451
base	630
bbc	569_941
be	4_55_80_92_97_158_175_231_235_363_380_388_403_466_503_532_559_579_601_604_649_680_696_717_727_760_767_830_839_870_905_917
before	755
behind	919
belgium	799_853
believe	127
between	382
board	783
boat	321_371_397
body	787
bomb	104
bordeaux	866
border	584_653
both	723
brick	934
british	629
building	493
but	74_284
by	534_582_651_907
call	487
camp	50
campaign	546
can	759
capital	502_672
capsize	398
car	910
cbs	186
championship	811
charge	831
chekov	897
child	315_361_379
city	10_86_558
civilian	18_53_129_643
combat	171
come	417_774_877
comfortable	523
commit	223
common	290
compose	358
concept	280
concern	457
consider	467
controversial	203
corruption	550
could	824
council	126
country	162_200_244_248
crash	709
crime	172
crisis	3
cross	590
crowd	806_843
damage	728_754
dan	819
datum	700
day	31
dead	581
deadly	192
deny	611
despite	348
determine	756
die	645
disciplinary	794
discussion	189
displaced	52
disturbance	807_844
do	249_265_270
dollar	440
donald	153
down	775_926
dozen	665
draw	886
drive	37
driveway	929
drown	108_318
during	187_808
editor	818
effort	736
egypt	706_763_771
egyptian	694
eight	576
election	563
embattled	8
escape	111
ethnicity	215
european	483_789_810
examine	697
exit	495
exodus	15
extent	751
face	181_825_854
fallujah	12_88_133
fallujahwas	66
family.the	608
fan	876
far	229
female	509
fence	939
few	30_128
fight	81_549
film	902
financing	443
fine	828
fire	101_620
firework	838
first	508
five-star	520
fix	738_761
flee	26_93_143
flight	699_714
follow	881
football	790
for	51_62_149_160_444_488_633_856
fourteen	309
from	122_330_497_567_605_715
get	506
giachetti	529
girl	406
give	514
go	236
govern	786
government	434
group	356_572_626
guard	585_618_654
halt	490
hand	68
happen	340_430
hate	278
