's	19_244_318_886
,	2_46_60_71_81_102_111_137_141_145_202_313_342_345_366_397_420_435_438_445_449_472_490_606_613_650_665_680_688_798_818_820_839_842_879_896
.	11_43_68_94_164_195_207_233_249_273_284_294_326_349_377_402_428_467_504_531_552_576_582_603_642_677_700_717_742_756_770_776_783_814_825_845_866_893_920_923
180	759
1994	550
2003	26_266
2013	705
2016	910
2:0	919
35-year	692
45	853
50	594
70	637
a	54_117_139_168_479_492_511_532_691_695_737_750_784_808_869
able	625
about	100_109
above	810_829
across	297
action	91
administration	329
adviser	386
after	671_915
aftermath	63_312
again	293
against	562
agree	142_154
akayesu	556
all	852
all-male	696
almost	807
alongside	269
already	889
alton	495
ambassador	74
american	465
americans	96
and	62_134_157_224_320_362_403_458_555_564_720_728_768_837_856_880_894
appear	523
approve	354
area	734
army	319_646
as	439_441_685_763
at	14_78_332_339_527_694
attack	56
attempt	171
authority	388
ba'ath	322
back	125
base	219
baton	486
bbc	9_581_921
be	4_97_107_116_122_160_167_192_218_225_238_353_379_395_437_443_448_452_461_497_557_624_652_666_667_682_689_702_747_788_806_822_833_849_873_888
beat	916
become	899
before	127_393_522
behind	149
billion	890
black	493
blair	256_275
blame	32
blank	529
bradley	686
bremer	344
brief	418
briefly	895
britain	18_263
british	48_73_231_252_301_423_456
brown	772
bush	136_151
but	103_146_165_203
by	50_172_355_367_382_500_736_749
cabinet	232
campaign	600
can	433_863
candidate	587
cause	112
championships	912
chance	118
check	453_462
chelsea	648_678
chief	370
chilcote	52_409
china	732
city	484_805
claim	348
clinton	633
commission	410
commit	262
compete	627
concern	444
conclude	210
condition	755
conduct	61
consultation	325
control	727
convenient	480
convict	653_703
cost	882
could	121_182
council	181
country	283_885
court	533
crime	561
dam	855
day	392_785
dead	499
decision	20_213_260_292_352
defend	258
defense	365
deliver	53
democratic	630
deny	346
department	712
destroy	766
devastating	55
die	762
dike	857
disaster-relief	729
discuss	228_381
dismantle	316
do	152_205_338
dollar	596_639_892
donald	588
down	126_519
early	93
eastern	731
economy	887
effort	745
election	599
else	431
emergence	509
euro	909
facility	697
far	440_823
fear	615
feel	197
figure	13
file	713
final	906
find	558
first	901
flawed	222
flood	726_735_765
focus	847
follow	42_507
football	911
for	36_138_335_545_566_597_654_781_792
force	133_191_874
former	251_539
formerly	683
france	535_914
from	242_579_774_828
gather	477
general	295
genocide	551_565
genuine	99_108_170
george	135_150
go	215
government	457_466_660
grass	844
greenstock	70
ground	427
