'	453_792
's	182_222_317_335_413_456_484_494_823
,	28_124_163_197_234_309_311_351_407_436_439_512_517_620_632_638_645_772_852_855
.	15_47_59_68_73_115_129_155_179_199_225_247_261_279_283_300_315_330_341_363_375_401_426_430_443_454_468_492_503_523_529_541_562_566_601_618_655_662_675_700_719_731_748_783_804_819_841_866_876_884
100,000	267
11	88
17	829
18	475
29	126
32	642
6,000	249
9	86
`	447
a	41_56_66_97_112_175_185_228_244_255_372_392_470_501_509_550_652_672_712_715_755_784_799_805_816_872
across	288
act	425
advantage	292
african	539_636
after	109_848
again	207
against	398
aged	125
ago	644_782
airline	750
al-wefaq	727
all	745
almost	266
ambush	98
american	11
and	146_259_313_327_331_486_520_578_740_857_877
announce	533
any	33
appear	752
architect	834
architectural	874
arion	563
arm	130
armed	57
around	248
as	121_500_508_651_837
ask	610
at	227_463
attack	400_414_473
attacker	496
au	555_575_604_631_677
authorities	402
authority	264
away	151
bahrain	718_737
basic	277_328
baton	8_77_160
bbc	528_882
be	4_32_49_62_70_79_91_102_119_142_252_337_368_391_418_434_497_576_668_721_729_774_801_813_879
before	187
believe	143
black	42
blame	344
bloc	641
bold	863
border	271_299
boris	705
bouhlel	406_507
british	702
broad	796
building	861
bus	304
business	357
but	469
buy	307
by	38_65_570_714_815_831
call	90_389
candice	280
candidate	168
capital	560
citizen	747
city	139
claim	658
clean	864
cleveland	196
columbian	263
come	184_286_588
commemorate	442
comment	183
compensation	759
concern	710
concret	856
connection	34
consider	212
continue	684
convention	194
converge	133
corbusier	836_843
country	210_397_483_591_612
coup	224
court	716
crime	114
crisis	320_350
criticism	480
criticize	171
critize	383
cross	269
cultural	824
dance	522
day	186_336
dead	6_64
deal	756_800
death	215
declare	545
deep	709
democracy	431_444
describe	505
detain	253
determine	808
diplomatic	568
disband	730
division	487
do	19
donald	169
down	776
drink	516
dutch	785
duty	108
earlier	44
eastern	778
economic	319_349_373
emergency	89
enquiry	807
erdogan	205
establish	83
expect	577
express	708
fail	223
failure	393
family	600_793
ffrance	493
flight	770
flour	310
fold	617
food	326
for	25_174_239_276_347_386_411_422_589_607_686_744
foreign	703
formally	532
former	377
founding	624
france	455
freedom	743
french	378
friday	221_680
from	127_152_287_526
gavin	122
genuine	113
glass	858
goods	278_329
government	346_365_385_457_547_735
group	726
guarantee	739
gunman	61
have	3_118_132_206_251_285_321_355_382_417_458_477_531_582_587_606_707_751_827
he	144_209_232_388_546_590_602_611_732
heavy	245
here	69
heritage	839
hit	814
hold	696
house	136
how	489
identify	120
import	360
in	7_10_76_104_137_156_195_217_339_415_474_549_557_717_802
include	254
institutional	599
international	806
into	96
investigate	53
investigation	75
iron	854
issue	674
it	141_367_390_460_647_682
its	353_534_594_598_697_746_769
itself	462
jean	71
jihadist	502
jihadists	467
johnson	706
journey	305
jucy	427
judge	258
kansas	138
kigali	561
kill	103
killing	37
king	544_579
know	22
lack	176
lahouaiej	405
language	875
latest	495_657_881
lawyer	786
le	835_842
lead	322_478
leader	485
leadership	178
leave	356_639
lift	518
like	514
likely	669
line	106_865
list	828
live	145
loner	511
long	123_303_608
louisiana	14
lure	94
main	723
major	472
make	92_302_860
malaysia	749
man	43_58_409
many	788
mass	229
material	362
medicine	314
member	605_653
message	551
mh17	771
missile	818
missouri	128
mococain	543
modernist	833
mohamed	404_506
mohammed	580
month	46_476
mordern	846
moroco	530_571_619_656
most	764
motive	24
movement	847
mr	180
mr.erdogan	235
mr.sarkozy	438
much	332
must	432_445
nation	625_822
national	193
natural	595
neighbours	504
new	873
news	525_883
nice	416
nicolas	380
nor	29_440
not	20_433_498
now	80_583
number	256
o'brien	72
obama	173
of	13_35_40_55_107_177_190_220_231_257_293_297_325_333_371_481_622_626_629_635_665_689_692_736_763_765_768_789_798
officer	16_48
official	423
ohio	198
oil	308
on	134_679
one	621_851
opposition	343_725
or	99
order	713
organization	634_825
out	51
outline	797
over	488_711_777
passenger	811
pay	243
penalty	216
people	148_250_284_334_691
piat	281
place	596_803
plane	812
police	39_67_95_131
policeman	2
policy	354
political	742
predecessor	628
president	172_202_379
presidential	167
price	246
prosecutor	260
protect	395_741
provide	758
push	569_685
queue	340
quickly	421
radicalize	419
rally	230
raw	361
recep	203
recognize	648
referendum	699
reflect	871
reinstate	213
rejoin	537_573
relative	762
remain	671
reopenning	296
report	54_282_429_565
represent	787
republican	166_192
respond	110_491
response	157
responsible	238_410
retake	593
return	614
rights	688
rouge	9_78_161
russian-made	817
rwanda	559
sahara	650_667_694
salsa	521
sarkozy	381
say	17_208_236_265_352_366_403_437_446_459_584_603_678_794_868
scapel	564
scene	154
second	295
secretary	704
seize	461
self-determiantion	698
send	552
severe	318
shiah	724
shoot	5_50_63_775
shooter	117
shooting	27_162
shop	275
shortage	324
should	728
simply	441
site	840
speak	226
spearhead	844
spend	338
start	189
state	12_654_664
stay	150
strike	754
sugar	312
summit	556
supporter	233
tag	499
take	291
tayyip	204
territory	661
terrotist	399
that	585_681_720_809_878
the	23_26_36_60_74_85_105_116_135_153_159_164_188_191_200_214_218_240_262_270_294_298_342_345_348_364_369_376_384_396_408_451_482_527_538_542_554_558_567_574_616_623_627_630_633_640_660_663_676_687_690_701_722_734_761_766_790_795_810_820_832_845_869_880
there	31
they	18_101_301
third	471
this	45_272
thorny	673
those	237
three	1
thursday	412
time	586_609
to	82_93_111_149_158_274_290_306_323_359_394_424_479_490_515_536_553_572_592_613_615_659_670_695_738_753_757_760_859
too	420
trump	170_181
try	81
turkish	201
two	780
ukraine	779
unable	358
unesco	826_867
union	540
united	821
unity	637
uprising	241
urge	733
us	165
use	853
venezuela	289_316
venezuelans	268
vi	581
victim	370_767_791
violent	466_510
wake	219
war	374_452_464_850
warn	147
we	448
weak	435
weekend	273
weight	519
western	649_666_693
what	387
when	646
where	140
whether	30_84_100
which	773
who	513
wihle	52
will	211_449_683
williamson	428
win	450
wish	535_548
with	465_862
within	597
work	830_870
world	524_838_849
would	242
year	643_781
yet	21
·	87
