''	322
's	15_22_108_288_465
,	9_13_23_33_62_94_114_221_284_289_300_457
.	18_48_74_112_124_135_152_165_168_178_184_191_202_214_229_238_257_278_306_312_330_350_369_374_380_390_394_401_407_414_454_479
...	158_429
50	222
?	141_253_385_421
``	320
a	24_37_203_212_215_262_281_290_319_399_439
abstinence	8
addictive	282
ago	453
ahead	177
aim	57
alcohol	54_64_279_432
alcohol5	220
alcoholic	34_111_294_309
alcoholism	5
all	166_275
along	78
also	467
ambulance	153_174
and	56_66_86_145_313_337_347_358_375_466
anny	353
any	163
as	323
at	19_42_127
bar	144
barely	189
be	6_30_35_50_116_126_137_154_187_225_233_245_261_266_280_317_332_360_371_377_382_396_403_411_415_434_446_475
behind	182
bench	213
better	357
binge	60
bottle	217
brain	436
but	285
call	51_325
can	171_423
canada	14
canadian	442
capital	16
carefully	338
chaotic	72
charge	461
chief	469
child	437
city	17_107
conscious	190
control	412
day	47
deal	271
demon	263_283
depend	343
diminish	303
do	240_365
downtown	133
dr.	455
drink	361_419_424
drinking	61_410
each	341
end	101
every	314_425
everybody	351
feel	242_356_384_387_392
fifteen	451
fifty	308
find	80_146
flash	175
foot	200
for	4_27_293_340
for3	105
forty	207
get	196_372
give	36
go	77_155
goal	349
gon	267
good	389
great	393
group	440
guess	274
have	70_194_208_269
he	186_197_199_206_227_236_265_276
head	139
health	346_443
heavily	210
help	164_397
here	311_413
home	292_405
homeless	32_449
hospital	474
hour	315_427
hourly	43
how	82_239_381
hundred	109
i	115_258_273_370_386_391_398
if	160
impact	305
in	11_205_295_460
include	352
intake	65
intervals1	44
into	142
it	49_183_260_326_331
its	304
jeff	456
just	188_195
lap	228
lead	71
less	362_420
life	277
light	176
like	428
linda	75
live	310
lives2	73
look	103_378
lot	400
make	333
man	204
managed	53_431
mean	259
measure	38_339
my	404
na	268
nearly	307
need	162
not	10
now	140_201_237_406
oak	21_287_464
of	39_102_110_120_130_149_218_298_327_438_441_462_470_472_477
off4	181
often	97_249
oh	254
on	98_198_211_226_250_334_344_366
once	31
one	148_426_476
ottawa	12_92_122_134_299_473
out	81_104_147_156
paramedic	193_232
people	68_96_450
percent	223
permanent	25
person	342
personal	348
physician	459
police	93_123
pour	321
premise	336
presley	76
professional	444
program	55_433
proof	224
pull	180
really	256
recommend	2
reduce	63
residence	26
residential	291
restaurant	151
right	167
rub	219
sad	255
say	354
scheme	84
see	159_172_246
sergeant	118
serve	318
sharp	100
she	87
shift	132
slump	209
small	216
so	157_169_179_185_230_248_408
spend	88
stabilize	67
staff	471
start	129
steve	119
stop	59
street	252_368
than	363
that	247_264
the	1_20_46_52_83_91_95_99_106_121_128_131_143_150_173_192_231_251_286_296_335_367_430_435_458_463_468
they	161_316_324_345_355_359_364_395_478
this	402
those	28
throughout	45
time	89
to	58_79_270_302_418
treatment	3
try	301_417
usually	7
very	388
walk	234
we	125_138_170_422
well	113_373_379
west	297
when	243
where	136
white	40_328
who	29_69_445
wine	41_329
with	90_117_235_272_448
work	85_447
year	452
you	241_244_376_383_409_416
