''	8
's	34
,	45_129_132_152_216
.	7_31_59_69_82_93_102_113_127_138_146_149_165_186_197_212_226_272_297_304_311_346_356_387_423_448_463
2014	92
?	242_254_414
``	1
a	5_19_65_100_143_168_230_317_350_364_399_402_409_419_459
about	88
account	204
activity	196
agenda	106
all	373
also	337
amount	145_170
and	94_114_213_298_333_377_424_443
area	376
around	355
as	64
auditor	35
back	293
bad	210_218
be	10_96_107_116_135_142_148_154_161_167_176_190_203_220_233_256_268_274_306_313_328_342_349_363_396_418_433_440_445_450
because	206_323_338
before	99
best	118
big	169
billion	54_140_159
bit	400
blessing	420
buhari	253
but	3_261_336_357
change	246
clear	276_309_365
come	63_90
commit	329
company	44_182_208_225_284
confusion	378
corporation	74
correspondent	15
corrupt	240
corruption	25_335_383_413
country	33_460
culture	411
curse	403
deal	211_219
decade	81
do	61_390
dollar	55_141_160
economy	439
election	101
enough	452
even	109
exit	302
extent	319
extraordinary	144
fail	49
far	389
favored	223
fight	334
figure	84
follow	18
for	80_124_205_237_397_421
from	91_178
general	36
get	370
go	121_314
good	331
govern	279
governance	78_332
government	58_185_231_296_325
grey	375
hand	51
happen	228_386
have	37_48_76_77_175_245_395_407_416
higher	110
how	243_280_288_388
huge	456
i	68_130_150_255
important	155
in	16_26_270_321_404
industry	30
it	60_147_153_189_290_312_406_444_449
its	238
keep	286
key	263
kind	381
learn	87
less	352
lesser	318
like	461
look	123
loose	125_133
lose	202
lot	351
low	435
lower	345
lubricate	408
many	214
mean	131_151
money	126_134_172_282_353
more	258
much	244_257_281_289_344
muhammadu	252
national	72_180
necessarily	163
new	250
nigeria	17_398_422
nigerian	28_71
nnpc	47_75_115_267_368
no	275_308
non-oil	438
not	4_62_162_417_451
now	260_320_428
of	13_24_171_188_199_367_372_382_401_412_458
oil	29_43_181_193_235_340_394_415_431
on	21_192_315
one	136
optimistic	259
or	122
other	201
over	52
own	42_239
part	322
patronage	105
petroleum	73
place	119_271
population	457
president	251
price	341_432
private	224
probably	108
problem	79_264_300
purpose	241
related	195
report	20_38
restructuring	366
rid	371
rule	277_310
scale	23
sector	194_236
see	362_426
seem	326
shocking	2
should	174_285_291
sign	209_221
sixteen	53_139_158
slosh	354
small	442
so	103_343_347_434
some	187_198
spend	191
state	41
steal	164
still	269_301_307
support	454
surprise	6_66
tend	384
than	111
that	9_39_85_95_173_232_278_299_393_405_427_436_462
the	11_22_27_32_40_46_57_70_83_97_104_117_179_184_200_207_249_262_266_283_295_324_339_430_437_455
then	247
there	273_305_348
thing	137
think	392
this	166_227_374_380
those	217
time	215
to	50_56_67_120_156_183_294_316_327_330_361_369_385_453
today	303
transfer	177_292
under	229
understand	157
use	234
usual	112
versus	287
very	441_446
view	12
want	360
we	14_86_359_425
weak	447
what	358
where	379
whole	410
with	222_248_265_429
yeah	128
year	98
yesterday	89
you	391
