'	207
's	18_311_419_442_574
,	47_91_149_159_211_213_215_261_272_276_291_304_388_408_411_421_429_448_552_558_633_636_724_727
.	22_42_66_103_132_156_166_209_232_245_251_267_301_309_333_355_369_397_432_455_472_483_508_541_572_591_613_629_648_671_687_711_736_756_787_806
17	522
18	783
1mdb	141
2014	384
2016	337
30	618
a	9_44_125_162_180_216_228_252_262_325_340_461_492_598_681_695_761_766_773_793
a-billion-dollars-worth	745
about	782
account	231
accuse	729
act	565
action	59_639
address	46
after	113_319_373
against	60_89_586_627
agency	271
ago	768_786
airstrike	585
allegation	250
allege	135_698_739
allow	53_292
also	377_435_513
alternative	342
america	368
american	199
and	30_36_81_96_98_144_153_171_195_237_394_445_452_556_559_662_733_749_792_802
anti-doping	270
any	110_256
argentina	759
armed	530
artem	712
as	227_274_324
ashton	634
asset	121_172
at	416
attack	551
attorney	164
authority	55
bank	230
bbc	482
be	7_74_142_161_175_178_190_235_259_265_306_360_371_412_434_464_474_548_564_620_628_642_659_675_680_700_716_728_738_803
because	389
before	382
behind	549_667
belong	771
biggest	650_707
billion	126_169_187
brand	357
burn	465
by	239_496
bypass	34
call	596
camp	534
campaign	447_670
carter	635
center	469
central	537
charge	694
citizen	102
civilian	604
claim	562
clash	457
cleveland	471
coalition	581_595
comply	328
concern	652
controversial	426
convention	420_468
cooperate	108
copyright	735
corrupt	219
council	510
country	619
coup	21
creature	797
cruz	451
cup	387
daily	350
davis	308
day	498_516
de	289
deal	503
death	602
decade	767
defeat	443_645
defense	567_631_657
delegates	433
democracy	90
demonstrator	459
deny	248
department	117_692
describe	323
different	543
dinosaur	779
discuss	176_624
distribute	742
do	258
dollar	127_170_188
donald	430
dozen	347
drug	284
due	413_436
during	296
effectively	82
effort	664
eight	754
emergency	14_73_495
enable	26_500
enforce	266
enough	643
equipment	393
eradicate	86
erdogan	29_49
establish	236
europe	352
extend	491
face	339
facility	365
fail	19
failure	326
famous	154
fast	805
fight	626
file	721
film	750
financial	200
find	763
flag	463
fly	346
follow	15
football	385
for	63_353_401_439_597_685
fossil	762
freedom	99
from	128_137_192_302_480
fulani	569
fund	131_140_234
games	300
general	165
governance	663
government	32_485
group	544_561_647_655
half	794
have	247_277_344_378_545_576_693_741
he	6_31_51_246_425_737
heavily	529
here	305_438
hollywood	150
if	255
ignominious	341
impose	8
in	43_83_202_287_366_422_470_535_566_605_621_758_769
incorrect	395
infringe	734
inspector	322
institutions	201
international	331_580
into	600
investigation	112_599
is-held	609
islamic	588
islamist	554
it	106_293_370_489_501
its	315_380_584
janeiro	290
just	179
justice	116_691
kickass	725
kill	525
know	273
lab	313_359
laboratory	286_376
lag	666_678
last	16_753
latest	478
launder	196
laundering	732
law	95_208_263
lawful	111
lawsuit	134
leave	335
leg	801
license	280_316_381
limit	38
listen	475
live	781
long	796
loretta	157
lose	314_379
luxury	147
lynch	158
make	672
malaysia	104
malaysian	139_240
mali	487
malian	523
man	531_697_703
marco	453
master	702
mate	428
may	640
mbd	221
mdb	194
measure	24
meat-eating	778
menbich	612
meter	795
mike	409
militant	590
militants	555
military	20_638_669
million	784
minister	242_512_614_658
misuse	143
money	136_731
month	11
more	123_184_616_743_764
mourning	519
move	118
movie	151
mr.	48_440
multi-million-dollar	312
music	748
must	679
najib	243
nampala	540
national	518_594
near	466_607
necessary	78
new	283_358
next	298
no	676
nomination	446
nominee	400
not	641
number	217
obsolete	392
of	3_13_69_72_94_100_182_204_218_281_343_348_390_404_424_486_494_511_517_539_568_603_611_653_656_704_719_730_746_777
official	222_338
olympic	299
on	146_526_799
one	168_193_220
online	708
only	361
operate	295_318
opposition	575
or	39
order	84_514
original	375
over	751
overrun	532
oversee	238
owner	718
painting	155
parliament	35
party	418
patagonia	770
pence	410
personal	229
piracy	709
pirate	747
police	456
portion	181
president	2_403
previously	774
prime	241
priority	684
production	152
property	148
prove	260
public	225
purpose	68
razak	244
rebuild	372
recep	27
region	606
remember	521
republican	399
researcher	757
responsible	62
restore	278
result	396
revolt	65
right	97
rights	41_571
rio	288_303_310_336
rival	444
rubio	454
rule	93
running	427
sadly	212
sample	349
sardian	557
say	5_50_105_254_488_546_637_714_760_789
search	364
second	363
secretary	632
seize	120
senator	449
she	160
shell	722
show	615
significant	682
site	723
soldier	524
south	367
speak	415
species	776
spend	145
spokesman	253
stabilization	661
standard	332
state	12_71_130_493_589
states	206_407_690
steal	191
step	79
strategic	651_683
such	677
support	423
sure	673
suspend	40_583
swift	58
swiftly	80
syria	573
syrian	593
take	57_76
tayyip	28
ted	450
televise	45
ten	497
terrorist	506
testing	285_354
than	124_185_617_744_765
that	173_189_334
the	1_23_54_64_67_70_77_92_114_129_133_138_167_183_198_233_249_268_279_282_297_330_356_362_374_383_391_398_405_417_467_477_481_484_509_536_550_553_560_578_587_592_601_608_625_646_649_660_668_688_701_705_717_720_752_790
there	674
they	533_547_788
this	87_224_654
those	61
threat	88
three	10_186_515
through	197
to	33_37_56_75_85_119_294_317_327_345_351_414_437_476_499_502_520_563_582_623_644_699_715_740_772
today	177
torrents	726
town	538_610
tragically	214
treat	223
tribal	570
trump	431_441
trust	226
tuesday	527
turkey	4
two	542_791_800
ukrainian	696
unfortunately	210
united	205_406_689
unknown	775
urge	577
us	115_163_462_630
us-led	579
vaulin	713
very	804
vice	402
violation	203
violence	507
wada	275_321
walk	798
washington	622
we	101_174_686
website	710
week	17
what	320
when	460_528
which	780
will	25_107_307_490_665
with	109_329_458_504
world	269_386_479_706
worsen	505
worth	122
would	52_264
wrong	257
year	755_785
you	473
