's	99_151_447_588_625_652_657_776_805
,	31_40_84_90_103_160_171_178_215_227_267_320_343_364_374_416_443_453_460_496_630_641_659_708_773_780_826_837_851_853
.	22_60_75_101_126_156_187_200_222_260_286_301_317_356_386_390_427_451_482_512_518_544_562_571_592_612_646_682_715_737_757_770_794_813_833_846_863_866
15	530_755
25	536
42	299
5,000	480
a	19_37_107_175_274_292_383_397_419_471_476_483_497_533_559_563_577_644_691_695_758_783_799_824
about	422_535_607
abroad	50
abruptly	600
accountability	703
act	2_432
admit	789
after	261_328_435_454
again	59
against	713
agency	486
ago	342
al-bashir	629
all	119
along	664
also	598_643
america	426
american	578_727
and	54_93_220_223_245_279_417_529_595_654_672_711_747_750
another	455
anti-doping	485_494
appropriate	692
area	237
as	15_110_551
athlete	503
attack	438
attract	52
auction	349_362_469
bashir	651
bbc	517_864
be	33_73_141_162_189_206_229_244_253_281_304_324_344_358_377_527_555_568_632_642_690_730_748
behind	13
believe	203_684
black	334_412
brazil	44
brazilian	3_71_76
breach	492
bridge	217
briefly	731
but	157_179_375_827
by	144_298_306_634_733
call	473
can	248
canada	673
canadian	596
candidly	788
capacity	94
capture	732
ceremony	585_677
champion	779
charge	638
chip	812
city	541
clear	325
commander	724_763
comment	606
committee	487
common	242
community	399
controversial	314
conversation	177
core	258
could	500
country	10_98_671
course	743
court	611
credibility	49
crime	710_712
criminal	610
crisis	21
david	387
day	276_860
dead	331
debate	421
declare	489
deeper	233
delegation	579_663
democracy	89
demonstrate	679
deny	450
depart	674
department	616
detergent	832
difference	221
different	384
dilma	29
diplomat	597
dish	801_818
disparage	605
diyarbakir	543
do	202
dog	792
doggie	806
dollar	481
donald	154_197_268
earlier	102
eat	791_823
economy	57_100
effect	839
effective	768
effort	347_700
elect	130
elizabeth	618
emerge	17
employ	118
encourage	143_191
endorse	184
ensure	702
european	594_669
explain	575
explosion	534_549
explosive	557
face	36
fail	765
family	448
fight	123
find	828
fire	722
first	25_62
florida	339
follow	859
food	793
for	380_468_704_754_808
force	305
four	340_524
french	288
from	18_196_225_360_504_515_538_802
games	511
gap	219
gated	398
genocide	640_707
george	318_428
get	55_212
give	408
go	232
gon	230
good	821
gourmet	800
government	289
great	275
ground	243
grow	58
gulf	746
gun	351_466
happen	550
have	7_45_66_174_273_290_463_488_526_574_721_740_764_781
he	14_24_140_146_180_272_329_431_439
head	696
hear	195
herald	147
here	226
hold	749
hopeful	153
hotel	804
hour	756_835
house	167
how	246
humanity	714
i	65_188_194_201
icc	636
impeachment	38_125
in	23_165_234_277_296_311_338_353_371_396_425_433_440_491_507_532_647_688_735_744_752_849_861
inauguration	584_676
interior	521
international	609
investment	53
iran	734_753
issue	645
it	16_357_367_376_720_829
its	48_838
january	736
kenya	490
kenyan	502
kill	528_567
killing	355_392
kilometer	537
kurdish	552
labor	315
later	836
leader	626
leadership	769
leave	112_599
legal	120
life	413
like	831
listing	373
load	556
look	819
maintain	430
make	106_249_604
man	322
martin	337_395_446
match	857
matter	414
means	121
media	787
meet	145_262
member	131_266
menu	807
michel	5
militant	554
ministry	522_546
mock	699
most	128
motion	303
move	498
movement	415
mr.	41_158_185_461_602
ms.	104
murder	327
museveni	591_603_656
must	77
na	231
national	420
navy	718_759
news	514_865
no	369
no-confidence	295
now	207_378_452
objection	681
of	81_87_132_168_183_255_294_326_393_403_479_493_542_582_586_623_639_667_697_706_725
off	742
official	564_573_760
olympic	510
omar	628
on	382_400_470_637_785
one	361
onto	558
operate	254
opposition	309
order	798
orlando	404
other	263
ourselves	213
out	283_581_687
outskirts	402
palace	115
parliament	297
part	370_506
party	136_150_265_310
