's	97
,	102_107_117_150_160_339_368_429_439
.	16_32_45_62_100_115_119_143_169_176_194_223_240_265_278_297_328_382_401_454
16	392
?	112_363
a	9_95_140_165_188_198_205_215_237_249_285_324_386
able	334
actually	427_448
aim	65
allow	281_301
also	300_357
analysis	56
and	55_120_144_177_186_224_241_279_298_311_329_356_383_402
at	57
be	35_48_64_78_89_124_162_171_182_204_218_246_274_292_333_347_355_435_449
berne	379
between	232
biomedical	53
bit	128
both	343
brain	28_84_159_193_202_264_423_438
build	187_236
calculate	227_312
can	38_226_258_268
center	51
collate	135
colleague	377
correlation	231
correspond	213
cut	110_113
data	387
datum	130_146_152_185_374
deal	13
define	80_139
degree	229
develop	8
different	211_305_359
do	181_245_366
dynamics	261
each	208
electrical	155_221
electro	234_413
electrographic	148
england	4
epilepsy	15_75_400
exactly	118
excellent	373
exeter	61
extent	316
face	125
far	19_41
field	156
for	52_399
free	99
from	375_417
generate	295
get	284
goodfellow	47
have	7_133_180_244_331_370_385_395_404_426_447
how	288_330_344_358
idea	34
identification	22
implant	172
important	72
in	2_26_74_91_136_276_308_326_348_378_380_436_451
information	222
intervention	44_360
involve	18_147
it	17_299
know	342_432_441
lead	322
location	420
make	197
manage	405
map	351_407
mark	46
mathematical	250
mean	109
might	361
model	190_251_310_338
modeling	54
more	20_42
most	71
need	87
network	189_206_238_254_291_434_446
neurosurgery	122
new	10
node	212_443
observe	275
of	23_60_69_83_129_153_157_167_191_200_209_230_262_287_350_411_421_444
on	408
one	68
onto	252
or	313
order	92_137
out	111_114
patient	96_277_393
perform	40
plan	142
position	410
precise	43_345
problem	73
prone	289
put	248
quantify	314
record	163_219_416
recording	149_271
reduction	325
region	25_82
remove	428_450
render	94
representation	199_239
research	76
resected	90_106
say	5_105
scientist	1
seizure	31_98_296_327_354
sense	286
sensor	168_216
set	166_388
several	127
simulate	259_269
skull	175
so	151_195_255_266_364_430
some	372
southern	3
specific	21
strategy	307_320
study	391
surgeon	37
surgery	453
surgical	141_306_397
switzerland	381
tackle	67
take	183
team	123
technique	11
term	349
test	304_336_340
that	29_36_86_131_203_217_256_272_414_424_445
the	24_27_33_50_58_70_81_121_154_158_174_192_201_210_228_260_263_270_294_309_315_353_409_412_419_422_437_452
then	39
these	233_290_319
they	6_132_161_170_384_390_403
this	145_184_220_253_280_367
those	337
tissue	85
to	12_66_79_88_93_134_138_214_235_247_283_293_303_317_323_335_365_406_418
treatment	398
trigger	30
under	173
undergo	396
university	59
utilize	371
via	164
we	63_179_196_225_243_257_267_282_302_369_376_415_425_431_440
well	101
what	178_242
when	103
where	207_352_389
whereon	433
which	77_318_442
who	394
with	14_49_126
work	362
would	273_321
yes	116
you	104_108_332_341_346
