's	15_19_23_338
,	28_132_141_202_216_247_290_304_351_438_468_513_562
.	6_25_57_72_78_85_109_116_125_135_151_157_161_166_175_207_235_240_259_281_312_322_325_335_343_348_359_371_380_385_408_420_430_461_479_488_498_524_569
?	200_376
a	2_9_32_41_102_129_190_193_213_223_255_264_295_302_316_436_534_538
able	545
about	310_340_346_504_549
academic	537
activity	234_288
actually	188_308
agency	447
ali	13
all	231_286_369
and	21_37_58_110_222_260_282_299_360_416_421_448_480_550
back	456
badge	317
bbc	77
be	8_43_80_100_113_118_143_159_185_205_210_229_252_254_307_314_327_330_363_373_382_412_465_471_493_521_544_564
because	397
before	88_357_467
behavior	277
behaviour	541
bet	324
big	415_561
biggest	365_567
bit	191_297
blue	104_144_164_529
body	30
britain	18_22
but	176_336_431_514
cameraman	221
can	53
change	127_239_275
clip	174
co-presenter	91
coast	42
come	146
condition	126
congregate	557
could	556
crew	227
darkness	150
death	52
delighted	309
describe	377
die	429
different	445_506
difficult	384
dive	96_226
diver	183
do	168_355_466_484
documentary	17
drown	36
electrical	267
eventually	422
ever	67_474
every	136_152
excitable	298
expect	518
experienced	225
expert	451
extract	11
few	103
fifteen	444
finding	568
first	97_379_473
for	212_404
freezing	450
from	12_148_195
gathering	64
get	189_243_294_393_424_435_453
give	300_533
government	446
happen	251
harrison	14
have	1_92_209_219_321_362_399_410_463_503_516_532
he	301_306_326
honour	319
how	50
humpback	34_426
hundred	163
i	84_177_242_248_283_323_349
in	26_61_69_172_244_495_510_558
incredible	160
incredibly	383
into	269_458
it	27_59_112_117_158_261_311_378_381_386_409_439_462_470_485
its	51_477
just	101_391
know	134_490_500_553
largest	63
let	337
life	56
like	375
listen	3
little	214_296
logistics	433
lot	130_256_265_535_539
mean	350
more	257
morning	124
my	90_114
never	354_517
next	123
night	87
nine-metre	33
nip	194_303
not	169_413_417_464_551
number	366_523_527_559
o'clock	122
obviously	358
ocean	47_55
of	31_65_120_181_192_197_232_238_266_278_292_318_367_434_443_476_508_528_536_540
on	40_106_401
once	241_285
one	180_196_291
opportunity	94
out	147_263_457
overnight	131
people	400
permission	442
polite	331
probably	565
quite	128_315
really	224_552
record	68
result	60
return	44
review	49
right	206_406
scared	171
sea	460
see	525
send	262
shark	66_105_145_165_199_280_334_368_494_509_530
sharks	24
she	73
short	10
side	82
signal	268
single	137_153
six	121
size	407
small	419
so	217_469
sort	119_237
sound	170
speak	74
species	507
stage	396
start	273_289
study	475
support	230
sustain	54
take	387_440
talk	258_339
tell	344_481_486
that	7_173_179_204_287_347_374_491_501_519_526_542_554_563
the	29_46_62_76_86_93_149_182_198_245_270_276_279_333_341_364_405_432_441_459_472_522
then	111_449
there	79_99_142_211_253_492
they	208_293_543_555
thing	236
think	249_284
thirty	505
this	5_313_356_361_395_425_454_560
three	389
to	4_45_48_75_83_95_274_320_329_332_392_394_411_452_520_546
together	370_531
too	414_418
tragically	428
try	328
turn	115_140_156
two	81_162
type	478
uk	70
understand	178
up	39_548
upcome	16
wait	403
wash	38
watchout	402
water	71_246_271_497_512
way	138_154
we	107_218_220_233_345_388_398_423_482_489_496_499_502_511_515_566
whale	35_108_342_437_455
whales	20
what	250_372_483
when	89_98
which	272_305
while	215
who	184_228_427
with	186
would	353
write	547
yeah	203
year	390
yes	201
you	133_139_155_167_187_352_487
