's	144_220_240_366_581
,	51_88_193_199_201_256_265_268_277_310_456_472_535_556_567_592_621_692_802_844
.	26_66_70_103_120_142_168_190_209_217_236_245_297_317_337_363_386_392_423_441_466_483_498_522_547_553_586_605_612_633_663_682_689_696_707_725_745_749_770_778_797_823_842_862_866_890_899_902
12	534
1945	754
21-year	798
35	531
40	897
60	888
66	62
84	865
`	231
a	165_176_229_234_270_294_307_315_335_345_383_457_495_588_687_741_782_792_805_831_873_882
abortion	494
about	371_397
abuducted	476
abuja	391_422
accident	235_316_336
accuse	711
act	153
adviser	125
after	96_413_857
against	672
ago	357
airbus	127_195
aircraft	3_53_272
airliner	50
airplane	16_114
airport	87
aledpo	388
alexander	678
already	91
altitude	276
american	848
analyst	171
and	2_28_93_123_202_237_246_253_283_298_364_477_514_811_834_879
another	414
any	78_718
apart	467
approve	527_541
army	365
around	447
arrest	785
as	243_430_686_872
assist	133
at	83_274_324
attack	100_232_309
attention	615
austria	655_746
authority	30_136_841
aviation	146
bangladesh	787
bbc	552_900
be	7_54_74_90_118_138_154_158_175_183_211_224_228_260_262_305_314_327_344_361_376_382_389_394_405_428_443_446_540_571_578_607_627_630_647_670_684_732_747_764_817_835_864
become	638_881
before	204_656
believe	444
bell	694
bellen	681_710_731
belong	46_803
bernie	603
bethnie	693
bill	529
blake	68
blood	832
board	65_186
boko	350_464_473
bomb	177
breach	79
bring	184
buhari	420
but	318_378
by	349_530_542_839
canadian	847
candidate	582_620_755
carol	60_131_198
catastrophe	163
cause	160
cbs	860_878
center	758_761
chancellor	744
charles	84
chibok	359_470
circumstance	399
civil	145
clinton	555
cnn	591
come	410
condition	833
continue	8_440
correspondent	214_876
could	182_292_637
counter	728
country	6_455
crash	254
criminal	496
cruise	273
day	856
de	85
debate	706
debris	33
definately	306
democratic	561
deny	836
der	680_709_730
detail	370_393
die	796_812_854
disappear	18
disintegrate	282
dismiss	717
do	44_285_320_721
doctor	503
donald	625
duty	106
earlier	35
early	23
east	21
egypt	15_113_143
egyptian	27_135_219
elect	618
emerge	396_780
eritrea	203
european	640
event	426
expert	252_255
failure	167
far-right	643
fathi	149
fight	610
final	650_772
finally	843
find	406
first	642_751
focus	72
for	11_269_433_559_563_583_877_894
forest	449
former	674
free	377
freedom	668_742
french	121
from	4_57_126_358_468_517_550_666_690_756_830_859
front-runner	558
gaulle	86
get	293
girl	375_404_416
give	368
go	129_205
government	719
governor	546
greek	29_40
green	675
group	436_463
guard	822
hafizur	800
happen	82
haram	351_465_474
have	117_128_150_360_475_490_538_568_597_700_736_763_795_853
he	606_649_683_724_824_828_863_870_891
head	644
here	73_107_210
hillary	554
hofer	665_713_727
hold	480_702
hospital	814
hour	412
how	372
if	77_173
in	36_101_187_390_421_450_485_512_587_654_740_813
incredibly	266
independent	688
insurmountable	598
interview	119_589
investigation	141
investigator	122
islamic	461_809
island	41
it	181_223_261_286_311_319_536_779
jonathan	67
journalist	850
just	411_701_855
karpathos	43
kidnap	348
knock	765
land	196
larger	435
last	704
later	385
lead	139_599
leader	677_784
leave	759
licens	521
likely	156_226
make	493_648_869
man	635_699
many	481
mayday	295
measure	500
medical	520
mediterranean	22
meet	417
message	296
militant	352_462
military	340
minister	147
minutes	889
miss	49_438
moment	326
more	155_225_329_353_482_895
morley	851
mr.	712_726_867
mr.van	708_729
muhammadu	419
murder	791
network	886
new	409
news	549_861_901
nigeria	339
night	110
no	290_369_572
nomination	562
none	299
norbert	664
normal	275_278
northeast	452
not	45_577_722
novemberelection	585
now	537
of	13_38_42_80_161_300_437_453_459_645_714_767_790_808_884
off	116
offense	497
officer	104
oklahoma	489
old	799
on	24_55_64_75_105_108_178_185_191_197_206_611_776_786_788_819
one	291_734
ordinary	271
out	766
over	19_600
paris	58_102_208
party	580_669_676_743_810_825
people	63
pillar	883
pitch	651
place	189_775
plane	180
point	328
polarize	748
police	821
politician	484
possibly	478
pregnancy	506
presidency	566
president	418_632
presidential	658
prison	513
prisonal	840
