''	308_313_331_345_374
's	54_395_432
,	14_119_123_128_135_161_187_198_296_298_312_316_334_337_353_356_369_378_397
.	31_40_56_72_111_149_168_171_175_180_184_211_225_232_249_255_264_276_292_307_346_364_375_385_427_435_445_463_470_484_494_513
...	132
80s	88
90s	90
?	324_330
``	293_309_317_335_354
a	2_43_63_65_116_125_207_214_222_259_267_273_389_459_467_474
about	23_146_329_452
acquire	489
administration	55
all	136_154_367
also	104
american	478
americans	19
and	10_26_89_103_121_159_226_250_347_424_446_495
any	361
area	497
as	62_473
at	192_278
back	350
bad	122
baseball	174_197
be	16_42_58_77_93_115_173_213_221_241_258_266_326_366_405_422_429_437_454_456_466_499_509
bear	423
because	239
begin	434_472_488
better	107
between	6_157
bill	33_52_376
both	177
but	32_112_124_195_218_233_256_277_485
can	21
castro	71_421
change	236
character	270
clinton	53
cold	129
common	167
company	479
connect	182_262
correspondent	401
criminal	370
cuba	13_25_102
cuban	29_393
death	148
difference	156
do	163_170_228_302_319_358
east	415
enemy	368
envoy	64
estate	411_512
family	462_511
far	414
farm	439
father	465
few	66
fidel	70_297_420_431
figure	118
find	144
first	448
for	153_386_476
former	44_380_399
from	458
game	208_217
get	96_190_244_300_340
go	204
god	311
good	120
governor	45_381
grow	425_442
havana	61_210_400
have	35_84_164_283_339_360
he	41_57_114_147_160_188_202_227_251_265_282_314_348_441_455_464_471_486_492
head	501
here	483_508
high	215
historic	117
history	3
huge	506
human	305_322
i	92_143_150_193_199_203_234_240_289_332_352_357
icon	131
immigrant	469
in	51_85_166_209_407_412
insight	390
interesting	269
into	391_502
island	418
it	172_212_257_453
its	11
just	500
kind	252
know	134_186_295
laborer	475
land	490
late	87
leader	30_394
lengthy	81
life	433
like	230
little	223
mad	191
major	126
man	275
many	18
mean	321
meet	27_69
meeting	82
memory	76_138
mexico	48_384
more	303_387
moscow	408
my	237_310
neighbour	12
new	47_383
no	355
not	17_229_359
notice	451
now	406_503
obviously	113_457
of	4_46_101_253_272_342_362_371_382_388_416_491
on	196_304_444
out	100_145_248
own	493
periodically	194
personally	183_263
pitching	220
plantation	482
player	127
political	98_246_343
pretty	460
prisoner	99_247_344
quickly	235
rainsford	403
relationship	110
remember	200
renaissance	274
repressive	287
richardson	34_377
rights	306_323
route	396
same	280
sarah	402
say	291_315_333_349
score	216
see	206
send	59
serve	50
set	480
smile	254
some	36_97_245
something	165
soon	487
sort	271
spanish	179_468
speak	22_178
start	139
state	373
states	9
story	37
streaming	140
strong	286
strongest	75
talk	328
tell	39_201
tendency	288
tension	5
that	152_231_440
the	7_28_74_78_86_108_155_279_372_379_392_410_413_417_438_447_477_496_505_510
there	15
these	137
they	219_363_365
thing	449
this	284_428_436
thousand	341
through	141
time	67_281
to	38_60_68_95_106_205_243_301_351
tone	238
tree	507
try	94_105_242
two	79
under	504
understand	151
united	8
up	426_443_481
us-cuba	109
very	80_268_285
visit	24_409
war	130
way	260
we	83_169_176_181_261_398_498
wealthy	461
week	224
well	73_336
what	318_325
when	91_142
where	419_430
who	20_49_404
with	1
would	189_290
you	133_158_162_185_294_299_320_327_338_450
