's	339_372_562_619_641_665
,	28_34_63_69_75_86_106_118_124_225_242_246_301_365_380_402_504_540_551_570_572_607_707_722_808_814_823
.	21_41_51_82_99_112_144_172_198_217_252_277_298_315_341_358_394_429_452_473_498_509_515_536_565_621_626_658_681_698_715_734_753_789_805_828_862_867_884_887_890
1907	799
2014	458
28	529
300	535
40	296
7th	404
84-year	360
89-year	343
a	80_115_121_129_287_327_331_430_436_462_469_501_505_516_541_577_655_694_703_754_757_769_776_796_844_870
about	56
actually	594_614
addiction	733
afghan	560_585
afghanistan	550
after	18_47_100_266_491
again	143
against	597
age	352
ago	771
air	268
airstrike	285
al-numan	292
alarming	477
all	858
allow	238
almost	195
always	849
america	141
and	70_76_125_131_148_163_211_249_283_353_445_468_474_484_519_531_546_587_679_732_750_772_835_846_857
another	264
anything	856
apparatus	564
approach	216
approve	435
around	590_841
as	12_244_369_652_690_784
assembly	177_224
association	813
at	294_674
attack	521_596
attacker	554
avoid	500
away	205
baker	807_886
ballot	103
ban	720
barno	539
battle	503
bbc	514_888
be	5_35_53_78_79_89_114_120_127_138_178_200_235_367_385_407_507_567_573_615_624_683_745_760_782_795_826_839_848_864_869_882
beat	38
because	395
bernie	39
between	441
bias	479
bill	717_744
biological	812
biology	881
black	471
bomb	518
both	15_57_145
bottle	758
brother	362
brown	467
buoyant	111
but	723_824
by	390_412_461_522
call	724
campaign	171
campaigning	58
capital	561_592_650
cast	48_101
castro	324_364
century	770_845
chief	375
child	752
city	447_490
clearly	850
clinton	27_43_147
closest	95
coalition	547
commander	543
communist	337_356_373
confirm	307_368_783
conflict	678
congress	340_382_405
consider	201
council	493
country	371
criminalization	212
criticism	165
cruz	98
cuban	321_336
current	392
david	538
day	333
deal	657
decade	197
decision	666
declare	701
deep	633
defeat	93
defend	354
delegates	199
democratic	23
department	444_661
design	746_853
develop	883
director	612
disappointment	634
disturbing	569_625
do	136_613_713_718
donald	87
drug	189_241
easily	92
effort	727
end	257
enforcement	210
enough	852
enrique	229
era	877
ever	787
excited	55
exciting	866
expect	36_90
experiment	800
expose	555
exposure	731
express	631
failure	637
family	749
fatal	459
federal	432
ferguson	449_483
fidel	323
final	332
find	476_576_788
first	192_709
five	378
flag	424
float	840
for	14_31_83_135_190_247_376_496_617_725_842
force	548
former	29_345_542
from	206_456_512_809
front	16
front-runner	109
further	377_677
gary	740
general	176_537
generation	393_415
geneva	255
german	777
global	183
government	282_606_697
governor	737
great	122_142
greater	726
group	306
guinness	790
gun	520
guy	806_885
hand	834
handed	208
have	262_325_434_527_630_667_700_781_819_838
hazard	706
he	94_102_219_234_350_355_359_383_682_688
head	389
health	705
heavy	207
help	159
herbert	741
here	59_65
hillary	26
historic	414
hit	286
hold	273_830
honor	130
hope	151
hopeful	25
i	52_71
idlib	276
important	602
in	2_8_60_66_104_155_185_194_218_254_260_290_299_450_480_482_525_549_558_693_756_832
injure	532
intelligence	611
intense	588
into	762
investigation	475
island	778
it	113_119_126_794_816_825_831_837_861_863_868
its	492_632_730
joy	81
juba	651
judge	433
just	128
justice	443
kabul	526
key	13
kill	293_528
know	836
last	387_409_779
law	209_399
lead	411
leader	318_643
least	295
legacy	357
legal	502
lethal	267
liberal	215
life	401
link	871
love	72
maarat	291
machar	645_664
main	303
mainly	271
make	140_326_347
manhattan	105
marijuana	245
marine	811_880
market	289
may	817
medical	248
meet	179
message	755
mexican	227
michael	466
militant	524
missouri	451
moment	117_123
momentum	162
more	214_533_767
most	601
move	204
movement	804
mr.	149_663
mrs.	42_146
much	820
my	132
nations	175
new	3_32_61_67_73_156_420_695
news	511_889
nieto	231
not	719_818
ocean	803
of	166_169_240_275_312_319_334_396_400_425_448_465_544_599_604_609_638_654_671_676_738_765_798_875
officer	464
old	344_351_361
oldest	786
on	188_330_438_775
one	388_410_598
open	236
opposition	305
original	317
out	311
over	843
overcome	164
part	7_603_608_653_797
party	24_338_374
peace	656
penia	230
people	297_530_670
pick	773
pioneer	421
place	668
plymouth	766
police	439_463_481
pornography	702_721
post	689
present	418
president	228_346_692
presidential	9
prevent	729
primary	10
protect	748
proud	116
province	274
public	704
pull	310
purpose	251
racial	478
rare	328
raul	363
reach	508
really	568_865
reason	134
rebel	272_642
recent	19
recommendation	495
records	792
reference	348
reform	440_497
regain	161
reject	494
relentless	398
report	278
reporter	46
republican	108_736
republicans	85
response	300
responsible	616
rethink	181
return	647
revolution	322
revolutionand	427
riek	644
risk	675
rival	96
runner	17
russian	284
sanders	40
say	232_279_552_662_742_793_815
science	874
scientific	250_821
sea	764
security	563_589_620
see	11
seek	859
senator	30
setback	20_265
settlement	437_454_506
she	49
shooting	460
significant	827
so	54_622_714
socialism	428
sound	110
south	639_672
speak	44
speech	220_329
state	660_711
states	629
stem	455
strategy	184
strength	168
strike	269
successive	153
such	243
sudan	640_673
sue	487
suffer	263
suffering	680
suicide	517
suppose	684
syria	261
syrian	304
take	6_686_855
taliban	523
talk	253_314
ted	97
teenager	472
tell	381
than	534_768
that	233_280_574_593_623_759_847_876_878
the	22_84_107_167_173_182_186_191_222_226_258_270_281_302_313_316_320_335_342_370_386_391_397_408_413_419_423_426_442_446_453_457_489_513_553_559_584_591_600_605_610_627_636_649_659_669_708_716_735_743_763_785_810_873
these	239
they	152_160_170_308_575_581
this	77_137_403
though	571
threaten	485
through	583_860
throw	761
time	193
to	37_45_91_139_180_203_221_237_256_349_486_488_499_579_635_646_648_685_712_728_747_801_829_854
towards	213
track	802
troubling	556
trump	88_150
two	196
un	223
unarmed	470
united	174_628
unity	696
up	687_774
us	431_545_710
use	822
utah	699_739
vegetable	288
vice	691
victory	154
vip	618
vote	50_64
voter	1
vulnerability	557
war	187_259
wary	586
watch	595
way	578_582
we	833
what	566_851
wheedle	580
when	879
whether	202
who	366_416
whole	133
will	158_406_417
with	422_872
world	510_791
would	309_384
year	379_780
york	4_33_62_68_74_157
young	751
