''	220_858
's	468_560_661_719_728_747
,	76_209_217_258_269_383_396_450_510_531_578_663_743_763_765_870
-	57
.	21_32_36_63_85_100_115_155_162_175_190_203_221_249_283_311_319_330_365_371_410_442_459_487_502_514_538_563_585_598_608_645_672_700_731_753_774_783_795_806_811_830_834_846_857_883
1-0	866
100	192
1960	268
26th	760
3-3	879
49	246
``	214_807
a	67_73_80_121_150_188_231_259_331_373_464_570_579_593_620_706_779_800_849_864_878
abortion	390_431
about	355
advise	398
after	41_69_437_686_863
aftermath	239
against	793
agreement	46_108
ahead	632_737
alarm	451
almost	66
also	861
amazing	833
america	342_382
american	643
amjad	576
analyse	422
and	4_195_210_237_277_401_417_452_512_535_714_827_837_854_871
announcement	23
anti-fraud	720
appear	689_709
as	180_589
at	149_412_757
attack	305_607
audio	701_733
austria	777_794
baby	458
back	526
bbc	543_884
be	110_159_164_275_314_322_375_448_508_587_648_734_749_799_809_832_844_848
beat	776
before	482
bergsson	789
best-known	561
better-off	513
between	629
bicker	161
biggest	51
bilateral	38
bill	216
boris	520
both	101
boy	826
brazil	433
break	219_654
bring	841
britain	467_523
busy	594
but	86_250_384_515
by	254_704
call	682
cambridge	416
cameron	492
campaigner	519
campaigning	460
candace	33
capability	303
caracas	618
carry	604
catalonia	718
ceasefire	12_39_75
chamber	202
chant	213
charter	662
child	364
civil	263
close	465
columbian	2
come	40_65_178_197
comment	313
concern	449
condemn	552
conflict	20
congress	132_174
congressman	194_255
control	140_235_527
could	666
country	300_473_506_559_631_805
cuba	31
datum	423
david	491
day	851
dead	248
debate	636
decade	18
declare	72_187
deliver	403
demand	136_429
democracy	537
democratic	116_193_656
describe	291
detail	105_370
devotional	583
diaz	679_713_746
disarm	88
disarmament	59
discredit	725
discuss	650_722
do	281_453_813_818
double	436
down	208
dramatic	780
draw	462_880
drive	591
drop	82
ease	627
ecuador	435
effect	357
effort	694
election	740
elsewhere	859
end	14_407
envoy	623
eu	501
euro	759
european	480
eventually	667
ever	171
expect	750
experience	822
expulsion	671
extraordinary	169
farc	5_71_91
feature	711
fernandez	678
fight	838
finances	530
five	17
floor	125
florida	154
follow	24_350
football	761
footballer	787
for	137_233_430_683_803_852
force	96
former	785
from	156_424_541
front	199
gallagher	367
gay	151
general	739
goal	782
government	3
gudni	788
gun	139_234
have	119_227_274_280_290_296_301_325_368_387_461_551_568_614_653_680_766
he	299_312_503_567_586_590_684_692_697_796
head	716
health	351
here	158
historic	850
hold	615
house	129_182_223_279
huge	801
hungary	882
hurdle	52
i	808_812
iceland	764_775_853
icelandic	786_855
illegal	376
immigration	533
in	30_53_79_83_141_153_173_266_308_316_340_377_432_434_466_478_499_596_617
indicate	334
interest	307
interior	675
interruption	177
into	572
investigation	571
ireland	860
it	603_768_798_831_847_875
italy	869
its	529_532_536_670
james	366
john	256
johnson	521
join	11
jong-un	289
jorge	677
just	179_873
karachi	597
key	635
killing	574
kim	288_321
knockout	772
know	815
korean	286
last	353
last-minute	781
latin	341_381
laura	160
lead	253_668
leader	287
leak	687
leave	245_475_518
legislation	236
lewis	257
life	273
like	392
link	691
lose	276
lower	128
maduro	613
make	111_735_767_874
many	378
match	792
mean	89
media	318
member	118
minister	490_546_676
missile	292
moment	802
month	148
more	15
most	168
move	185
movement	265
mr	320_564_712_745
murder	554
music	584
must	92
myself	820
nation	756
nawaz	549
nearly	191
neighbourhood	595
new	332
news	540_885
newspaper	708
nicolas	612
nightclub	152
no	215_218
north	285
not	454_814
nothing	282
number	337
oas	647
of	19_27_49_60_106_126_130_144_166_200_205_240_261_272_338_358_380_415_420_528_547_555_557_575_581_633_639_642_658_717_738
office	721
officer	184
on	47_113_123_294_362_394_440_470_485_637_741
one	48_165_556
online	400_707
open	484
or	476
order	569
organisation	641_660
orlando	242
out	605
over	868
pacific	310
pakistan	548
pakistani	600
part	379
party	117_730_748
paul	225
peace	28_55
people	247_399_494
performer	580
personally	326
piette	34
pill	405
political	698
poll	483
portugal	872
pregnancy	347_374_409
pregnant	444
preside	183
president	611
press	134
prime	489_545
principle	657
pro-independence	729
prominent	517
protect	98
protester	252
prove	297
public	112_736
publish	703
qualify	862
reach	45
rebel	6_62
recess	189
recording	688
referendum	469
refuse	228
region	727
reject	681
remain	477
report	35_315
resignation	685
resilience	836
result	78
rights	264
rise	348
rival	699
ryan	226
sabri	577
safer	511
say	7_103_270_323_446_504_522_566_602_797
scene	170
schedule	230
scientist	411
security	95
see	343
seek	457
senior	621
service	391
sharif	550_565
sharply	349
shoot	588
shooting	146_243
should	474_524
show	428
side	44_102
significant	81
singer	562
sit	207
sit-in	122
smallest	755
smear	696
some	204
something	664
spanish	674
speaker	224
speechless	810
spirit	839
sport	856
stage	120_773
state	94_317
states	644
stay	498
still	386
stronger	509
study	333
sufi	582
sunday	742
supervise	327
supporter	829
surprised	865
system	534
take	525
taliban	601
talk	29_56_616
tape	702
tension	628
terminate	345_372
test	293_329
texas	421
than	16
that	244_298_335_665_840
the	1_22_37_42_50_54_58_61_70_90_104_107_124_127_142_145_167_176_181_201_222_238_241_251_262_267_278_284_302_309_328_336_356_359_369_404_408_413_418_425_438_443_472_479_488_500_505_516_542_544_553_558_573_599_606_609_634_640_646_655_659_673_705_715_726_732_754_758_771_784_791_804_825_835
then	402
they	8_99_135_206_212_346_388_447_630
this	64_147_163_823_842
thousand	271
three	25
through	389_592_769_876
thursday	114_486_638
tighter	138
to	10_13_87_97_133_186_198_229_304_324_344_406_427_456_463_495_497_624_626_649_669_690_693_695_710_724_751_770_817_821
together	211
tournament	762
trust	93
try	625
two	43
unborn	363
unilateral	74
union	481
unique	845
university	414_419
urge	493
us	131_306_622
venezuela	652
venezuelan	610
veteran	260
victory	843_867
violence	84
virus	361
vote	232_496
wake	143
want	455
warning	352_439
washington	157
watch	790
way	723
we	828
web	395
website	426
wednesday	295
what	816
whether	471_651
which	77_397_744
will	109
win	752
wish	9
with	619_778_819_824_877_881
witness	172
woman	196_339_385_393_445
world	539
would	507
year	26_68_354
zika	360_441
