's	232
,	47_79_120_155_204_307_326_335_352
.	19_45_49_54_62_71_86_115_125_133_143_160_180_189_206_224_226_228_230_240_243_247_254_271_275_287_298_318_324_333_342_346_367_384
3d	377
?	15_52_235
a	12_59_74_77_136_166_185_261_277_349_361_374
above	315
absolutely	17
actually	304
ah	46
amazing	274
amputation	26
amputee	14
and	33_76_104_126_140_144_161_207_260_265
anyone	203
anywhere	205
as	40_153
be	2_18_21_35_58_64_70_123_128_135_157_165_172_183_192_200_214_217_245_256_268_273_289_297_300_303_320_340_348_356_370_373
because	116
before	32
bit	279
break	331_344
but	281_353_368
by	66
can	199
case	43
cast	95
clear	371
cloud	196
come	100_312
comfier	291
confident	51
consider	299
could	182
design	366
detailed	84
do	96_175_250
double	13_25
effort	351
entry	187
ever	30
excited	282
experience	61
fast	68
feel	50_276
field	381
first	5_24_42_91_99_178_209
fit	302
for	11_131_169_176_220_376
future	375
go	234
good	186_236_241
great	60
half	78_262
hard	159
have	9_29_38_81_89_107_118_147_173_360
hello	225_229
here	44
hi	227
hold	269
hospital	103
hour	263
how	67_231
i	63_87_98_105_117_132_267_293_327_329_336_343
idea	149
importance	358
impress	65
impressive	322
in	72_258_364_379
incredibly	83
information	191
involve	363
issue	111
it	16_69_122_134_156_174_181_198_233_270_272_288_295_319_345_347_369
iteration	210
itself	57
just	73_330
kind	108
knee	317
leg	213_310
limb	114
little	278
long	138
lot	167
low	306
meningitis	119
might	339
minute	75
morning	223_242
much	290
my	90_113_212_309_316_354
necrotic	110
nervous	280
next	222
no	148
now	266
of	93_102_109_150_211_359_382
oh	325_334
on	112
out	101_219_286
overnight	264
painful	142
paris	94
people	170
plaster	92
point	188
pretty	321
print	218_246_257
printing	378
process	139_152
prosthetic	383
prosthetist	362
proud	36
quite	141_184
ready	215
really	129_158
remember	88
right	313
scan	10_31_85
scanning	56_252
see	238
send	193
septicemia	124
seven	259
share	201
simpler	168
snap	341
so	1_121_162_248_308
still	106
takeaway	355
than	292
thanks	48
that	7_27_127_151_332_338
the	4_22_55_177_190_195_208_221_251_301_357_365_380
there	372
these	82_244
they	255_285
think	294_328_337
this	3_20_163
though	323
time	6_179
to	37_194_216_237_283
traumatic	130
try	284
up	314
usually	311
valiant	350
very	23_137_305
we	28_34_41_80_249
well	154
when	97_145
where	197
who	171
with	202
would	164_296
yeah	53
yesterday	253
you	8_39_146_239
