''	89_165
's	140
,	9_22_118_133_166_209_349_368_374_377_385_419_444_447_504
.	30_48_61_69_88_104_111_138_151_180_203_216_237_245_264_286_299_319_338_347_354_412_422_439_456_492_512_514_547_564_569_586_594
2014	546
40	418
5	146
50	420
?	462
``	79_131
a	34_46_72_100_121_144_177_207_234_255_288_335_410_436_454_524_527_538
about	241
actually	402_483
aim	495_499
all	161_387_487_501
allow	302
analyze	258
and	26_75_90_265_287_405_413_423_509_550_562
another	67
around	148
artur	520
as	441
associate	554
at	448_526
away	373
barcelona	531_580
be	58_95_135_153_174_193_205_225_232_251_268_281_291_318_322_324_337_343_351_360_383_425_446_451_458_467_482_497_534_555_556
because	126_167
benefit	510
bit	123
brain	11_56_117_191_214_260_297_316_366_431_490
but	31_226_477
call	537
can	18_37_93_97_128_401_416_433_471
cancer	8_12_68_289
catalonia	519
cell	285_290
centimetre	147
challenge	186
change	270
charge	568
chemical	280
chemically	292
civil	560
cloud	208_313
come	189_212
complicated	60
conventional	55
correspondent	51
court	578
deal	6
decision	4
deny	566
depend	276
die	390
different	284_294
difficult	3_125
disability	21_179
disease	28
disobedience	561
do	94_170_359
doctor	39
down	380
easily	306
easy	105
edge	44_229_310_333
editor	590
either	102_149
europe	588
explain	53
face	2
fill	573
find	41_71
flat	384
for	262_326_536_558
former	516
freeze	375
from	543
get	83_85_114_120_160_233_484
go	78_130_372
grand	465
great	185
growth	74
happen	267
have	82_159_199_357_362_370_522_591
hazy	236
he	528_533_553
health	50
help	38
hope	466
idea	247
if	62_168
implication	460
in	530_545_579_581
independence	542
inside	282
it	109_119_163_188_204_211_231_269_321_342_350_376_379_382_392_395_404_408_424
james	52_513
judge	525
just	64_98_154_453
kind	388
know	143_218
laborious	353
laser	36_256_275
lead	19
leave	175
let	139
like	206
little	25_122_235
long	437
make	156_473_479_506
mas	521_549
mass.	585
medical	502
method	244_250
microscope	411
middle	221
minute	421
misconduct	563
more	124
mr.	548_584
much	15_475
new	35_243
nice	145
normal	296
not	129_469
now	320
of	45_66_162_183_222_230_248_273_311_314_334_365_389_427_486_488_500_518_552_571_583
okay	132
on	196_202_277_391_541
once	112
one	182_426
only	194_323_470
operate	195_201
out	87_110_164_330
outside	43_576
patient	511
peasy	106
president	517
press	378
process	415
profound	178
property	272
put	386_407
quicker	476
quickly	40
quite	345
really	352_496
reason	429
referendum	540
regional	589
remove	13
report	593
research	503
responsible	535
return	29
rid	485
right	80
safer	508
sample	261_364
say	33_443
scientist	32
section	101
see	403
severe	559
side	103_150
so	59_181_238_300_339_381_393_399_440_493
something	507
soon	17
spain	544
spot	307
stain	396
state	450
still	452
street	575
study	455
such	435
support	582
supporter	572
sure	157_480
surgeon	303
surgeons	1
surgery	57_192_215_432_474
take	23_99_108_141_363_417_434
tell	239_523
test	325
that	86_171_252_301_315_394_414_468_532
the	27_42_116_136_184_220_223_228_246_259_271_274_279_283_309_312_332_397_428_459_464_489_494_498_515_567_574_577
then	76_406_461
there	134
they	340_565
think	65_341
this	242_249_445_449_592
thousand	570
time	438
tissue	298_367_398
to	20_84_107_115_155_190_200_213_257_295_304_328_358_371_505
too	14_16_24
trial	529_557
try	327
tumor	47_137_224_317_336_491
tumorous	73
two	551
under	409
unofficial	539
use	254
very	293_305
we	49_81_152_158_240_587
well	346_348_463
what	91_197_266_278_355_457
when	5_187_210
where	219_227_308_331
why	54_430
will	173
with	7_10_176
work	329_344
you	63_70_77_92_96_113_127_142_169_172_198_217_253_263_356_361_369_400_442_472_478_481
