%	606
's	133_211_353_390_413_567_595
,	49_59_68_97_111_159_225_232_302_406_422_426
.	38_42_54_66_77_103_135_154_171_198_222_242_257_269_320_356_369_375_397_419_436_461_486_507_528_564_573_589_614_636_645_664_684_707_722_725
1	504
14	31
4	629
520	632
66	228
95	605
a	19_62_85_115_177_186_237_243_291_308_384_424_452_474_500_665
about	503
abu	483
access	102
action	10
after	181
against	11
ahead	386
ajman	683
al-qaeda	488
all	289_662
alleged	449
allegedly	183
alves	381
and	167_189_229_260_275_296_305_310_314_317_335_366_466_624_655_719
another	699
apple	12_81_132_149_160
approach	119
arab	679
area	604
around	151
as	281_423_700
assault	180
at	207_670
attack	45
attempt	86
australia	531_594
away	122
barrier	540_576
base	493
battle	703
bbc	374_566_723
be	6_15_57_64_72_101_203_219_227_233_245_253_263_271_277_315_399_427_445_477_492_498_510_523_532_552_578_610_634_639_710_714
because	550
bernardino	35_48
between	620
bleaching	563_598_638
block	675_697
brazilian	377
break	124
breathing	717
building	210
but	60_104_239_590
by	22_350_479_641
bypass	91
cairns	621
calamane	514
call	346
can	647
capitol	193_209
carry	220
cause	640_690
center	213_268
charge	176
check	216
city	681
coalition	418
company	459
complete	272
condition	241
confidence	391
congress	196
consider	579
control	705
cooperation	134
coral	562_597_637_652
corner	309
corruption	453
could	100_285_543
court	83
crack	16
crew	471
critical	240
damage	613
david	39
dawson	202_224
day	385
dead	30
deadly	187
decade	649
december	37
decide	430
demand	499
department	5
destroy	58
device	150
die	544
difficulty	718
dilma	395
discuss	338
dollar	506
donnison	569
doubt	163
down	313
drop	7
due	428
east	513
emirates	680
encryption	17
engulf	455_669
episode	560
evacuate	264
eve	107
ever	559
fan	687
fbi	79_113
few	548
fighter	702
find	166_600
fire	667_692_701
first	401
fix	168
flame	689
flaw	170
follow	43_303_434
for	131_447_650_716
force	88
from	230_265_403_481_512_554_571_593_695
go	286_301_306_511
government	138_414
grandson	262
great	539_575
group	485
guinea	627
have	56_71_118_139_175_361_382_476_668_713
he	182_388_398
hear	279
hearing	110
henrique	380
hijack	524
hill	194
hold	324
hospital	235
how	339
however	67
huge	666
impeach	446
in	33_46_84_146_173_234_236_247_393_410_451_463_494_516_530_602_622_676
incident	249
increase	439
indonesia	467_517
indonesian	470
injure	246
injury	721
intact	65
into	125_307
iphone	63_70
islamists	27
it	14_99_522_551_646_706
its	8_157_557
japan	336
john	568
jump	694
just	278
justice	4
kidnap	478
kill	659
knowledge	140
korea	334_352
korean	359
large	535
largest	408
larry	201
last	36
later	326
leader	331_360
least	671
leave	416_437
lee	40
legal	9
likelihood	441
link	489
lock	73
madeleine	258
man	178
member	472
militant	480
million	505
minister	379_402
minor	720
missile	367
month	549
more	363
morris	259
move	319
mr.	223
ms.	411
national	596
natural	587
need	130
new	626
news	371_724
next	287_547
no	162
north	351_358
northern	617
not	254_318
now	611
nuclear	354_364
obama	322
of	24_108_141_290_332_387_473_502_537_541_556_561_581_585_607_631_682
officer	191_206
official	462
on	18_94_105_192_217_372_615
one	23_61_555_580_696
only	628
order	362
organization	490
out	185_221_630
outside	116
over	525
own	458
papua	625
part	536
party	117_389_409_421
passcode	76
people	32_293_709
persistent	656
petrobras	460
philippines	465_497_520
phone	53_96_127
pmdb	405
police	50_172_251
pose	349
president	321_394_444
program	355
protect	156
pull	184
queensland	623
quiet	316
radical	26
ransom	501
recover	654
reef	542_577_609_633_661
related	256
report	41_570_711
reputation	158
residential	673
resign	383
respond	341
rise	642
role	450
rousseff	396_412
run	295_619
rush	164
san	34_47
say	13_114_252_468
sayyaf	484
scandal	454
scientist	529
sea	643
section	618
security	93_143_215
seize	51
seven	583
severely	612
she	261_448
shoot	29_204
sit	197_312
six	708
smartphone	20
so	98
some	603
south	333
southern	496
stable	238
start	294
state	457
states	3
strong	685
study	592
sudden	292
suffer	553
suggestion	280
suit	435
suspect	200
sydney	572
take	80_648
talk	325
taskforce	599
tell	298
temperature	644
ten	469
tennessee	231
terrorist	255
test	368
that	69_145_169_442_534_601
the	1_25_44_75_78_92_95_106_109_112_126_129_136_142_152_199_208_248_266_273_330_344_347_357_373_376_400_404_407_417_420_440_443_456_464_482_487_495_508_519_526_538_546_565_574_582_586_591_608_616_651_660_677_688_691
theory	147
they	89_120_297_304
this	327
threat	348
threaten	190
three	52
to	82_87_90_123_155_165_282_300_311_337_340_342_415_429_433_518_653_693_698_704_712
today	431
together	663
tour	274
tourism	378
tourist	218
tower	674
town	515
treat	715
tugboat	475
two	55_672
united	2_678
untouched	635
us	137_345
use	21
vessel	509
visitor	212_267
vote	392
vulnerability	144
warhead	365
warmer	657
warn	533
washington	174
water	658
we	270_276_284_299
weaken	148
weapon	188
week	328
weekend	527
what	343
when	205_288_521
where	195_214_283
whether	432
which	250_491
who	28_226
whole	425
will	323_438
wind	686
with	74_121_179_329
within	545
without	128
woman	244
wonder	584
world	153_370_588
worst	558
would	161
