''	522
's	208_244
,	109_187_287_417_440_445_458_466_598_708_710
.	21_50_61_81_96_135_156_176_203_233_247_253_280_297_321_340_362_368_398_414_421_433_488_523_549_571_591_632_652_668_685_700_716_724
1-0	18
100	586
2/3	227
25	495
35,000	673
70	294
``	517
a	93_144_200_225_258_262_285_394_441_451_524_545_561_581_593_636
abe	222
abstruct	580
academy	507
achieve	114
act	326
activist	526
adored	129
after	7_78_99_124_540
against	115_308
ago	296
allison	55
along	583
also	401_491_713
americans	293
and	44_67_118_128_188_332_352_454_468_470_485_504_612_712_717
anti-missile	315
army	443
around	70_585
art	511
as	327_329_516_622_624
ask	459
at	502
attack	397
august	699
authority	408
basic	683
baton	558
bbc	367_722
be	25_57_72_112_122_131_142_160_164_179_256_278_282_338_348_392_431_483_490_538_541_552_565_577_589_614_639_648_687_719
beat	16
beckon	257
believe	382
benjamin	656
between	180
black	442_452_529_562
blood	473
blow	77
border	696
break	168
brown	400_430
but	642
buy	706
by	27_191_290_356_425_567
call	269_658
capital	174
captain	127
celebration	2
championship	15_105
change	279
charge	578
chief	371_428
choose	349
chould	347
city	375
clash	178
clause	271
cnn	436
coalition	215
colombian	669
combative	509
condition	645
conflict	626
constitution	246_267
continue	631
cook	419
corner	484
correspondent	52
council	140
counter	306
country	679
cristiano	125
cross	676
dallas	377_416_426
david	399_429
de	42
dead	387
deal	202
defeat	288
delight	46
deployment	310
deray	550
detail	423
detain	542_590
deteriorating	644
direct	666
discuss	148
dismay	34
disturbing	432
drill	501
during	409_555
eder	28
egyptian	600
election	209
emerge	492
emergency	145
end	358
erupt	4
european	14_104
evans	251
even	395
eventually	486
ever	86
extral	30_79
fail	100
fan	38
far-fetched	641
feat	111
fight	167_275
finally	113
first	84_689
five	388
flock	702
flower	709
football	10_89
for	82_318_646_682
forbid	273
foreign	601
france	17_43_117
from	206_248_365_415_527_617
further	616
garage	480
give	235
goal	24_121
government	216
gunman	384
have	3_91_141_163_223_378_446_464_498_537_564_576_605_675_693
he	434_463_482_575
highway	582
hold	143_261
home	37_69_503
host	116
hour	411
house	232
how	460
hundred	157
important	226
impose	283
in	5_19_29_39_53_64_107_153_172_210_229_372_472_533_544_547_557_665
injure	134
insist	447
install	355
into	677
israel	597_653_664
israelis	621
it	234_281_302_322_324_489_686
jail	546
james	418
japan	211_243_274
johnson	405_439
join	663
juba	175
jubilant	1
kiir	186
kill	165_487_566
know	339
korean	299_320_343
larger	396
last	569_698
latest	721
lauging	467
lead	190
life	530
lisbon	54
location	334
long	623
lousiana	548
loyal	182
machar	196
major	94
majority	228
man	563
many	461
match	60
matter	531
mckesson	551
measure	307
micah	404_438
military	300
military-style	500
minister	220_255_602_655
missile	354
more	204
move	259_521_615
movement	532
mr.abe	236
mr.shoukry	633
nation	138_289
national	9_88_130
negotiation	413_667
negotiator	453
netanyahu	657
news	364_723
next	360
north	298
not	640
of	35_47_151_158_217_311_335_359_376_412_477_508_610_620_627
off	133
officer	390_462_572
official	670
oil	711
old	497
on	170_264_284_448_474_519_592_659
open	694
option	238
other	587
out	169
overnight	543
pacifism	270
pacifist	245
palestinian	629
palestinians	647_661
paper	715
paris	20
parking	479
peace	201_611_650
people	159_630
physical	305
pick	553
plan	317_393
police	370_389_427_457_568
portugal	6_71_108
portuguese	48
practice	499
president	184_194
prime	219_254_654
private	68_506
prominent	525
prospects	609_651
protest	556
public	65
rare	594
reach	619
reaction	63
recently	198
referendum	263
release	539
report	161_252_420
result	205
resumption	150
reveal	402_424
revise	242
rice	707
riek	195
roberts	56
ronaldo	126
rouge	559
salva	185
sameh	603
say	301_323_344_379_573_634_671
score	26_123
scott	90
scrawling	471
security	139_613
session	146
shatter	286
shinzo	221
shoot	386_465
shooting	518
shop	681
shoukry	604
should	277
show	212
sign	199
since	166_697
singing	469
site	346
so	268
soldier	181
solution	638
soon	328
sophisticated	313
south	154_319_342
speak	449
square	66
stade	41
stage	106
states	536
steven	250
stretch	132
such	515
sudan	155
sunday	207
supermarket	704
supplies	684
supporter	49
system	316_337
tactic	514
take	304
taunt	406_456
teach	513
team	11
tell	435
that	213_380_403_437_493_574_607_635_672_691_718
the	8_13_22_33_36_40_45_59_62_75_83_87_103_110_119_136_149_173_177_192_214_218_230_237_266_291_309_312_330_333_336_341_345_353_357_366_369_373_383_407_422_475_478_494_505_520_528_534_599_608_618_625_628_643_660_688_695_720
then	455
there	391
they	381_678
those	189
thursday	171
time	31_80_85_331_690
to	32_101_147_162_183_239_241_596_662_680_703_705
toilet	714
tokyo	249
tournament	95
towards	260
try	240
twelve	97
two	410
two-state	637
undermine	649
united	137_535
up	554
upper	231
us	314_374
venezuela	692
venezuelans	674_701
veteran	444
vice	193
victorious	292
violence	152
visit	595
wall	476
war	276
warn	606
warrior	510
watch	58
we	51
week	351_570
when	74
where	481_560
whether	265
which	272_512
whistle	76
who	197_385_588
wild	73
will	303
win	12_23_92_102_120_224
with	450_579_584
within	350
world	363
would	325
year	98_295_361_496
