's	7_17_33_321
,	96_126_133_243_260_378_608
-lrb-	268
-rrb-	270
.	35_62_66_89_106_123_146_174_214_233_241_258_271_287_318_326_355_370_387_408_437_457_475_481_510_524_532_564_589_603_653_671_685_703_707_720_732_758_786_801_804
700	756
a	23_107_161_222_296_379_388_403_432_453_490_496_499_518_521_538_600_637_708_717_734
additional	245
after	51_163_306
afternoon	125
age	752
agreement	257
aim	574
allow	424
almost	112_351
although	67
america	320
ancient	677
and	184_250_277_340_384_401_516_520_573_618_625_634
andrea	56
annouce	308
announce	118
anticipate	82
ape	700
archaeologist	672
arm	236
army	455
arrive	796
as	45_114_116_138_374_585
at	127_347_575_754
attack	275_471
ayelet	596
back	26_365
bailiff	515
ban	219
bbc	480_802
be	5_39_43_70_135_197_227_338_342_357_430_440_469_498_526_571_610_665_688_722
become	100_111
before	794
behavior	791
believe	467
belong	298
beneath	771
bill	568_602
blame	391
block	252
body	659
both	147
brazil	684_731
bring	711
britain	6
brown	439
burry	770
by	187_452_472_530_636_668_681_727
call	598
cameron	77
campaign	29
candice	323
capital	169
capture	726
capuchin	743
carr	464
carry	427
cashew	718_767
cause	431
ceasefire	162
centuries-old	766
chief	411
cicil	212
city	414
civilian	286_425_519
clear	72
close	362
closure	334
come	558
command	186
commander	251
company	304_372
confirm	44_137
conservative	48_131_144
contain	230
contest	61
control	377
controvertial	539
could	226_311
country	16_317_369_617_621
course	581
courthouse	497
cover	667
crack	784
crow	702
curb	576
currency	376
currently	40
dallas	416
date	789
david	76_438
day	164
dead	173_529
deal	203
decison	120
declare	160
deputy	523
desperately	273
despite	25
detail	547
determine	709
dextrous	776
diplomatic	632
discovery	687_788
discriminatary	572
dollar	641
donation	550
down	715
economy	400
editor	322
effective	782
embargo	237
enact	244
end	208
enforce	178
enforcement	436_508
euro	643
european	21_587
europeans	795
even	78
evening	105
event	83
evidence	675_740
example	691
exit	18
expect	620
face-sized	713
factory	297_337
far-right	593
fatal	444
favor	73
fight	166
fighting	176
find	674_761
fire	494
firearm	428
five	447
flow	578
follow	442
footage	725
for	434_753
foreign	560
former	454
fortify	261
from	19_59_478_505_559_582_699_723
fulfil	281
fund	577
funding	557_638
general	218_607
gill	705
give	546
go	656
government	290_561
grow	389
gun	504
gunman	491
half	554
hammer	763
handover	109
have	11_159_196_291_417_536_673_746
he	188_407_458_525
helicopter	276
here	745
home	41
hundred	172
hygiene	302
i	619
if	551
illegal	339
immediate	235
implementation	254
important	234
in	30_94_150_156_167_265_315_367_412_483_495_604_606_613_683_696_730_733_748_797
inevitable	113
inflation	386
influence	629
initially	466
injure	517
instead	90
institution	563
interfere	612
involve	149
israel	605_624
israeli	631
isreali	534
it	293_307_310_341_570_599
its	590
jewish	658
juba	170
justice	594
ki-moon	220
kiir	183
kill	513
kimberly-clark	305_356
labor	328
lack	380
land	664
last	31_205_450
latest	152_359_690
law	422_435_507
leader	50_141_249
leadsom	57
least	755
leave	171
legislation	540_670
liquid	769
live	747
long	793
long-standing	189
longer	313
loyal	179
machar	195
maduro	394
make	14
man	512
mandate	283
material	279_383
may	37_69
measure	225
meeting	129
michigan	488
million	639
minister	10_102_329_595
mission	264
money	655
monkey	682_710_744
month	32
more	552
move	85
mp	132
mrs.leadsom	117
mrs.may	97_134
multinational	360
multiple	473
national	735
need	274
never	81
new	47_140_799
news	477_803
next	8
ngo	645
nicolas	393
no	312
non-governmental	543
non-human	693
norman	63
not	611_635_666
now	99
numerous	697
nut	719_768_783
occupied	663
of	91_130_142_154_165_211_224_255_335_350_353_381_395_415_446_487_548_555_566_615_640_642_676_692
officer	449_460_509_531
officially	136
oil	398
on	103_238_248_630_662
onto	716
open	493
openly	429
operate	314
operation	366
opponent	565
opposition	390
or	363_562
organizations	544
oswaldo	330
other	278_616
outbreak	153
over	93
overseas	549
own	750
palestanian	580
park	736
parliament	535
party	49_145
pass	537
path	633
peace	202
people	463
piat	324
police	410_448_482
politics	614
practice	779
president	181_193_392
primary	382
primate	777
prime	9_101
prisoner	500
private	654
probably	80
problem	433
product	303
production	346
promise	12
promote	650
protect	285
quiet	86
quit	122
rack	396
rapid	108
referendum	34_404
remain	28_54
remove	406
report	65_325_706
request	349
requir	542
researcher	729
reservist	456
respect	623
restart	345
rich	399
riek	194
rifle	465
rival	55_190
salva	182
sanction	247
say	221_292_332_418_459_489_569
scale	364
scientist	760
second	242
secretary	42_217
see	462
seek	343_402
seize	295
september	95
settlement	661
shaked	597
she	52_79_119
sheriff	522
shoot	528
shooter	474
shooting	445
side	148
sign	204
smith	64
so	87
soar	385
sole	53
soon	115
source	583
south	157_239_266
speak	441
species	698
sponsor	591
stain	764
state	421_486
steal	502
still	778
stone	678_714_751_762
strict	375
succeed	75
success	24
such	373_584
sudan	158_240_267
support	660
swiftly	88
take	92_228
target	246
technique	785
texas	420
than	553
that	110_309_419_541_646_741
the	1_15_20_27_46_60_71_128_139_143_151_168_175_191_201_215_231_253_256_262_288_300_316_327_333_336_348_358_368_371_397_409_443_479_484_503_506_511_533_567_586_592_669_686_689_712_724_728_742_759_772_787_790_798
then	527
theresa	36_68
these	775
they	468_556_651_738_749_780
third	259
this	124_721
those	185
thousand	352
threaten	198
to	13_74_121_180_199_207_229_280_284_299_344_361_405_426_545_579_628_644_649_657_701_792
tool	679_694
transparency	601
tree	773
try	627_648
two	209_514
un	216_263
under	470
undermine	200
unearth	739
union	22_588
unmiss	269
us	301_413_485
use	680_695
usually	647
variety	223
venezuelan	289
vera	331
very	781
vice	192
victoria	704
view	652
violence	155_232
war	213
we	272_282_319_609_626
wednesday	104
week	451
where	737_774
which	177_423
who	3_38_461_492_501
will	4_98_294_622
with	765
withdraw	58
woman	2
worker	354
world	476_800
would	84
year	206_210_757
