's	70_529_627_688
,	31_104_139_169_172_222_238_241_354_404_410_441_549_635_654_662_802_815
.	21_39_45_67_80_102_116_137_163_191_208_232_253_281_297_314_324_343_347_365_389_395_422_434_457_468_491_494_523_556_572_594_616_642_670_686_691_708_735_759_769_812_835_842_845
20	432
271	25
4	228
400-million-dollar	178
45	559
87	697
a	86_118_177_183_199_203_217_333_451_519_527_540_580_631_643_722_749_770_781_791_840
about	609
abu	534
abuse	587_629
accuse	765
across	64_340
address	732
administration	246
adopt	129
affiliate	508
after	602
aganist	85
ago	409
agreement	219
airstrike	522
al-ansari	536
alex	40
all	458
allegation	639
alleged	742
allow	13_794
alone	801
also	300_563
american	189
americans	229
amid	607
amiel	814
ammunition	568
and	72_223_355_402_423_447_464_487_567_590_797
any	352
anybody	360
appear	701
appoint	577_598
approach	128
argentina	685
argentine	644
arish	548
arm	566
arrest	649_718
as	292_511_513_636_638_810_839
at	630
athlete	52
athletics	136
attack	244_541
bach	148
ban	88_832
bar	76
base	399
bbc	492_843
be	12_27_75_92_108_182_195_230_243_263_279_295_312_328_332_337_338_345_398_450_473_485_537_562_570_597_619_696_738_762_825
bind	724
blanket	87
board	721
body	123
bonafini	653_694_761
both	259
break	773
briefing	266
british	614
burkinus	811
but	81_275
by	130_303_720
can	382
candace	689
candidate	237_261_289
capstick	41
carry	375
case	768
cash	210
cheat	152
child	585_626
city	787
claim	302_624
classify	280
clear	28
coincide	212
commit	99
committe	4
committee	146
compete	30
competitor	115
confirm	23_257
conspiracy	334
controversy	608
could	311_415
country	69_342
court	703
cover-up	641
day	792
de	652_668_693_728
deal	207
decades-old	200
decide	84
decision	38
declare	149
deny	175
describe	286_837
destroy	571
detail	391
dismiss	301
dispute	201
do	318_349_357
dollar	747
donald	239_290_304
doping	59
dripper	394
drug	100_151
duaa	535
earlier	138
early	474_599
effective	488
egyptian	496
election	310_322
elude	714
embezzlement	743
england	589
equipment	206
establish	411_481
establishment	615
event	834
evidence	706
examine	623
experimental	380
facebook	530
fail	204
federal	316
federation	106
few	119
field	73
fight	675
fighter	517
final	37
five	33_407
follow	53_125
for	36_61_185_270_640_676_678_725_790
france	776
from	43_77_385_392_445_748
full	466
full-length	806
game	20
gene	444
girl	798
give	109_264_465_705
goddard	596
govern	122
government	317
group	507_546_661_672
have	26_97_124_158_173_242_256_284_374_426_500_592_646_698_772
he	192_828_836
head	141_656
hebe	651_692
here	687
hide	162
hire	780
historic	584
housing	751
human	490_659
i	356
iaaf	132
if	272_325
immune	462
in	17_226_368_400_420_431_489_509_518_539_553_588_684_702_753_766_775_784
inactive	452
include	234
independent	581
individual	105
inquiry	618
instead	103
institution	634
international	135_144
into	583_740
investigation	582
ioc	83
iran	181_221
islamic	505_805
it	22_91_194_499_557_838
its	516
jane	393
john	170
judge	113_576_645_737
justice	677
kerry	171
kill	501_538_564
know	809
largest	551
last	600
last-minute	47
late	477
lead	579_673
leader	503
left-wing	817
link	611
locate	826
look	739
low-income	750
lowell	595
make	351
manage	712
mang	65
many	62_514
marseille	789
maryland	403
massachusetts	401
mayo	669_729
mayor	818
michel	813
militant	561
military	205_366_497_528_682
million	745
monkey	384_433
more	34_390
most	7
mother	664_758
mouse	421
mr	282_298_326
mrs	760
muslim	795
name	755
near	547
never	98
new	574
news	493_844
next	470
no	159
northern	554
not	319_350_358_763
now	424
nuclear	218
obama	255_283_299
of	8_50_112_120_142_153_167_188_216_250_439_454_504_515_521_544_625_633_650_657_665_681_744_746_756_788_819
off	417
office	271
olympic	3_145
olympics	79_156
on	94_526_542
one	448
only	117
order	647
other	560
out	376_774
over	202_247_777
page	531
park	783_824
part	16
pay	196
payment	179
personally	764
piette	690
place	160
plan	778
plaza	667_727
police	715
possibly	476
potential	413
predecessor	605
prepare	268
president	254_296
presidential	236_260_309
previously	285
prisoner	190_224
process	49_323
program	60
project	752
propagate	339
protect	383
protection	467
provocation	841
publish	405
quit	606
range	632
ransom	184
refuse	699
release	187_231
replica	453
report	42
republican	233_288
research	397
resign	593
result	406
revelation	55
ridiculous	346
rig	313
rights	660
rio	19_44_155
row	771
rule	683
run	134_320
russian	2_51_114
safe	486
same	429
say	5_90_193_372_498_532_558_827
scientist	367
secretary	166
security	265
seek	830
send	716
sense	353
series	520
seriously	364
set	620
settle	198
sex	628
sexual	586
she	603_711_719_733
show	378_427
signing	215
sinai	510_555
southern	786
sport	66
square	730
state	168_506
state-operated	58
statement	525
states	371
step	471
stimulate	460
store	569
stronghold	543
strongly	174
stunning	54
suburb	821
success	430
suggest	329
suit	808
supporter	734
swap	225
swim	800
swimming	807
system	463
take	15_362
task	111
team	10_74
test	377_436
that	6_24_56_176_258_277_306_330_336_344_348_363_379_482_533
