%	456
'	800
's	29_48_172_209_347_459_532_666
,	2_52_54_78_89_178_204_245_262_320_425_429_438_485_717_738_744_753_767_790_854
.	10_32_42_57_63_98_135_161_193_224_242_250_291_307_328_341_368_379_392_417_433_449_453_466_475_510_523_529_561_588_614_632_650_670_698_706_761_786_802_826_840_858_863
100000	323
18	777
1989	697
2001	474
30	455
96	660
a	23_69_92_128_393_439_480_552_651_674_815_855
abdaslam	353
abdslam	381
about	399_495
above	99
accept	477
accidentally	820
accuse	617
acknowledge	731
across	190_406
address	770
affair	41
after	387_676
again	218
against	297
aid	582
aimless	56
all	100
allow	265
ally	97_130
also	122_512
and	55_81_119_213_278_305_321_361_363_431_548_606_643_715_822
anderson	792
another	557
any	645
appear	513
apply	325
approve	229
arm	377
around	322
arrive	382
as	411_427_443_463_507
asperno	775
aspirant	175
association	364
assure	123
asylum	253_327
at	288
attack	25_349
austria	316_329
austrian	226
authority	616
back	834
baghdad	604
banner	710
batrice	827
battle	733
bbc	8_394_528_859
be	4_34_50_66_106_127_133_139_159_166_181_247_255_335_355_388_420_468_515_539_583_638_683_688_742_756_810_829_846
bear	711
becca	59
belgium	391
bell	249
bernie	176
besiege	586
bethony	248
between	520
bill	264
bomb	360
border	290
box	752
boy	819
boyfriend	853
break	621
briefing	540
britain	665
british	509
broadcaster	619
broadcasting	596
bureau	605
but	333_486_727
by	68_422_640_797_851
calm	142
campaign	188
car	850
case	497
charge	356
china	430
citizen	416_444_465
city	735_807
close	602
cold	728
come	673
commemoration	672
conclude	678
control	233
controversial	230
convention	210
convinced	494
could	214
council	543
country	192_241_405_437_448_613
court	372
cover	629
crash	689
critic	292
cross	238
crowd	772
cut	565
danny	699
date	553
day	675
death	691
decision	642
declare	269
defend	109
deliver	67
democratic	170
deny	644
describe	45
detail	812
determination	795
die	782
different	521
disapprove	517
disaster	669_785
do	73_113_150
donald	19_70
down	80
drive	421_836
during	762
economy	424
else	101
emerge	423
emergency	272
envoy	534
europe	261
european	504
evening	729
ever	764
every	739
experience	154
extradite	389
fair	117
family	801
fan	662
fear	148
figure	471
find	397
first	36
football	661
for	14_326_498_535_556_658
foreign	30
fortune	222
from	61_243_303_390_526_609_704
front-runner	13_138
gather	723
german	458_487_511
germany	476
give	280_811
global	412_464
go	296
government	267_591
grimly	451
group	367_631
guard	378_857
guideline	624
gun	844
half	400
have	21_152_228_313_324_354_396_592_653_736_809_845
he	35_90_102_121_132_149_180_197_220_369_824
heavy	376
hello	1
here	246
hero	799
highway	839
hillce	694
hope	549
how	814
huge	709
hundred	186
i	3
if	111_131_219_273
improve	223
in	86_200_211_260_317_345_350_373_383_404_435_489_500_554_569_611_656_664_696_783_804_832_848
include	626_773
india	432
industrialized	436
initially	330
inquest	677
insurgent	630
international	40
into	239
introduce	337
iraqi	590_622
it	33_279_334_550
its	603
james	781
jone	791
journalist	608
july	212
justice	716
key	343
kill	663_685_823
lamp	759
last	483_573
launch	22
laura	58
law	254_295
lay	184
leave	107_370_847
less	493
liverpool	657_681_705_789
liverpudlian	722
long	765
lowest	470
magrette	774
major	37
majority	440
marion	5
marriage	519
marshall	6
may	555
mayor	787
measure	231_340
media	623
message	94
migrant	237_274_312
million	481
milwaukee	808
mixed	93
month	319
more	478_516_581
morning	386
most	285
mother	825
mr	43_46_194
much	338
murder	358
nation	531
national	415
nationality	505
nerve	144
network	597
new	163_252
news	9_525_862
niaomi	450
nigeria	428
nomination	18
not	74_114_151_578
november	346
number	235_275
o'brien	538
obama	28_47
of	145_187_236_257_271_286_300_309_311_401_445_457_518_559_620_647_692_719_721_749_788_813
off	185
offer	301
often	77
old	779_818
on	26_39_216_544_628_707_724_747_837
once	831
one	256
only	454
opposition	564
or	155
order	593
other	503
out	598_633
own	447
paris	351_374_384
parliament	227
participation	568
party	171_208
pay	115
peace	546
people	403_745_769
perch	746
persecution	306
place	655
plan	182
point	741
police	803_841
policy	31
political	221
poll	395_491
post	760
power	282
praise	793
president	27_134_160
presidential	17_174_202
previous	571
price	828
principle	299
process	547
professional	648
question	460
race	203_522
rather	413
recent	318
recently	336
reckless	51
red	750_754
refugee	302_332_482_501
reject	284
reliable	129
remain	199
report	60_167_452_610_703
republican	16_137
respondent	488
restriction	627
return	579
rise	277
round	558_572
rudderless	53
salam	352_380
sanders	177_195
satellite	595
savage	700
say	103_179_196_293_575_636_842
scarf	755
scathing	24
security	542_856
see	75_409_441_461
send	91_584_701
service	766_861
set	551
several	768
share	118
she	852
shock	639
shoot	821_830
short	566
show	796
since	473
son	780
special	533
speech	38_65
sport	668
stadium	695
staffer	189_217
standard	649
state	270
stephen	537
strategy	49
such	426_506
suddenly	276
sunny	726
supporter	682
suspect	344
suspend	607
syria	536
syrian	563
take	215_499_654_743
talk	560
telephone	751
teleprompter	88
temperament	157
ten	308_718
terror	348
terrorist	366
than	414_479_502
that	124_168_398_467_679
the	11_15_64_84_87_136_143_153_156_162_169_191_201_207_225_234_240_251_258_263_266_281_289_294_298_342_371_402_407_469_490_496_508_527_541_545_562_570_589_594_612_615_618_641_659_671_680_693_708_712_725_732_763_771_784_794_798_805_833_838_843_849
themselves	110_410_442_462
there	472
they	104_112_116_287_446_567_576_637_687
this	385_418_702_734
those	146
thousand	310_720
through	205_315
tie	82_757
times	165
to	83_95_108_141_158_183_206_232_268_283_514_585_599_601_634_690_730_758
tone	79
top	748
tougher	339
toughest	259
town	587
trail	173
transit	314
trend	419
trump	20_44_71
truth	714
try	140
two	816
under	375
united	530
unlawfully	684
until	580
us	12_96_125_806
use	359
vantage	740
very	76
vienna	244
vigil	652
violation	646
war	304
washington	62
we	72
weapon	362
week	574
welcome	331
when	686
which	625
while	434_835
who	147
whose	776
will	492
win	737
with	7_357_365
word	85_713
world	408_524_860
worst	667
would	105_126_198_577
year	484_778_817
yet	120
york	164
zero	600_635
