''	254_327
's	313
,	45_66_130_169_197_343_403
.	32_52_93_136_144_180_191_219_238_255_285_300_328_338_356_362_418_433
2015	195
30	161
56	202
58	214
:	3_95_125_221_278
?	102_122_275
``	249
a	86_172_187_225
about	315
act	65_168_432
after	120
agreement	84_89_176
allow	69
alone	196_292_307
also	149_373
and	28_47_96_115_145_233_239_366_391_412_419
as	37_142
back	250_323
be	9_55_91_104_143_182_186_224_258_264_290_298_305_332_358_364_372_421
because	184
believe	368
between	24
big	188
bilateral	174
billion	203_215
bottom	360
brexit	121
britain	245
but	339
can	7_90_111_263_383
commercial	71_83
commit	365_374
congress	371
continue	11_74_116_415
continuity	64_431
continuous	274
country	110
current	81
day	162
democracy	48
discontinue	350
do	8_380
dollar	204_216
enact	265
even	119
everything	134_140
exactly	422
exist	17
export	207
fact	414
first	4_128
for	18_40_229
foundation	39
fox	396
freedom	44
go	247_321
have	16_35_58_201_355_425
here	357
how	97_256
hundred	22
i	57_280_286_289_294_301_304_331_367_424
import	218
important	183_227_299
in	49_126_194_217_266_308_370_413
indeed	234
initiate	158
instance	129
intact	135
international	392
introduce	59_426
it	131_137_147_259_282_341_344
journalist	94_220
keep	133_269
kingdom	31_62_211_232_318_429
know	193_287_302_330
lee	2_124_277
legislation	262
let	279
liam	395
likely	257
line	361
make	92_139_376_398_405
may	390
mean	337_342_347
mike	1_123_276
minister	388
more	19
nearly	213
need	319
negotiation	159
new	87_173
not	291_306_333_346
now	114
obama	242_312
of	43_79_153_163_166_206_251_324
one	21_33_178
operate	75
other	369
parameter	78
passage	165
position	314
practically	101
president	152_241_311
prime	387
pursuit	42
put	281
queue	253_326
reach	171
really	226
relationship	14_72_118_190_228_271_297_353_410
remain	273
require	150
right	113
say	243_295_309
secretary	394
security	46
serve	36
shared	41
should	345
so	53_222
special	13_352
stand	141
states	27_156_200_237
sure	334_377_399_406
survive	411
than	20
that	15_34_54_99_107_117_223_244_260_288_303_310_336_348_378_400_407_420
the	12_25_29_38_50_60_77_80_105_108_127_151_154_164_198_209_230_235_252_270_316_325_359_427
then	146
theresa	389
thing	5_106
this	167_181_185_283_296_351_401_408
thrive	417
time	267
to	10_73_157_170_208_248_268_272_320_322_375_384_397_404_416
trade	63_112_175_189_393_409_430
two	109
under	76
united	26_30_61_155_199_210_231_236_317_428
until	85
us-eu	82
us-uk	70_88
way	284
we	6_349_354_363_379_382
what	103_335
whatever	340_381
when	293
which	67
why	56_423
with	212_386
within	160_177
work	100_385_402
world	51
worth	205
would	68_98_132_138_148_246
year	23_179
yet	240
you	192_261_329
