'	300
's	75_80_188_284_465_489_503_626_643
,	2_91_106_117_121_389_410_564_678_722_765_769_796_841_869_872
.	45_63_83_102_139_161_182_198_203_227_239_257_286_302_312_342_364_374_399_416_449_468_487_509_523_529_551_576_608_630_662_690_714_734_758_789_808_812_819_827_832_839_854_885_888
100	232_264
15	58
16	437
20	756
27	298
276	31
30	482
33	279
5	775
74	260
`	874
a	11_109_193_294_357_379_425_440_556_651_664_717_750
a.	367
abnormality	341
about	72_386_406_623_810_817_882
account	277
actor	713
administration	625
advocate	673
african	272_295
ago	36_398
ahead	791
aid	604
air	54
al-assad	589
al-nusra	592
alive	44_160
all	569
allow	603
also	473
american	167_296
americans	273
among	253
analysis	381
and	53_96_118_132_246_319_338_382_590_602_659_726_778_861_879
any	621_702_705_708_711
anywhere	689
apparent	665
apparently	48
appear	24
as	77
ask	229_568
assembly	448_486_516
at	552_704
attempt	504
authenticity	76
baby	330
back	276_860
basketball	741
bbc	9_79_528_886
be	4_42_88_92_98_108_134_158_178_184_200_255_271_293_332_345_354_369_378_432_456_518_582_606_684_694_716_773_814_843_866_875_880
bear	333
bicker	202
biggest	511_738
bind	844
birth	360
black	61
blame	457
boko	22
brain	340
brazil	363
bryant	743_797
but	469_594
by	18_55_165_180_186_266_584_707
can	540
career	752
careful	380
cause	329
centers	315
cessation	545
change	234_427_862
chibok	41_115
chicago	170_187_211
chief	290
christmas	51
city	168_283
civil	657
claim	207
classmate	110_131
cnn	56
color	226
come	222
commission	164_185
conclude	172_242
confirm	322
connect	355
contribute	475
control	318
current	544
damning	205
day	52
debate	348
decision	851
defeat	442_497
defect	361
deliver	607
department	642
disease	317
do	537
doubt	71_622
dr	365
during	636
economy	454
eddie	291
election	444
else	884
emphasize	681
enforcement	252
ensure	542
evaluate	413
even	274
ever	400
everything	538_811_818
evidence	415
experience	301
explain	82
fear	245
film	49
final	747_794
find	259
follow	495
for	215_230_278_316_434_458_461_687_761_868
force	176_238_311_586
form	703
freedom	661
friction	471
from	526
front	593
further	557
game	748_795
gathering	522
geneva	563
geun-hye	464
girl	32_59_68_116_152_157
give	89_143
global	645_653
go	838_859
govern	433
government	17_709
greene	6
grief	138
group	21
hamper	500
happy	816
haram	23
have	69_142_171_212_321_344_377_384_423_455_474_491_532_581_598_615_672_744_754_804_821_846
he	303_617_746_759_772_793_802
head	337
hear	385_405
hello	1
here	199_877
hit	824
hold	550
hope	147
hopeful	670
hostility	547
human	646
i	3_813_825_857_865_873
if	856
image	47
in	37_60_99_190_210_250_268_326_362_420_443_445_484_513_548_562_663_701_740_749_786
increase	652
indicate	650
inevitably	840
insist	721
internal	470
islamist	20
issue	351
it	183_221_228_375_539_820_837
john	613
johnson	292
just	762
justified	256
justin	5
kerry	614_632_680
kidnap	33_67
kind	145
know	871
kobe	742
korea	422
korean	453
la	767
lack	247
lakers	768
landscape	419
last	436
latest	644
launch	638
laura	201
law	251
leader	490
liberal	520
life	219_601
link	392_409
lose	478
make	633_853
matter	849
may	472
maybe	858
mayor	189
meet	725_730
minjoo	521
minority	254
month	346_397
more	480
mr	577_631_679
ms	501
must	729
national	447
nations	567
nba	776
new	288_515
news	10_525_887
nigerian	16
nigerians	149
no	70_213_685_848
non-state	712
not	103_805_822
number	783
obama	531_578
of	29_40_65_85_111_113_126_146_155_169_195_218_225_248_262_281_347_359_371_404_479_546_555_559_587_611_639_676_699_736_784_792_801
offer	492
officer	267
om	81
on	50_349
one	84_112_125_370_735_763
only	104
opening	554
oppose	695
opposition	627
or	153_710
other	724
ourselves	733
out	307
outcry	194
over	231
panel	241
parent	87
park	463_502
party	430_467_512_570
peace	560
people	224
percent	261_280
place	686
plague	179
play	745_760
point	785
police	175_196_209_237_289
political	418
population	285
possible	408
powerful	391
pregnant	327
president	462_530_588
presidential	669
press	660
prevention	320
professional	751
prove	26
push	506
racism	181_308
rasmussen	368
reality	800
really	135_376_823
recent	269
recognize	124
recommit	572
record	779
reference	666
reform	508
regard	214
regret	847
regretful	867_881
relationship	388
relative	64
remark	635
remove	620
report	163_206_648
republican	668
researcher	373
resign	494
response	191
retirement	803
reverse	460
rights	647
robe	62
root	306
round	558
saenuri	466_488
sanctity	217
save	599
say	122_533_579_595_616_798
seat	483
secretary	610
see	831_835
send	13
serious	100
several	396
severe	339
she	97_119_123_130_133_137
shock	441
shoot	265
shooting	197
show	57_93_136
significant	426
since	352_401
sit	876
sluggish	451
small	336
so	828_855
society	658
some	28_144_154
something	883
sonja	366
south	421_452
span	755
speak	790
sport	788
standard	718_732
star	739
start	412
state	612_641
states	693
stifle	656
still	43_159
suffer	439
sunken	806
surge	358
sweeping	233
syria	549
syrian	600
talk	561
tape	74
team	764
tear	101
than	481
