's	29_327_472_576_625
,	89_99_162_198_363_368_371_494_514_739_792_801
.	33_48_56_65_84_108_127_140_158_190_222_261_290_317_332_345_354_358_382_400_415_423_433_453_464_485_524_536_562_581_597_610_632_669_679_698_714_734_744_761_772_809
1	335
14	282
18	173
19	502
4	660
816	673
a	17_123_207_211_233_251_351_386_389_499_508_570_607_656_688_723_756_759_768_805
about	750
abuse	136
accuse	51_600_684
africa	418
after	501_655
against	257_578
ago	175
agreement	314
al-nusra	557
alert	523
also	599
america	326_370
and	3_11_45_74_109_141_191_248_374_409_454_582_603_773
annual	323
any	179
apple	260_269
arabia	602
area	149
arrest	414
as	793_795
aspen	59
assad	575_624
at	16_155_206_321
attack	385_489
authority	635
azalai	438
bamako	399
barack	1
bbc	535
be	58_67_72_80_92_95_144_152_187_210_220_265_304_309_319_337_348_366_407_413_440_460_483_504_521_526_555_560_627_675_722_736_748_763_764_781_783_786_799_803_804
beach	509
because	78_118
before	137
bernardino	243
best	430
block	606
business	350
but	159
californian	286
campaign	577
capital	398
case	256
castro	5_50_86
catastrophic	367
century	760
city	287
close	706
coast	513
come	496_648
conference	20_209_324
confirm	476
congress	126
contact	650
continue	591
convert	441
correspondent	419
could	182
country	668
course	111
court	255
cuba	32_37
day	24
dead	506_662
deal	342_365
deal-making	357
december	289
defeat	561
degree	769
delegation	621
department	226_263
deploy	468
difference	71
diplomatic	689
disastrous	341
discussion	631
dismantle	311_339
dispute	693
donald	294
double-standard	55
east	381
ebola	653
elect	305
embargo	15_106
ensure	767
escalate	687
escalation	743
eu	447_466
european	390_456
even	486_774
fact	193
fail	493
farhan	718
farook	247
fbi	229
fessy	421
fighter	564
find	232
first	298
for	82_369_372_375_630_741_753
force	268_474_548
foreign	299
frankly	188
fresh	657
from	60_533
front	558
front-runner	293
fun	83
future	626
geneva	616
get	102
gloss	76
go	749
gon	93
government	596_620
ground	780
group	543_556
guard	459
guinea	637
gunman	244_383_406_425
happen	139_184_197
haq	719
hassan	586
havana	64
have	6_38_101_121_165_186_196_200_219_231_249_264_347_384_412_439_475_482_492_545_559_568_613_640_647_674_683_700_747_798
he	297_303_318_547_589_598
headquarters	444
help	275
hizballah	544_563_584
host	388
hotel	387_432_435
human	9_46_134
hundred	642
i	346_355_360
idea	177
identify	676
if	90_302_487_728
immediately	107
in	63_115_284_349_395_451_507_511_551_573_615_636_663_711
influential	329
injure	484
insist	622
into	278_442_649
investigation	277
iran	316_344_567
israel	373
it	66_119_195_495_762
its	254_480_707_751
ivory	512
joke	204
jon	61
just	164_497
justice	225
keep	169_731
key	571
kill	408
kind	146_167_201
know	161_356
last	288
latest	530
leader	538_585
leave	659_733
lebanese	541
lessen	806
let	359
liaison	709
lift	104
listen	527
lobby	331
lock	154
long	352_794
look	88
make	40_203_221
mali	452_471
malian	397_401
manufacturer	259
may	230_646
medical	634
middle	380
militant	542
military	392_448_708
minister	403
mission	394_450_467_732_746_797
mobile	238
moment	157
month	174
more	754
morocco	685
most	328
mr	34_623
my	333
na	94
nasrallah	587
nations	682
nevertheless	217
news	208_532
no	737
no.	334
none	478_740
nord	436
normalization	96
not	75_628_782
now	701
nuclear	313
obama	2_35
of	25_54_97_110_125_147_168_180_202_213_240_253_281_325_378_428_445_479_539_605_643_666_686_695_725_758_770_807
office	710
on	21_42_133_522_778
one	405_427_784
outbreak	658
over	8_77_498_691
peace	611_730
people	128_283_503_644_661_791
phone	239_273
pick	426
pinch	170
play	569
policy	300
political	43_113_608
possibly	183
postponement	252
president	28_49_307_574
press	19
priority	301_336
pro-israel	330
progress	41_132_216
protect	431_593
quarter	757
quick	461
quite	81
rabat	699
raul	4_85
react	463
reality	114
reason	738
rebel	580
reform	44
region	520_713
relation	98
remain	550
remarkable	215
reminder	516
report	422
republican	292
resort	510
restart	614
resume	727
ridiculous	189
right	68
rights	10_47_135
risk	724
rizwan	246
role	572
sahara	697_790
san	242
satisfactory	787
saturday	678
saudi	601
say	36_87_227_296_404_546_588_638_672_720
second	23
security	402_473
see	131
seek	266
seem	490
shoot	505
shooting	280
show	73
sign	212
since	677
situation	777
slightly	153
so	142
soldier	457
solution	609
sopel	62
southeast	665
spar	7
spat	690
speak	320
spokesman	671_717
stability	771
staff	481
stand	458
sud	437
sunnis	579
suspect	411
syed	245
syria	552
syrian	595_619
talk	612
tell	361_702
tense	18
tension	726_808
territory	694
than	755
that	69_138_143_172_178_194_218_477_517_785
the	12_22_26_52_70_105_112_116_145_148_156_176_192_214_223_228_237_241_258_262_272_276_279_285_291_312_322_340_376_379_396_424_429_434_443_446_455_465_515_518_529_534_537_540_554_583_594_618_633_652_664_667_670_680_692_703_712_715_729_745_776_779_789_796
there	721_735_765_800_802
these	181
they	79_151_199_639
this	57_91_364_488_742
thomas	420
though	775
time	353
to	31_39_103_122_130_166_235_267_270_274_310_338_462_469_491_528_592_705_766_788
together	205_565
trace	641
trade	14
train	470
training	393_449
trump	295
turkey	604
two	410
un	704_716
union	391
united	681
unlock	236_271
until	553
up	629
us	13_27_53_117_224_306
virus	654
visit	30
vote	124
want	129
way	234
we	416
week	500
west	417
western	696
where	150_617
who	645
whole	377_519
will	120
win	250
with	315_343_566_651
work	752
world	531
would	185_308_549_590
you	100_160_163_362_525
yourself	171
