's	379_386_415_661
,	30_103_183_257_266_338_504_523_542_606_622_648_692_733
.	18_38_47_52_73_128_166_200_213_231_243_278_284_292_317_347_360_369_377_409_428_436_460_467_474_477_501_518_537_568_597_601_645_669_711_743_775_791_823_837_840
100	539
16th	575
1916	579
1967	781
31	309
49-year-old	506
6	254
60	325
80,000	826
a	7_27_117_125_163_293_302_318_357_374_454_478_493_498_505_549_553_607_620_677_717_744_749_802_817_835
abandon	46
about	100
abuse	182
access	400
accord	519
administrator	547
after	834
against	43_220
ago	517_541_605
agreement	571_636_655_715
al-qaeda	344
alberta	799
all	55_402_687
also	202
and	93_109_222_237_273_450_544_592_643_698_706_719_739_788
any	445
app	803
appear	618
area	583_777
army	784
arrest	199
arsano	214
as	10_23_261_263_421_734
association	382
at	141_307_323_389_497_766_816
attack	152_157_331_355_371
attempt	155
back	210
backing	178
bank	762
baptise	774
bbc	475_838
be	35_45_49_54_63_77_88_89_98_107_112_116_124_144_234_241_275_290_327_354_367_438_453_462_469_509_627_666_674_726_773_778_828
beat	492
because	137_395
become	716
begin	153_752
belief	652
believe	113_771
between	641
blame	412
bomb	1
bombing	304_359
booby	789
border	640_662_683
bourgeoner	449
bring	209
british	545_591_707_745
bullmerth	44
business	381_416
but	31_363_712
by	448_637_782
cairo	514
call	615
can	280
canadian	796
capacity	393
capture	779
carry	5_300
carve	581
carving-up	724
cell	531
change	289
charity	746
chief	353
chiefly	394
christian	770
church	758
city	337
clear	753
collapse	738
colonial	546_723
come	291_372_731
conclude	33
confirm	203
congress	207
conspire	422
continue	559
contrary	649
control	699
controle	8
corruption	223
counrty	660
country	385_414
court	479
crime	179_221
criminal	195
currency	404
currently	387
custody	512
daniel	50
de	160
death	211_251_496
demolish	638
describe	20
destroy	632
device	29_80_105_119_127
disposal	2
distribution	274
do	397_465_472_656_672_673
draw	548_658_676
drug	181_271
duterte	171
east	557
egypt	481
elite	417
empire	737
enable	806
end	742
english	609
environment	140
eric	502
euro	599
evacuate	808
excatly	538
expert	3
explosion	9
explosive	28
face	58
fact	647
factory	435
feel	281_287
find	108
follow	728
football	164
for	83_356_491
force	189_341_829
forcibly	136
foreign	403
fort	812
france	161
