''	253_335
's	137_171
,	20_71_102_129_135_166_178_280_323_333_381_392
.	43_59_63_91_114_123_142_151_185_205_219_225_241_254_267_278_286_305_317_357_373_379_388_397_407_411_421_438_456_466
5:30	67
?	16_156_174_276_363
``	246_331
a	10_98_107_370_426
about	292_429
academy	54_204_321
accept	216
accolade	173
accuse	327
acknowledge	31
actually	264
add	244
ago	42
agree	385
all	177_387
and	64_72_80_87_92_115_130_143_186_194_206_220_226_242_306_336_408_422_451
another	318
appreciate	248
arrogant	334
as	389
ask	209_284
at	386
award	56_356
back	77_97
be	46_66_120_132_158_193_197_256_263_268_290_330_339_366_376_377_394_414_453_458
because	298
bit	428
bob	23_149
but	412
call	12_26_45_61_110_128_140_274_297_420
chat	425
come	76_96_435
committee	29
congratulate	180
connect	146
context	372
course	224
do	153_282_358_383_410_445_450_464
dylan	24_136_150_328
eventually	313_401
excite	191
extraordinary	164
fan	200
feel	308
few	99
finally	25
first	175
for	34
from	13_78_111_182_346
get	9_198_303_314_404
go	121
hall	86
have	74_106_237_288_302_462
he	36_60_145_154_159_181_189_196_210_212_221_228_239_243_270_285_293_301_311_375_402_409_431
head	50
heart	184
highest	172
honour	250
how	3_190
i	62_73_95_103_105_116_125_141_147_179_187_208_247_281_287_299_307_382_390_393_398_413_440
if	7
impolite	332
in	84_201_315_405
it	65_89_131_255_262_338_457_465
jeff	133
just	2_75
know	300_345_399
later	101
leave	88_238
legendary	18
like	214_433_460
literally	265
literature	35
little	427
make	47
man	15
manager	138
many	199
member	322
minute	100
misquote	378
miss	108
more	38
much	252
must	455
my	82_183_296
never	289_395
new	112
news	232
no	380_454
nobel	28_235
not	283_294_344_350_384_459
now	1
of	51_168_176_223_233_258_319_329_369
on	122
one	167_257
or	349
out	368
p.m.	68
particular	371
phone	11_83_109
pick	353
pleased	416
prize	33_58_165_218_236
put	81
react	6
reaction	160
realize	104_117
really	444
receive	162_418
return	126_295
rosen	134
say	155_222_229_337_391_441
sentiment	362
share	360
should	443
singer	19
so	124_251_374
somebody	347
something	119
song	21
speechless	240_266
stockholm	437
sure	309
swedish	53_69_203_325
take	367
tell	188
than	39
that	118_195_230_245_269_310_341_361_400
the	17_27_32_44_49_52_57_85_127_169_202_217_231_234_249_320_355_419
then	93_144_207_227_423_439
there	90_452
they	304_351
this	14_163_324
those	259_364
time	70_260
to	30_48_148_161_215_273_417_434_436_449_463
touch	316_406
two	40
unprecedented	340
up	354
very	415
wait	271
want	448
we	192_424
week	41_272
well	279
what	152_157_446
when	94
where	261
whether	211_348_430
which	55
who	139
win	37
word	365
work	79
world	170
worry	291_396
would	4_213_312_343_352_403_432
writer	22_326
yes	277
york	113
you	5_8_275_342_359_442_447_461
