's	147_185_260_426_616
,	26_292_327_466_567_648_695_727_862
-	631
.	30_37_41_54_81_96_118_142_165_191_195_204_224_244_262_283_297_332_349_353_362_381_408_421_438_462_474_512_535_541_577_609_621_645_652_673_693_705_716_734_742_770_776_790_810_834_851_874_881
100,000	729
149	93
15	13
2015	719
26	98
2:30	68
45	32
600	670
90	833
9000	737
a	5_8_55_59_79_92_97_110_126_155_210_216_290_293_369_395_414_451_475_480_499_564_594_636_659_671_795_800_863
about	669_842
admit	114
advise	708
after	105_179_230_661
afternoon	267
again	229_440
age	831
ago	361_520
agree	587
alastair	350
all	558
allegedly	113
allegiance	503
almost	728
also	855
america	296
american	819
and	72_77_132_316_340_439_562_768_875
angel	749
another	31
ansbach	496
apology	156
appointment	461
arrest	104
as	319_389
asylum	482_525
at	11_15_67_87_109_129_463_829
attack	117
attacker	514
authority	477_697
back	367_444_458
baltimore	169
barbara	192
bbc	540_879
be	35_43_69_84_103_122_125_150_193_201_206_264_375_387_391_403_436_468_522_528_531_553_586_607_625_634_676_685_690_702_707_732_772_854_877
behind	840
believe	123
bernie	163_242
best-selling	838
between	337
biblical	843
binali	546
birth	629
blow	485
bogota	647
boo	265
both	771_791
break	437
budget	786
bulgaria	534
but	225_254_409_521_588_688
by	394_405_640_774
call	285
candidate	289
care	61_712
case	666_689_730
chairwoman	174
chairwomen	246
change	584
chiapas	767
christian	821_865
city	23_358_494
civil	446
clear	470
clinton	223_276
co-write	836
colombia	610_654_726
come	366_515
committee	251
concert	491
condemn	752
confirm	738
conservative	864
constitution	566
controversial	572
convention	149
cosoy	650
country	443_615
course	450
danger	294
deal	434
decide	393_456
decision	660
declare	417_635
decree	416
defeat	159_280
defect	630
demagogue	291
democratic	145_213_249
deny	523
deploy	376
deport	532
die	348_828
disabled	20_65_138
disappear	141
discuss	608
disease	675
division	226
do	411
donald	281
dozen	80
draft	563
drop	667
drug	788
due	529
duty	86
earlier	333
eight	82
email	181_231
emergency	639
employee	128
end	620_847
epidemic	618_679_723
erdogan	602
especially	713
establishment	186
evangelical	820
executive	595
facility	89
fewer	735
fighting	336_407
figure	816
first	208_320
for	18_63_221_274
force	341_373
former	127_329
found	858
from	2_538_646
furious	423
gai	326
gang	789_804
general	324
german	476
germany	517
global	637
go	57
government	338_552
group	511_866
guarantee	378
guerrero	769
gunman	775
hand	781
have	34_52_101_227_236_252_256_306_374_435_497_548_585_606_619_633_731_751_778_798_827
he	106_136_269_308_318_363_379_382_385_418_502_527_578_785_835
health	611_638_643_657_696
hillary	222
himself	486
home	17_62_131
hopeful	161
house	91
hundred	347
illegal	388
in	21_152_209_277_492_574_678_725_761_763_794_803_806_817_857
influential	815
injure	36_78
instrumental	856
intensify	228
interior	747
into	58_171_445
introduce	605
islamic	509
issue	573
it	42_390_467
japan	3_51
keep	372
kiir	305
kill	10_76_773
knife	9
laboratory	740
lahaye	826_853
leader	313_506
leadership	401
leak	180_232
least	12
leave	346_356_839
leithead	351
lie	473
limited	581
line	211
link	626
live	793
local	70
long-standing	309
loyal	342
loyalty	472
luminary	214
machar	315_345_355_425
main	559
majority	396_452_861
make	498_589_658
man	6_56_100_760
mariko	38
mass	48
mayor	167
mean	682
mentally	64
mention	591
mexican	744
michelle	202
microcephaly	632
might	701
miguel	748
mining	330
minister	331_545_745
ministry	655
mollify	258
month	335
moral	860
most	571_814
movement	822
mr.	344_424
mr.sanders	190_259
mrs.	275
murder	49_754
music	490
natalio	649
national	148_250
neutral	370
nevertheless	694
new	460_565_703
news	537_880
no	590
not	257_392_412_469_691
novel	841
now	429_677
number	582_663
obama	203
of	24_28_45_168_197_212_247_300_397_449_453_495_507_569_583_592_656_664_746_758_766_784_812_832_848
official	235_612
officially	419
oi	39
on	85_177_845
one	44_196_568_777_811
open	151
opposition	312_454_560
order	278
organisation	644
osorio	750
outbreak	704
outside	488
over	755_782
part	783
party	146_173_184_219_234_400_561_872
past	808
peace	371_433
peak	692
people	14_33_66_139_709
permanent	94
phase	680
philadelphia	153
pledge	441_501
police	111_135
policy	873
politician	455
politics	576
powerful	217
pregnant	714
prepare	215
present	687
president	299_322_599
presidential	160_288_415_596
prime	544
prophecy	844
recep	600
refuse	364_779
region	796
replace	317_420
replacement	386
report	1_40_352_651_665_733
reportedly	133
republican	287_871
resident	75_95
residential	60
resign	176_253
reverend	824_852
riek	314_354
rise	802
rival	241_310
sack	307
safety	380
sagamihara	25
salva	304
sanders	164_243
say	4_384_430_478_549_579_613
scatter	404
see	53_799
seeker	483
senator	162
senior	399
september	718
shape	870
sharp	801
she	205_240_263_284
shower-off	218
since	102_717
south	302
speaker	199
stab	74
staff	83
stage	465
stand	170
start	73_724
state	510_765
station	112
still	686
stop	413
sudan	303
suggest	182_233
sunday	178
support	220
supporter	261_383_427
suspect	120
syrian	481
system	597
taban	325
take	711
tayyip	601
tell	134
test	741
than	736
that	50_255_410_431_479_550_580_674_699_876
the	16_19_22_46_88_116_119_130_143_158_166_172_183_198_207_245_248_286_298_301_311_328_357_398_406_422_432_442_489_493_505_508_513_539_542_551_570_614_622_628_641_653_662_683_721_743_753_756_764_807_813_818_823_830_837_846_849_859_878
there	194_700
they	271_706
think	868
this	266_334_459_464
tim	825
time	71
to	115_124_157_188_238_272_279_295_343_365_377_457_504_516_524_530_533_555_604_627_668_710_780_787_869
tokyo	29
tonight	200
town	762
troops	339
trump	282
try	237
turkish	543_575
turn	107
two	359_518_759
u.s.	144
undermine	189_239
unless	448
until	368
up	108_487
urge	270
vice	321
victim	792
video	500
violence	805
virus	623_684
vote	273
want	603
war	447
warn	698
week	360_672
weekend	757
west	27
when	268_526_720
where	471
whether	593
which	90_598_624_681_797_867
who	121_175_402_484
will	428
willing	554
wish	137
with	7_154_323_557_739
woman	715
work	187_556
world	536_642_850
worst	47
would	140
year	519_809
year-old	99
yildirim	547
zika	617_722
