%	83
's	15_33_87_94_475_602_628
,	12_38_41_66_200_245_271_290_324_341_630_654_686_767_794_798
.	19_44_59_80_91_129_150_171_177_194_220_255_285_306_321_355_361_372_379_388_427_450_464_489_501_507_539_565_581_611_617_640_663_691_711_742_781_804_824_833_841
100	223
11:00	462
1986	37
200	756
2003	193
25	778
3	82
30	63
30th	8
4	74
65	500
a	70_117_139_157_163_206_228_272_303_315_325_348_370_394_428_529_588_646_712_736_749_762_768_787_814
abu	311
abuse	721_774
accident	18
accuse	715
acknowledge	725
admit	772
after	166_748
afternoon	449
against	424
age	498
ago	65_284_780
ahmed	172
al-abadi	219
al-sadr	135
also	479
am	463
and	48_115_123_417_486_550_569_673_683_689_732_740_796_799_802_812
anniversary	9
another	98
antibody	454
approve	205
april	36
arbes	323
as	154
at	22_60_75_238
attempt	159_635
attend	97
baghdad	144_176
base	493
basic	684
bbc	506_838
be	2_46_50_69_174_179_226_297_345_363_374_381_392_400_419_436_441_456_492_512_579_657_807_835
because	409
become	358
bedbug	790_831
before	378_461
bernard	765
better	830
big	140
birth	558
black	797
blame	666
block	242_658
body	474
bolder	360
both	566
boy	776
britain	431
bug	818
building	549
burridge	43
bust	513
but	655_692
by	213_276_333_592_659_722
cabinet	165
call	137_645
can	413
canadian	257_273
candle	45
capital	517
cardinal	714_743
carolina	520
carry	698
case	377
ceremony	4_99
certificate	559
change	349
chavez	677
chernobyl	11_77_101
child	719
choice	815
chrisaudi	322
cleric	133
color	793
come	784
constitutional	589
contender	573
content	89
contribute	107
control	623
could	478_827
council	662
court	585
cover	717
crisis	149_183
day	289
december	627
demand	314_542
demonstrator	510
detail	616
dictator	189
different	634
different-colored	817
diocese	728
disaster	105
discriminatory	580
dish	811
dislike	800
do	403_408
donald	574
downfall	110_186
earlier	286
early	54
effective	438
either	525
election	629
electoral	661
embattled	215
energy	128
escape	90
even	247
exact	24
executive	294
explosion	29_71
express	235_263
extremist	334
favorite	792
fight	423
find	298_452
first	28_642
flu	434
food	682
for	138_195_318_352_678
foreigner	371
former	188_292
four	609
french	713
fresh	158
from	39_396_504_606_652_761
frustration	237
gender	563
generally	485
get	414
give	442_813
go	401
government	124
group	310_335
haider	218
have	116_136_202_225_262_313_357_368_511_586_614_632_724_735_759_771_783_791
he	319_674_696_706_727_746
head	296
hear	760
help	480
hide	822
high	687
hold	3
hostage	274
hour	55
huge	118
hugo	676
hussein	191
identity	564
immunize	468
impact	119
impose	534
improve	481
in	30_35_52_100_143_175_192_230_279_287_299_329_336_385_430_443_458_470_521_547_604_626_700_751_823
inflation	688
influentially	131
insect	806
inside	72_809
into	514
iraqi	132
islamist	277_308
island	305
it	178_380_631_641
item	685
john	269
journalist	326
justice	741
justin	260
kidnap	275
kill	369
killing	267_344
know	411
large	316
later	92
latest	837
law	532_541_578
lead	828
left-wing	668
leonardo	612
life	488
light	47
like	383_393
line-up	208
lyon	752
maduro	601_639_651_672_694
maher	173
make	156_633_729_745
mark	6_103
match	553
meeting	750
message	395
mid-april	233
militant	278_309_354
military	426
mindanao	340
mining	293
minister	211_217_259
mistake	731
moment	25_62
money	416
month	283
more	221_437_484_615_754
morning	58_445
mp	224
mr.	650_671_693
muqtada	134
natural	476
new	164_207_530
news	503_840
next	702
nicolas	600
non-partisan	210
north	519
not	375_382
nuclear	17_78_127
obama	568
of	10_26_56_84_111_169_187_209_253_265_268_339_347_350_499_509_518_624_670_681_708_716_753_764_816
office	605_653
on	120_162_302_494_536_556_699
one	391
opinion	122
oppose	528
opposition	593_621_665
or	527
other	239
oust	637
outrage	264
over	145_496_777
parliament	155_201_231_254_625
part	346
past	197_387
people	469_495_538_544
petri	810
philippe	744
philippine	281
place	153_808
plant	32_79
policy	125_669
political	148_182
politician	594
pose	332
prayer	49
predecessor	675
president	95_567_599_638
presidential	572
preynat	766
priest	723_757_769
prime	216_258
program	707
propose	212_591
protest	141
public	121_548
radioactive	88
ransom	317
rather	446_560
reactor	34_73_86
really	359
red	795
reduce	598
referendum	647
reform	590_710
refuse	203
regain	622
region	338
reject	587
release	320
remote	304
remove	649
representative	240
republican	571
researcher	451_782
response	455
restriction	535
revelation	826
rhythm	477
ridsdel	270
right	737
rocha	613
roughly	81
sack	250
saddam	190
save	487
say	342_398_466_576_695
sayyaf	312
school	551
second	365
set	51
sever	295
sex	555_720
sexually	773
shortage	680
simmer	147
since	184_232_618
siren	20
sit-in	229
six	282_607
size	819
so	389
socialist	709
some	730
sound	21
soviet	113
speaker	252
specialize	328
stage	227
stalemate	170
state	516_531
statement	747
strategy	351_483
street	301
stronger	457
study	429_491
suggest	432
support	526
supreme	584
take	152
tent	820
term	603
than	222_447_561_755
that	67_373_384_433_453_467_533_543_552_656_726_733_789_834
the	7_13_23_27_31_53_61_76_85_104_109_112_130_146_180_185_196_214_243_246_251_256_266_280_288_291_300_307_330_337_343_353_364_376_386_415_425_444_448_473_490_497_505_515_522_540_554_570_577_582_619_660_664_667_679_701_805_825_836
theory	788
there	68
they	151_236_356_367_397_440_465_557_562
this	57_362_390_418
those	459
thousand	508
threat	331
three	167_198_703
time	366
to	5_102_108_160_204_234_249_402_407_422_524_597_608_636_644_648_738_821_829
today	142
toilet	546
tom	42
towards	126
transgender	537
trap	832
trudeau	261
trump	575
truth	739
try	643
tune	471
ukraine	1_40_93
union	114
up	718_785
us	523
use	545
vaccinate	460
vaccination	482
vaccine	435
venezuelan	583_620
victim	734_763
violence	690
vote	161_244_248
want	406_596
way	421
we	399_405_410_412_420
week	168_199
what	404
when	439
which	106
white	801
who	241_327_595_758_770
will	96_697
with	472_705_786
world	14_502_839
worst	16_181
year	64_610_704_779
yellow	803
young	775
