's	29_257_329_339_396_571_666
,	99_105_308_336_350_355_382_472_621_631_704
.	31_44_61_71_85_124_134_166_180_184_200_228_240_268_294_319_347_361_375_390_420_431_451_495_505_516_537_551_562_581_597_612_645_663_683_710_721_724
117	267
14	281_548
400	147
40th	6
7.3	636
a	34_65_128_172_245_249_269_276_284_288_314_342_364_521_622_714
ababa	179
abbot	534
accuse	139_540
addis	178
africa	2
afrikaans	28_98
after	573
against	21_40_372
agency	435
agree	412
ahead	455
all	389_680
allege	205
allow	464
also	107_231
american	627
among	357
and	149_213_237_247_326_485_544_576_659_690_706_719
ankle	212
anniversary	7
anti-doping	434
apartheid	56
app-based	615
apply	221
argue	712
arrest	150_531
arrive	519
as	604_702
assault	239
at	68_341_520
athelete	450_497
back	371
ban	499
bangkok	529
bbc	515_722
be	3_22_33_64_95_110_116_121_127_169_187_208_235_356_363_399_422_463_479_498_507_539_564_590_634
beat	214
before	404
begin	163_196_415
bhuddist	523
bid	285
biggest	606_667
billion	637
black	18
booker	349
britain	665
business	657
but	106
by	118_157_171_210_254_401
call	563
cancel	482
cannabis	707
capital	177_528
carry	252_445
cause	80
child	395
china	589
chinese	614
chris	296
chuxing	619
claim	232
clear	424
cocaine	705
common	408
company	629
competition	502
comprehensive	192
continue	439
control	293_335
corruption	577
cory	348
country	256
death	265
debate	332
decision	458
decline	480
decriminalise	676
demand	557
democratic	271
demonstration	168
describe	217
descry	603
destroy	400
detention	227
dhammajayo	536
didi	618
die	48
dismiss	244
disneyland	584
do	406
dollar	550_638
dream	365_379_387_397
drug	447_682_700
early	303
education	720
effort	443
electric	219
embezzele	542
emmanuel	181
entertainment	600
establish	261
ethiopia	140
ethnic	160
ever	610
expand	175
explode	133
face	489
faculty	692
fail	709
feel	91_111
feeling	130
fight	39
first	583
floor	300
florida	346
focus	716
follow	53_337
foot	224
for	278_352_380_388_560_566_687_713
force	23_142_287
from	491_500_513
frustration	325
fund	543
funding	644
gay	343
giant	601
government	57_242_674
greater	333_567_715
group	161
grow	565
gun	292_334_402
hang	209
have	54_138_207_218_234_243_260_274_438_478_488_553_602_609_671_708
he	72_320_538_552
health	669_689_695
heroin	703
hold	313
hour	282_304
how	391
human	135_258
hundred	45_475
igunza	182
illegal	681
in	26_37_49_97_226_283_301_324_345_366_452_468_587_595_639_655
independent	250
influential	533
intense	75
international	501
interview	204
intimidation	490
investigation	578
involve	579
issue	318_454
it	32_126_421_608_633_646_648
its	370_442_532_640_661
itself	114
jersey	354
key	623
kill	144
land	368
language	101
languge	30
last	164_198_503
late	197
latest	641
launch	321
laundering	546
lead	117_275
leader	67
learn	25
level	76
listen	508
mainland	588
many	392
march	20
mark	4
massacre	340
mazibuko	63
might	428
million	549
minority	42
money	545_652
monk	580
more	145_279
morning	307
most	191
murphy	297
must	384_398
new	353_656
news	512_723
nightclub	344
north	525
not	86_423
november	165_504
number	263_419
obstruct	441
of	8_11_17_46_77_94_102_131_143_152_189_202_264_305_393_426_456_476_526_541_569_643_679_693
official	487
olympics	471
on	290_316_413_449_459_699_717
one	188_381_425
only	87
open	591
opportunity	658
oppress	122
oppression	79
oppressor	104
or	481
organisation	670
oromo	159
other	216
out	253_446
oversight	568
pain	93
park	586
part	467
party	272
people	47_148
phra	535
pilibuster	277_323
place	430
point	36
police	518_556
practical	129
proposal	173
protest	156_195
protester	60
public	594_668_688_694
quell	155
question	561
raise	635
rape	236
recent	574
reject	554
reluctance	330
reoprt	186
report	183_246_453_559
republican	328
research	654
revolt	84
ride-hailing	628
rights	136_259
rio	470
rival	624
round	642
royal	685
rule	43
russia	437
russian	496
save	377_385
say	73_248_309_436_474_632_647_696
scandal	575
security	141_493
senate	311
senator	273_295_351
sense	409
service	494_617
seth	62
several	229_555
sexually	238
shanghai	596
shock	220
shrink	417
since	193
so	125
society	686
some	201
south	1
soweto	13
speak	360
start	10
step	607
student	19_66_82_90_109_132
study	251
such	701
sunday	338
supress	58
system	113
take	429_466_611
taxi	616
teach	96
technology	620_662
temple	524_572
ten	151
test	448_477
thai	517
thailand	570
than	146_280
that	52_115_162
the	5_9_12_27_38_50_55_59_69_74_78_81_89_92_100_103_108_112_158_167_176_185_190_194_241_255_262_299_302_306_310_317_322_327_373_378_386_407_432_457_469_492_510_514_527_582_593_598_605_613_626_651_673_677_684_691_697
theme	585
there	362
they	123_211_223_461_711
thing	410
this	367_483_486
those	119_203_358_418_427
thousand	16_153
time	70
to	24_83_154_174_206_222_233_266_286_331_376_414_416_440_444_465_509_530_558_592_625_653_675
tougher	291
treatment	718
trigger	170
turn	35
two	664
uber	630
upgrade	660
uprise	14
urge	672
us	270_599
use	650_678
violence	51_403
vote	289_315
wada	473
wall	374
war	698
watch	137
we	383_394_405_411
wealthy	522
whether	460
while	215_225
white	41
who	120_359
will	462_649
with	15_88_369
woman	230
world	433_511
worth	547
would	312
year	199_484
yield	298
you	506
