's	258_369_398_696
,	21_51_73_87_154_179_191_256_308_328_352_373_379_404_429_478_505_561_584_590_632_664_666_676_731
.	41_45_64_82_95_114_134_176_184_206_238_271_288_305_312_343_363_392_413_438_457_469_486_502_509_523_542_557_579_599_613_642_671_693_717_742_745
1.9	383
11	639
65	26
850	622
90	539
a	10_76_140_210_234_315_359_474_604_633_682_732
about	322_621_669
accept	673
actor	724
advertising	351
african	623
after	147_317
agency	563
aid	562_578_595
aim	479
al-abadi	53
alexander	430
alexis	158_242
all	283_393
also	528_735
and	102_144_214_225_350_356_390_423_483_525_564_573
announce	6
announcement	293
annual	299
approve	139
area	94
arrive	63
as	192
assault	110
assembly	302
asset	287
at	480_656
athens	178_228
attempt	625
austerity	152_195_680
austria	397
award	675_741
axa	277_366
baghdad	30
bailout	254
bbc	468_743
be	25_32_35_89_104_162_181_218_231_244_402_408_434_453_459_488_511_527_586_601_681_710
begin	473_553
bellen	433
best	654_723_738
bet	362
better	575
biggest	332
billion	384
blake	668
boat	631
bound	391
break	598
british	644
building	190
burden	610
but	364_405_534
by	34_120_549_686
call	412_602_689
canadian	702
candidate	417
cannes	658
capture	127
century	316
city	23_101
civilian	88
close	410
coast	616
company	276_372
confident	163
control	33
count	403_454
country	171
creditor	165_268
crisis	572
d'or	652
dangerous	683
daniel	667
day	86_202
deal	255
debate	149_205
defense	482
der	432
describe	592
despite	344
direct	394
director	645_703
discuss	567
distribute	577
divert	280
dolan	705
dollar	385
drive	685
earl	43
early	83
ease	516
economic	143_484
economy	537
election	400
elsewhere	119
emergency	148_204
end	377_497_713
equipment	522
equity	389
erdogan	581
europe	628
eurozone	164
evening	72
ever	345
falluja	61
fallujah	16
far-right	420
feed	50
festival	660_695
fighter	20
film	659_663
financial	145_361_569
first	319_544
five	261
flatable	630
follow	117_200
for	36_57_79_109_603_607_653_661_706_725
force	81_97
former	425
foulkes	310
four	201
freedom	421
french	290
from	17_177_282_306_466_503_720
front	113
fund	169_237
further	151
gain	118
gather	186
geneva	304
get	380
go	699
good	360
goods	213
government	80_320
gradually	230
grand	697
great	77
greece	257
greek	136_226
green	426
grow	536
guard	617
haider	52
half	314
hanoi	504
have	5_31_62_103_138_401_441_452_472_591_597_648_672
he	47_74_161_248_264_487_600_662_688_726
head	507_558
health	301_324_336
heavily	105
here	180_307
hofer	415
hold	574
hope	512
hosseini	719
host	587
hour	56
humanitarian	546
hundred	446
i	665
idea	692
imogen	309
important	529
in	84_107_260_303_334_341_396_436_531_555_629_728
include	123_638
insurance	275_337_371
intercept	620
international	267_594
introduce	219
invest	340
investment	378_526
iran	721
iraqi	2_67_96_121
islamic	18
issue	530
istanbul	556
it	279_375_619_709
its	284
itself	281
james	42
jonathan	506
july	270
just	711
ken	646
kilometer	27
knell	183
large	11
largest	274
larget	370
last	269
later	69
latest	194_463
leader	428
leave	92
liberal	691
liberation	59
libyan	615
listen	460
loach	647_678
loan	175
machanism	606
market	338
measure	153_196
media	292
migrant	624_637
military	12_521
million	540
minister	4_157_241
monday	456
most	124_329
movie	708_733
mr	677
multinational	291
nations	552
neck	435_437
need	172
new	235_605_690
news	465_744
next	222
norbert	414
not	217
now	167_365
obama	471
of	9_29_60_128_132_142_203_212_253_297_326_330_382_386_418_447_449_498_520_538_559_582_611_714
offical	48
official	634
on	66_70_111_150_209_294_348_455_518
operation	13_116
organise	548
other	565
outside	187
over	220_313
packaging	349
palme	651
parliament	137_189
part	727
party	422_427
past	38
people	353_541
picture	655
play	740
player	333
poor	533
postal	450
poverty	670
predict	75
pregnant	640
preparation	108
president	470_492_580
presidential	399
prime	3_156_240
privatisation	236
prix	698
project	684
protester	185
range	211
rapidly	535
reach	627
recapture	15
receive	736
recently	125
reform	146
refugee	612
regulation	347
reinforce	106
related	286_388
remain	358
repay	174
report	44_311_508
response	570
restriction	517
result	407
rid	381
rise	208
risk	325
rutba	133
sale	519
salesman	730
say	54_160_227_278_374_618_635_679
screen	739
series	141
service	215
several	112
shahab	718
share	608
show	247
sideline	296
since	495
smoke	355
smoking	327
speak	65
start	8
state	19_560
stick	249
still	339_354
strengthen	481
stricter	346
strike	265
summit	547_589
sunday	71
surround	99
system	596
tax	207
television	68
term	252
that	263
the	1_7_22_37_58_85_93_100_115_126_129_135_155_170_188_193_221_239_251_272_289_295_298_318_323_331_335_367_406_416_419_424_445_462_467_489_496_499_513_532_543_550_568_588_593_609_614_636_643_650_657_674_694_701_707_712_715_729_737
they	439
third	259_490
thousand	448
through	199
tie	485
to	14_91_173_233_246_250_411_442_461_476_493_571_576_626_700
tobacco	342_357_387
tobacoo	285
today	554
too	409
town	131
trading	524
transfer	232
troops	122
try	245
tsipras	159_243
turkey	583
twitter	49
two	39_223
united	551
unlock	168
until	444
us	491_514
use	46
van	431
victory	78
vietnam	477_500_510
virtually	98
visit	475_494
vote	198_395_451
wait	443
war	501
warn	90
warning	321
west	28
western	130
what	687
which	24_734
who	585
will	166_197_216_229_376_440_515_566
win	649_722
with	266
woman	641
world	273_300_368_464_545_716
xavier	704
year	40_224_262
yolande	182
you	458
zero	55
