''	345
's	63_76_158_213_225
,	42_194_243
.	6_21_53_70_101_125_139_155_179_199_223_259_283_306_312_327_352_355
12-billion-dollar	269
1960s	335
83	322
``	340
a	23_238_244_268_285_324
account	154
accuse	195
actor	316
administration	20
africa	212_242
after	254_323
against	115_135_304
aged	321
agent	114
american	315
and	80_86_97_121_127_176_188_215_295_313_350
approval	266
around	177
atrocity	174
austerity	305
ban	112
bbc	1_353
be	44_96_148_182_185_289
begin	10
big	286
boost	211
british	141
by	117
cairo	294
call	237
camp	351
carry	172
chemical	104
chris	34
christy	35
city	297
civilian	116_193
commission	56
community	147
condemn	108
consequence	85
cool	349
country	205
crisis	282
deal	299
deep	280
demonstration	303
design	273
detail	233
determine	149
developed	204
development	226
die	320
do	309
donald	7_61
earlier	284
economic	281
economy	214
egypt	272
election	64
espionage	337
eu-us	68
europe	87_222_253
european	55
evidence	166
expect	301
fill	14
flow	218
for	241
foreign	142
frame	332
from	36_343
fund	263
germany	200_224
give	265
government	120_133_230
governor	30
have	9_27_83_88_107_164_171_181_186_201_264_319
he	19_26_39_43_46_236
head	37
help	251_275
hold	151
how	98
human	159
illness	326
in	18_22_175_291_293
international	103_146_261_331
into	330
iran	128
iraqi	192
islamic	122_168
it	99_276_348
its	208_217_279
izard	5
jean-claude	58
jersey	33
jonathan	4
juncker	59_72
kill	189
loan	270
make	347
man	342
martial	239
mass	302
materialize	311
might	82
migrant	220
mike	51
militant	124_170
minister	227
monetary	262
mosul	178
move	25
mr.	71_74
nation	157
nato	81
new	32_165
news	2_354
not	310
of	13_31_38_111_191_197_219_234_278
official	161
on	78
operation	288
other	203_296
out	173_277
pence	52
pernicious	84
perpetrator	152
place	292
plan	209_240
pose	65
post	17
president	57
president-elect	50_92
program	249
proposition	138
put	290
rally	308
rebuild	252
reference	245
relation	69
release	232
relegate	28
rights	160
risk	66
robert	317
russia	126
say	60_73_144_162_228
score	190
second	256
secretary	143
security	79_287
series	339
shoot	187
short	325
significant	24
slow	216
spoof	338
spring	329
state	123_169
statement	77
substitute	45
support	130_207
syrian	119_132
task	12
teach	90
team	41
television	336
tell	183
that	167_184_346
the	11_15_29_48_54_91_94_102_109_118_131_136_140_145_229_247_255_260_307_314_334_341
they	163_180_196
through	333
to	67_89_150_153_206_210_221_246_267_271_274_298
top	16
toxic	113
transition	40
treason	198
trump	8_62_75
uncle	344
union	95
united	156
urge	202
us	137_248
use	110
vaughn	318_328
vice	49
vote	134
war	258
watchdog	106
weapons	105
what	93_235
which	129_250
with	3_47_300
work	100
world	257
would	231
